t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
0.092000, 0.216132,-0.000000,-0.000000,1.010081,0.000000,6.154818,6.154818,4.891059,4.891059
0.150000, 0.209037,-0.000000,-0.000000,2.231269,-0.000000,6.147361,6.147361,5.316006,5.316006
0.210000, 0.197099,-0.000000,-0.000000,0.011222,0.000000,8.162296,8.162296,10.375995,10.375995
0.268000, 0.183879,-0.000000,-0.000000,-0.524832,0.000000,5.411562,5.411562,7.586321,7.586321
0.326000, 0.169082,-0.000000,-0.000000,-0.564890,-0.000000,5.654314,5.654314,8.369431,8.369431
0.382000, 0.151704,-0.000000,-0.000000,-0.896099,0.000000,5.324449,5.324449,9.114071,9.114071
0.470000, 0.130531,0.000000,-0.000000,0.229197,-0.000000,0.185897,0.185897,0.000000,0.000000
0.532000, 0.130960,0.000000,0.000000,0.134742,-0.000000,3.661657,3.661657,1.251762,1.251762
0.594000, 0.134452,0.000000,0.000000,0.096385,-0.000000,5.295626,5.295626,3.949098,3.949098
0.654000, 0.135617,0.000000,0.000000,0.088018,-0.000000,5.024113,5.024113,3.798526,3.798526
0.716000, 0.135338,0.000000,0.000000,0.079767,-0.000000,4.501642,4.501642,3.394190,3.394190
0.782000, 0.134978,0.000000,0.000000,0.072004,-0.000000,4.322272,4.322272,3.316073,3.316073
0.844000, 0.134933,0.000000,0.000000,0.066391,-0.000000,4.328337,4.328337,3.415432,3.415432
0.902000, 0.134999,0.000000,0.000000,0.060889,-0.000000,4.333306,4.333306,3.502511,3.502511
0.960000, 0.135055,0.000000,0.000000,0.055033,-0.000000,4.309302,4.309302,3.554159,3.554159
1.016000, 0.135085,0.000000,0.000000,0.049189,-0.000000,4.275625,4.275625,3.587819,3.587819
1.074000, 0.135106,0.000000,0.000000,0.042998,-0.000000,4.244031,4.244031,3.620859,3.620859
1.132000, 0.135130,0.000000,0.000000,0.036635,-0.000000,4.218480,4.218480,3.655304,3.655304
1.188000, 0.135158,0.000000,0.000000,0.030282,-0.000000,4.197530,4.197530,3.688198,3.688198
1.246000, 0.135191,0.000000,0.000000,0.023448,-0.000000,4.177927,4.177927,3.720395,3.720395
1.306000, 0.135226,0.000000,0.000000,0.016079,-0.000000,4.159388,4.159388,3.751483,3.751483
1.368000, 0.135264,-0.000000,-0.000000,0.008116,-0.000000,4.141844,4.141842,3.781186,3.781231
1.436000, 0.135296,0.000002,0.000448,-0.000555,0.000471,4.010799,4.001396,3.616099,3.679269
1.502000, 0.131544,0.001187,0.549420,0.454605,0.664468,4.070053,0.642342,0.000000,4.949565
1.564000, 0.128920,-0.009393,-1.982501,0.108282,1.875793,0.991735,0.000000,0.000000,3.947649
1.628000, 0.137161,-0.033462,-8.548950,-3.268208,3.526102,0.000000,8.509227,9.850024,0.000000
1.688000, 0.155002,-0.034640,-8.314783,-8.397013,1.791201,0.000000,6.534791,9.574565,0.000000
1.748000, 0.177322,-0.040018,-7.425246,-13.418148,-5.146961,0.000000,1.461800,5.873596,32.702909
1.812000, 0.206290,-0.035629,-4.369193,-9.132002,-2.167231,7.254676,0.000000,0.000000,9.172127
1.874000, 0.233193,-0.028434,-2.009437,-4.894808,0.304643,7.712624,0.000000,0.000000,9.615111
1.934000, 0.261558,-0.025450,-1.584702,-2.578023,0.145651,2.129399,19.781250,19.238853,2.926655
1.998000, 0.286865,-0.025416,-1.784512,-1.420751,-0.112460,0.000000,8.665879,9.305609,0.000000
2.058000, 0.310419,-0.021524,-0.406652,-1.963773,0.452518,0.000000,8.189594,9.476137,0.000000
2.124000, 0.336883,-0.012669,2.538456,-1.451680,0.188689,9.225156,0.000000,0.000000,9.511919
2.184000, 0.357310,-0.012484,2.606943,-1.366725,-0.120317,8.849710,0.000000,0.000000,9.398398
2.242000, 0.379426,-0.016760,0.803139,-1.962485,-0.749059,2.971014,0.000000,0.000000,6.591509
2.302000, 0.402169,-0.021938,-1.150460,-1.078509,-0.434022,0.000000,8.891410,9.314941,0.000000
2.362000, 0.422735,-0.020244,-0.837456,-1.283274,0.033831,0.000000,9.007697,9.414001,0.000000
2.420000, 0.445535,-0.014142,1.221192,-2.020404,0.448743,14.517369,1.365828,2.872806,24.040306
2.482000, 0.468795,-0.010102,2.526222,-1.184496,0.321245,8.804809,0.000000,0.000000,9.249138
2.540000, 0.489677,-0.012206,1.749676,-1.578017,0.042881,9.136197,0.000000,0.000000,9.687463
2.600000, 0.514770,-0.017214,-0.513758,-2.204273,-0.267806,0.860416,21.614360,12.149366,0.547491
2.658000, 0.535440,-0.018059,-1.403585,-1.195630,-0.755978,0.000000,8.808599,9.224179,0.000000
2.718000, 0.556964,-0.013840,-0.587703,-1.604523,-0.398589,0.000000,8.858986,9.727125,0.000000
2.780000, 0.582602,-0.004740,2.003699,-1.419766,-0.028131,9.805782,0.000000,1.402626,9.957172
2.842000, 0.604181,-0.002751,2.511945,-0.814454,0.354547,8.736942,0.000000,0.000000,9.149314
2.900000, 0.626539,-0.007231,0.905648,-1.590107,-0.022490,5.028822,0.000000,0.000000,9.355903
2.958000, 0.650088,-0.013647,-1.476507,-1.118946,-0.476572,0.000000,9.110161,9.399365,0.000000
3.020000, 0.671570,-0.012197,-1.471215,-1.074303,-0.482275,0.000000,8.983633,9.358514,0.000000
3.082000, 0.695233,-0.005580,0.398765,-1.760259,-0.143690,0.000000,1.727603,7.165367,0.000000
3.142000, 0.716626,0.000338,2.188067,-1.084489,0.030621,8.907311,0.000000,0.000000,9.256352
3.202000, 0.736166,-0.000037,1.931439,-1.146561,-0.140019,9.102394,0.000000,0.000000,9.289318
3.266000, 0.760010,-0.005107,-0.120579,-1.896345,0.120079,0.159536,20.972155,22.629404,3.703150
3.328000, 0.779760,-0.008189,-1.322759,-1.193753,0.303108,0.000000,8.777252,9.232610,0.000000
3.388000, 0.798671,-0.005525,-0.477179,-1.893225,0.719329,0.000000,8.911742,9.628968,0.000000
3.446000, 0.818753,0.001450,1.905875,-1.688660,1.051648,9.998744,0.092131,0.961689,10.024692
