t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
0.092000, 0.096179,0.000000,0.000000,-1.397219,-0.000000,6.324305,6.324305,4.609444,4.609444
0.154000, 0.087998,0.000000,0.000000,-3.676782,-0.000000,6.288499,6.288499,5.048631,5.048631
0.220000, 0.070668,0.000000,0.000000,-12.984994,-0.000000,7.222759,7.222759,8.813322,8.813322
0.280000, 0.046547,0.000000,0.000000,-23.852985,-0.000000,6.160673,6.160673,7.738593,7.738593
0.346000, 0.029766,0.000000,0.000000,-23.719348,-0.000000,6.030988,6.030988,8.686379,8.686379
0.410000, 0.010653,-0.000000,-0.000000,-23.410263,-0.000000,0.000000,0.000000,7.922581,7.922581
0.472000, -0.008706,-0.000000,-0.000000,-27.140426,-0.000000,0.000000,0.000000,3.811828,3.811828
0.532000, -0.016237,-0.000000,-0.000000,-27.613393,-0.000000,0.000000,0.000000,1.701765,1.701765
0.596000, -0.015250,-0.000000,0.000000,-27.292685,0.000000,0.000000,0.000000,4.168286,4.168286
0.656000, -0.012102,-0.000000,0.000000,-27.290477,0.000000,0.000000,0.000000,6.082251,6.082251
0.718000, -0.008708,-0.000000,0.000000,-27.314476,0.000000,0.000000,0.000000,6.602455,6.602455
0.782000, -0.005814,-0.000000,0.000000,-27.332273,-0.000000,0.000000,0.000000,6.744403,6.744403
0.844000, -0.004070,0.000000,0.000000,-27.409154,-0.000000,0.458021,0.458021,6.459966,6.459966
0.904000, -0.002667,-0.000000,0.000000,-27.421063,0.000000,0.316520,0.316520,6.371864,6.371864
0.970000, -0.000991,-0.000000,0.000000,-27.477390,0.000000,0.323626,0.323626,6.512705,6.512705
1.042000, 0.000940,-0.000003,-0.001768,-27.587091,-0.002073,0.352648,0.383061,6.338278,6.554725
1.124000, 0.004245,-0.000013,-0.012778,-27.054917,-0.012438,0.651006,0.659001,6.124959,6.452569
1.194000, 0.014633,-0.000027,-0.160636,-20.138151,-0.151675,7.778013,6.393869,0.892272,2.297254
1.256000, 0.032585,0.007654,-0.670020,-7.855976,-0.605561,4.885190,0.000000,12.696562,8.585124
1.320000, 0.047200,0.042282,8.549936,-8.043805,-2.063514,17.987213,0.000000,9.277566,13.227229
1.384000, 0.060954,0.034869,5.426548,-7.495797,-2.560046,1.910600,0.000000,9.575118,4.798320
1.446000, 0.078845,0.002493,-2.494910,1.924233,1.601964,0.000000,0.000000,9.340555,0.000000
1.508000, 0.097440,-0.021684,-5.692787,3.843278,3.653494,0.000000,9.392673,0.000000,0.000000
1.570000, 0.109856,-0.025447,-5.784114,3.893218,4.365339,0.000000,8.615150,0.000000,0.000000
1.636000, 0.116600,-0.016348,-5.496021,2.137736,0.209525,15.722668,2.764055,7.314197,24.409552
1.698000, 0.124469,-0.001187,-3.192135,0.959492,-0.000259,8.224552,0.000000,0.000000,8.677092
1.760000, 0.134315,0.010069,-0.451333,-0.623517,-0.171240,8.385777,0.000000,0.000000,8.660484
1.824000, 0.145270,0.018707,1.226364,0.420641,-1.040086,8.423636,0.000000,0.000000,8.679534
1.884000, 0.155509,0.024240,2.362366,1.337663,-2.500590,8.636799,0.000000,9.434267,8.840332
1.946000, 0.168647,0.020916,1.877413,1.566007,-2.389776,3.936455,11.324011,8.548642,0.000000
2.010000, 0.182316,0.013342,-1.176067,-0.248316,-0.475393,0.000000,8.362142,8.973695,0.000000
2.074000, 0.196150,0.009704,-3.313650,-0.656096,0.005897,0.000000,8.439416,8.713373,0.000000
2.144000, 0.213143,0.008287,-4.526754,1.680142,1.093400,5.850490,8.584820,6.135896,11.667308
