t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
2.976000, 0.999070,0.031724,-17.996495,6.810884,-1.333474,0.000000,0.000000,1.139703,0.000000
3.038000, 1.030972,0.032717,-19.703140,5.756083,-1.951373,0.000000,0.000000,0.000000,0.000000
3.098000, 1.051392,0.036949,-20.500041,-1.173217,2.614401,0.000000,0.000000,0.000000,0.000000
3.158000, 1.078157,0.095227,-10.313951,-4.641567,3.933398,0.000000,0.000000,0.000000,0.000000
3.216000, 1.098567,0.164233,1.230140,-6.673372,-3.351868,26.820585,0.000000,28.825588,0.000000
3.278000, 1.123819,0.186099,4.776763,-11.654111,-1.925805,3.672514,7.998346,10.508112,0.000000
3.340000, 1.153425,0.186734,4.917875,-10.516297,1.137709,0.000000,0.000000,0.000000,13.303698
3.400000, 1.192493,0.170247,1.111415,-6.288918,7.283459,0.000000,0.000000,0.000000,25.741196
3.458000, 1.253874,0.160002,-0.195543,-2.897295,12.193549,0.000000,0.000000,0.000000,8.728280
3.516000, 1.330228,0.149534,-0.994114,-0.149575,8.689783,0.000000,0.000000,0.000000,0.000000
3.578000, 1.407854,0.139170,-1.901951,3.913989,6.161990,0.000000,0.000000,0.000000,0.000000
3.636000, 1.481268,0.130668,-2.527911,1.606219,3.485573,10.972911,15.580648,0.000000,0.000000
3.698000, 1.555488,0.108215,-8.179140,-6.031546,-2.181007,1.578287,4.664362,0.000000,0.000000
3.760000, 1.625115,0.104975,-8.071156,-14.072585,-2.324441,0.000000,19.264426,0.000000,0.000000
3.822000, 1.702739,0.108787,-6.492379,-11.282204,-3.142489,0.000000,0.000000,0.000000,10.096166
3.882000, 1.788272,0.118556,-5.303269,-9.536649,-4.023605,0.000000,0.000000,12.817337,11.899525
3.942000, 1.905570,0.127824,-5.208203,-6.984499,-3.833947,0.000000,0.000000,21.472582,0.000000
4.000000, 2.041592,0.134445,-4.384102,-2.613824,-7.874280,0.000000,0.000000,0.000000,0.000000
4.060000, 2.181032,0.146297,-2.403928,1.008909,-3.685492,0.000000,0.000000,0.000000,0.000000
4.120000, 2.317305,0.158752,-0.043211,5.095026,-3.941183,0.000000,0.000000,0.000000,0.000000
4.182000, 2.430911,0.148780,-0.646529,-1.732752,6.069627,5.284927,13.568659,0.000000,0.000000
4.244000, 2.515206,0.118017,-12.135166,-5.785348,8.869480,19.506083,13.979342,0.000000,0.000000
4.304000, 2.607225,0.125223,-12.841981,-10.834595,-0.525340,0.000000,0.000000,0.000000,23.686921
4.362000, 2.706350,0.147909,-9.765839,-10.347140,-1.947521,0.000000,0.000000,0.000000,12.180529
4.422000, 2.832310,0.176666,-7.052177,-9.369341,-8.814068,0.000000,0.000000,21.802025,0.000000
4.486000, 2.986759,0.201941,-5.046441,-3.596695,-13.616464,0.000000,0.000000,0.000000,0.000000
