t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
0.0,0.968032,0.003914,0.178816,-9.960929,-1.241774,0.0,0.0,10.485022,5.327513
0.0619999999999998,1.030529,0.009343,-1.256898,-3.668925,-5.896821,0.0,0.0,0.0,0.0
0.1239999999999996,1.084596,0.020483,2.770979,1.573727,-4.329036,9.899457,16.215969,0.0,0.0
0.1879999999999997,1.120362,0.012562,4.334311,9.392604,1.691728,6.781998,4.944573,0.0,0.0
0.25,1.161974,-0.001438,3.604216,-3.166097,1.368085,0.0,0.0,9.382651,9.517196
0.318,1.219794,-0.012777,-0.89649,-13.192559,-1.972272,0.0,0.0,9.447013,12.085284
0.3779999999999996,1.291031,-0.006224,0.314162,0.054247,-4.166865,0.0,0.0,0.0,0.0
0.4419999999999997,1.357289,-0.001052,0.615538,9.30615,-5.495956,34.458863,0.0,0.0,0.0
0.5100000000000002,1.426198,-0.005727,2.969154,11.836707,0.855421,8.697117,8.581264,0.0,0.0
0.5760000000000001,1.49262,-0.020357,-1.123311,5.658592,2.31144,0.0,0.0,22.387808,9.845733
0.6379999999999995,1.555164,-0.017448,-1.205424,-15.269514,-0.597806,0.0,0.0,8.989992,10.480196
0.698,1.641012,-0.007191,1.354503,-7.002053,-2.536876,0.0,0.0,0.0,0.0
0.762,1.726562,-0.004737,-0.410915,4.270358,-3.733701,0.0,0.0,0.0,0.0
0.8240000000000003,1.795921,0.002152,2.940631,11.578775,0.175864,9.46904,3.103313,0.0,0.0
0.8879999999999995,1.868586,0.002434,5.529207,11.273374,1.592238,0.0,0.0,0.0,55.056169
0.9540000000000002,1.947897,-0.007613,1.133943,-13.401875,-0.493807,0.0,0.0,9.798225,9.167336
1.0219999999999998,2.050064,-0.011568,-1.407053,-7.888532,-3.164944,0.0,0.0,0.0,0.0
1.084,2.142343,-0.01424,-2.685701,1.301537,-6.540802,0.0,0.0,0.0,0.0
1.15,2.22712,-0.012678,2.72634,4.867059,-0.815133,9.345598,12.361527,0.0,0.0
1.214,2.295333,-0.043297,-1.728669,12.561521,3.69088,0.0,7.751149,0.0,0.0
1.278,2.371156,-0.057245,-4.986802,-8.705194,-0.695165,0.0,0.0,4.582689,10.24306
1.3379999999999996,2.454827,-0.058838,-6.897656,-10.70561,-4.613272,0.0,0.0,4.6027,0.0
1.406,2.554074,-0.056611,-7.891387,0.400328,-10.014564,0.0,0.0,0.0,0.0
1.4700000000000002,2.63714,-0.047559,-1.060818,6.681172,-3.465498,9.367349,10.771757,0.0,0.0
1.536,2.702862,-0.073236,-3.281578,11.807357,2.034015,0.0,1.532949,0.0,0.0
1.602,2.767888,-0.08979,-6.758277,-6.224548,1.082116,0.0,0.0,9.654802,10.063095
1.666,2.850994,-0.095186,-4.264407,-13.92482,-3.706625,0.0,0.0,0.0,0.0
1.7319999999999998,2.954911,-0.100285,0.748945,-0.282492,-7.510432,0.0,0.0,0.0,0.0
1.794,3.044367,-0.115036,-0.178258,3.407282,-7.447355,11.026847,0.0,0.0,0.0
1.858,3.114249,-0.131171,5.676924,9.605472,1.520048,2.609235,8.287124,0.0,0.0
1.924,3.187523,-0.148471,5.229843,-1.344284,0.619943,0.0,0.0,8.688242,9.468809
1.99,3.265208,-0.144996,8.024931,-14.60191,-1.501601,0.0,0.0,10.165039,10.053781
2.052,3.356486,-0.151422,2.932855,-1.712638,0.818454,0.0,0.0,0.0,0.0
2.1139999999999994,3.438331,-0.152013,1.24774,8.202354,1.927949,0.0,40.467896,0.0,0.0
2.18,3.520078,-0.135231,2.09483,14.011835,0.720497,8.621068,3.285076,0.0,0.0
2.246,3.60263,-0.134777,-1.190373,4.99975,-2.727896,0.0,0.0,11.282103,10.373615
2.312,3.689662,-0.121755,-0.960081,-13.668092,-2.652927,0.0,0.0,9.161297,1.159555
2.376,3.791992,-0.100598,2.653272,-4.031515,-5.718076,0.0,0.0,0.0,0.0
2.438,3.884083,-0.087139,2.728845,6.293147,-7.140372,36.520984,0.0,0.0,0.0
2.502,3.972947,-0.081162,7.007308,11.034614,-0.224969,9.7608,9.00754,0.0,0.0
2.564,4.056967,-0.097717,2.434631,13.576984,3.09713,0.0,0.0,0.0,49.623016
2.628,4.148413,-0.090176,2.471154,-14.073478,-1.837798,0.0,0.0,4.653733,10.574153
2.69,4.252614,-0.074882,3.930837,-7.531799,-5.134366,0.0,0.0,0.0,0.0
2.752,4.352489,-0.066982,2.004652,3.334042,-8.597579,0.0,0.0,0.0,0.0
2.814,4.441137,-0.060567,7.123197,6.779472,0.515689,5.964994,13.265242,0.0,0.0
2.876,4.517282,-0.075546,3.509235,13.002427,4.251873,0.0,6.686367,0.0,0.0
2.94,4.597965,-0.067865,3.618881,-8.303402,0.691131,0.0,0.0,8.702866,10.080725
3.004,4.689281,-0.052674,3.823728,-10.342702,-0.763842,0.0,0.0,0.0,0.0
3.068,4.783732,-0.036558,3.280671,-0.81734,-3.592514,0.0,0.0,0.0,0.0
3.134,4.869693,-0.022237,5.900775,4.292374,-0.694402,9.260012,10.657968,0.0,0.0
3.2,4.924794,-0.015511,8.165773,10.905103,2.125102,0.0,3.237466,0.0,0.0
3.262,4.97519,-0.008736,6.944959,-2.629404,-0.010028,0.0,0.0,17.747518,29.043746
3.326,5.02626,0.025103,14.565452,-17.846891,-0.442402,0.0,0.0,10.134422,14.960144
3.392,5.103549,0.065212,21.370763,-16.805638,24.78194,0.0,0.0,0.0,0.0
3.456,5.144655,0.100877,32.198828,-10.673086,23.278958,0.0,10.8845,0.0,0.0
3.52,5.171373,0.108833,34.723966,-11.337921,15.253251,0.0,10.227156,0.0,0.0
3.584,5.187509,0.114794,37.33244,-15.757368,9.964824,0.0,0.0,7.332487,10.750965
3.646,5.219947,0.145939,40.81294,-18.642681,10.068017,0.0,0.0,0.0,0.0
3.71,5.24975,0.183128,47.686569,-24.69994,8.842745,0.0,0.0,0.0,0.0
3.774,5.271216,0.222,52.836151,-29.973381,0.505881,0.0,0.0,0.0,0.0
3.836,5.286255,0.201865,44.248584,-24.477004,-0.193426,5.77235,0.0,0.0,0.0
3.898,5.292917,0.195841,42.372504,-21.8825,3.81496,0.0,0.0,30.90818,11.723547
3.96,5.307556,0.246651,46.824663,-13.682265,-3.995442,0.0,0.0,14.917158,9.18968
4.023999999999999,5.340763,0.293712,42.328,-1.150656,-2.419972,0.0,0.0,0.0,0.0
4.086,5.361012,0.344527,45.087175,7.830582,-4.53009,0.0,0.0,0.0,0.0
4.148,5.378737,0.383877,46.259659,6.634995,-1.55187,7.593675,11.315843,0.0,0.0
4.218,5.397233,0.406311,48.427382,8.636901,1.277216,0.0,0.0,0.0,0.0
4.282,5.427295,0.419868,43.769618,-8.063892,4.093221,0.0,0.0,5.978028,9.919136
4.346,5.453912,0.453502,44.005422,-6.705711,-1.744398,0.0,0.0,0.0,0.0
4.408,5.480421,0.484966,43.611764,3.18919,-3.315739,0.0,0.0,0.0,0.0
4.472,5.501848,0.509006,45.342047,5.117755,-0.041977,9.57253,8.909493,0.0,0.0
4.536,5.518754,0.512387,45.458019,8.468337,2.451715,5.968122,6.275455,0.0,0.0
4.6,5.539479,0.519875,42.022836,-8.28189,-0.421604,0.0,0.0,9.331583,7.528453
4.667999999999999,5.559131,0.55319,44.509967,-9.169496,-1.634707,0.0,0.0,9.2791,0.0
4.729999999999999,5.579594,0.59012,47.871147,0.66299,-1.346316,0.0,0.0,0.0,0.0
4.793999999999999,5.600439,0.619379,48.52127,6.971383,0.184656,9.824402,10.636853,0.0,0.0
4.856,5.619647,0.636412,50.319833,10.797159,0.957878,8.46888,0.08243,0.0,0.0
4.92,5.655449,0.646445,47.312123,-1.626604,0.753567,0.0,0.0,10.370598,9.594472
4.984,5.687983,0.667705,45.233374,-12.216882,-0.320913,0.0,0.0,10.537937,5.113112
5.045999999999999,5.722218,0.705903,47.768878,-0.769203,-1.909865,0.0,0.0,0.0,0.0
5.109999999999999,5.756176,0.737409,48.143975,7.46495,-2.57215,27.881805,0.0,0.0,0.0
5.174,5.788557,0.758971,50.474613,12.024562,1.325595,5.266457,9.34767,0.0,0.0
5.238,5.812984,0.792114,52.128129,4.453341,2.607139,0.0,0.0,19.004236,11.945761
5.304,5.832416,0.825485,54.77458,-12.860989,0.440409,0.0,0.0,17.995295,8.880103
5.367999999999999,5.867451,0.864459,53.443177,0.06169,-2.684907,0.0,0.0,0.0,0.0
5.431999999999999,5.89973,0.897704,52.176283,2.676757,-6.38861,35.556601,0.0,0.0,0.0
5.495999999999999,5.924898,0.916242,53.807934,5.107203,1.152524,9.273678,1.789396,0.0,0.0
5.559999999999999,5.949742,0.918396,53.178878,5.159302,7.538171,0.0,11.043191,0.0,18.171085
5.623999999999999,5.94938,0.94247,56.889137,-4.873241,1.864923,0.0,0.0,0.0,16.600458
5.69,5.9469,0.983311,61.95815,-5.105581,0.867091,0.0,0.0,0.0,0.0
5.754,5.956625,1.021866,59.592531,2.397084,0.264188,0.0,0.0,0.0,0.0
5.82,5.953573,1.059345,62.452444,10.765851,-0.412675,9.662743,9.282512,0.0,0.0
5.883999999999999,5.933477,1.092898,63.974133,12.543325,-0.111594,0.0,3.392977,0.0,0.0
5.947999999999999,5.892036,1.142675,72.6609,-13.242683,0.68139,0.0,0.0,8.578055,10.148986
6.011999999999999,5.844884,1.210025,83.306194,-9.895987,-0.440249,0.0,0.0,0.0,0.0
6.075999999999999,5.804445,1.273213,89.489612,-0.571311,3.998892,0.0,0.0,0.0,0.0
6.139999999999999,5.769807,1.32568,91.713708,7.250539,2.549122,9.365731,8.234814,0.0,0.0
6.208,5.766037,1.37175,92.160922,7.176354,2.619594,0.0,0.0,0.0,0.0
6.272,5.773407,1.412276,89.291837,-10.949034,1.673085,0.0,0.0,6.654708,9.694434
6.337999999999999,5.790327,1.474465,82.617615,-10.254178,-2.426011,0.0,0.0,2.076892,0.0
6.401999999999999,5.802503,1.545186,80.747581,2.274829,-5.513506,0.0,0.0,0.0,0.0
6.468,5.811579,1.610584,81.736208,11.04385,-2.588327,8.868234,13.886978,0.0,0.0
6.533999999999999,5.834781,1.672113,79.250738,16.343357,0.772337,10.315595,14.327677,0.0,0.0
6.601999999999999,5.842509,1.748411,79.972602,-6.165035,-0.648402,0.0,0.0,8.84919,9.293265
6.665999999999999,5.849091,1.83154,79.20782,-12.206042,-3.223542,0.0,0.0,4.586809,0.0
6.728,5.854061,1.925442,79.782106,-0.125445,-10.30166,0.0,0.0,0.0,0.0
6.793999999999999,5.85081,2.015336,85.352408,4.479188,-5.395859,9.569881,15.885876,0.0,0.0
6.857999999999999,5.88616,2.079864,82.544124,12.913758,-0.171717,2.057285,8.793497,0.0,0.0
6.924,5.91964,2.15254,80.407816,-1.349888,-0.00121,0.0,0.0,7.766093,9.89535
6.988,5.934586,2.231881,78.665916,-14.003569,-2.571595,0.0,0.0,10.118774,1.792134
7.049999999999999,5.950813,2.33352,78.184271,-3.557937,-0.76771,0.0,0.0,0.0,0.0
7.116,5.9592,2.436551,81.734476,4.785265,2.108428,29.197631,39.765411,0.0,0.0
7.18,5.967951,2.519393,82.841178,14.635528,1.744899,3.312682,9.396375,0.0,0.0
7.244,5.96459,2.605486,84.846333,6.91923,0.812202,0.0,0.0,29.540548,10.70854
7.305999999999999,5.961576,2.692873,86.48928,-11.966031,-0.099478,0.0,0.0,8.676713,6.268051
7.372,5.96945,2.801748,84.288385,-0.868239,0.043932,0.0,0.0,0.0,0.0
7.433999999999999,5.970896,2.897712,84.4824,4.797069,0.495413,0.0,0.0,0.0,0.0
7.5,6.004095,2.972341,75.952004,10.585253,-1.531831,8.796169,11.713879,0.0,0.0
7.564,6.054533,3.015995,67.119271,10.424245,1.941907,0.0,0.0,0.0,0.0
7.629999999999999,6.092255,3.056051,64.381705,-10.565951,-4.046002,0.0,0.0,12.34427,5.955433
7.692,6.147715,3.102257,58.298342,-8.76958,-3.820872,0.0,0.0,0.0,0.0
7.757999999999999,6.199157,3.15932,59.086941,2.22929,-8.698042,0.0,0.0,0.0,0.0
7.825999999999999,6.254653,3.20298,63.428209,7.718987,1.188355,3.511249,5.888191,0.0,0.0
7.889999999999999,6.316947,3.228036,57.295573,10.174884,5.944477,0.0,8.488511,0.0,54.369124
7.955999999999999,6.349039,3.281219,61.338428,-7.978143,2.370125,0.0,0.0,2.565948,11.645651
8.02,6.382409,3.345144,61.482221,-6.479376,0.450999,0.0,0.0,0.0,0.0
8.088,6.42474,3.406778,55.97131,6.760669,-1.421868,0.0,0.0,0.0,0.0
8.152,6.45441,3.454071,53.329001,-2.618875,0.149692,9.819304,7.137957,0.0,0.0
8.216,6.486315,3.461735,49.424215,1.883188,5.757325,0.0,0.0,0.0,64.6309
8.28,6.51642,3.46374,43.429101,-10.999937,1.774709,0.0,0.0,9.320007,7.48416
8.341999999999999,6.543386,3.490917,44.318472,-8.354645,-2.165039,0.0,0.0,13.721247,0.0
8.41,6.572852,3.522861,44.627139,2.372771,-3.972649,0.0,0.0,0.0,0.0
8.475999999999999,6.595413,3.54848,48.190848,6.711887,-1.569794,9.517234,10.710895,0.0,0.0
8.543999999999999,6.628089,3.556871,47.429261,7.88598,2.759446,0.0,3.21872,0.0,0.0
8.612,6.653677,3.573746,45.897026,-11.867724,1.314959,0.0,0.0,8.799667,9.629775
8.677999999999999,6.687929,3.608472,44.34748,-9.2064,-3.984946,0.0,0.0,4.021374,0.0
8.744,6.720915,3.646038,43.298421,3.356726,-4.727372,0.0,0.0,0.0,0.0
8.809999999999999,6.743678,3.679693,46.632448,8.881468,-1.603823,8.768025,9.331508,0.0,0.0
8.876,6.765326,3.702136,45.880017,11.398303,-0.217876,0.0,0.588478,0.0,0.0
8.943999999999999,6.782606,3.738025,45.831072,-10.277027,-3.79631,0.0,0.0,6.972712,8.884962
9.008,6.813684,3.780352,45.917112,-12.726612,-7.865026,0.0,0.0,9.038856,0.0
9.07,6.855424,3.816392,40.028976,1.831768,-5.418859,0.0,0.0,0.0,0.0
9.134,6.88495,3.856181,40.507282,3.531413,-4.623203,9.626651,9.33935,0.0,0.0
9.196,6.895034,3.886465,42.647715,7.907194,-6.249681,0.771944,1.601242,0.0,0.0
9.258,6.900475,3.914759,45.42309,0.342033,-10.960065,0.0,0.0,18.311304,9.155011
9.324,6.917971,3.934581,42.395625,-6.883057,-12.828668,0.0,0.0,17.537048,8.76061
9.388,6.956076,3.943253,34.433031,-5.066163,-12.163336,0.0,0.0,0.0,0.0
9.452,6.988258,3.961524,32.847544,-2.527004,-12.074165,0.0,0.0,0.0,0.0
9.518,7.015527,3.963109,29.662763,2.782871,-9.982655,9.150787,0.0,0.0,0.0
9.582,7.03615,3.946556,27.842287,-5.305504,-5.271679,0.0,0.0,0.0,9.931209
9.648,7.061377,3.925311,15.268434,-15.811873,-1.179697,0.0,0.0,0.0,4.370069
9.712,7.084844,3.905568,2.210011,-7.973932,-3.247583,0.0,0.0,0.0,0.0
9.778,7.092995,3.88485,-9.823873,2.825903,-4.474392,12.735747,0.0,0.0,0.0
9.844,7.071654,3.889925,-15.299204,5.150978,4.20891,6.214993,4.471488,0.0,0.0
9.91,7.051199,3.925971,-11.398774,-17.491572,-1.828407,0.0,0.0,10.893315,13.849966
9.972,7.050743,3.961279,-7.360934,-21.65965,0.126455,0.0,0.0,10.694786,9.441117
10.038,7.073737,3.993026,-3.812466,-10.6571,-3.089266,0.0,0.0,0.0,0.0
10.102,7.089712,4.023735,-0.252879,0.148555,-7.196268,0.0,0.0,0.0,0.0
10.166,7.094258,4.045732,4.931081,2.373987,-8.43078,9.999926,0.0,0.0,0.0
10.23,7.087263,4.041474,8.9157,-7.782764,-0.499515,0.0,0.0,0.0,12.595696
10.292,7.084612,4.020925,-0.602769,-21.601689,0.211157,0.0,0.0,9.160374,9.709318
10.362,7.103802,4.011009,-4.367566,-13.533027,-2.668729,0.0,0.0,0.0,0.0
10.424,7.118984,4.006702,-5.409847,-1.775866,-5.775729,0.0,0.0,0.0,0.0
10.49,7.121782,4.002629,-4.333156,3.025971,-0.654198,9.654243,2.6802,0.0,0.0
10.556,7.112776,3.997299,-1.174758,-5.212305,2.355641,0.0,1.555645,0.0,22.604314
10.62,7.122556,4.001128,-2.665383,-13.790947,3.983285,0.0,0.0,0.0,0.0
10.682,7.136194,3.994757,-8.83662,-9.047832,4.940915,0.0,0.0,0.0,0.0
10.746,7.147375,4.004161,-6.699678,-5.737513,2.830868,49.611743,0.0,0.0,0.0
10.81,7.133863,3.972556,-12.549994,-1.390864,6.640179,1.643367,1.41589,0.0,0.0
10.874,7.139166,3.986672,-10.142957,-7.408714,-1.322995,0.0,0.0,0.0,0.0
10.936,7.142389,3.981927,-20.212807,-20.023625,1.235094,0.0,0.0,15.058408,0.0
11.0,7.165408,4.006932,-5.594844,-15.409036,-2.532124,0.0,0.0,11.136863,17.775359
11.06,7.17654,4.015262,1.985204,-6.335251,-2.919197,0.0,0.0,0.0,0.0
11.126,7.182303,4.007819,1.062172,2.132016,1.398063,11.342297,10.075122,0.0,0.0
11.19,7.166058,3.989334,0.561863,0.101327,3.331057,1.842688,1.852055,0.0,0.0
11.254,7.165955,3.983735,-1.688529,-15.723482,3.568555,0.0,0.0,13.367701,8.471769
11.32,7.168394,3.973601,-10.912723,-18.89013,4.195453,0.0,0.0,10.850935,0.0
11.382,7.176886,3.991304,-3.18345,-5.712249,-2.532559,0.0,0.0,0.0,0.0
11.446,7.172421,3.993342,-4.595474,4.942236,-4.503637,24.91039,0.0,0.0,0.0
11.51,7.160826,3.982944,-3.79378,10.861505,0.460534,6.798083,10.698436,0.0,0.0
11.574,7.15422,3.975295,-4.556824,-4.977363,3.236092,0.0,0.0,18.355312,10.654336
11.64,7.151032,3.975693,-3.960486,-22.456579,1.20973,0.0,0.0,8.923359,9.85805
11.706,7.175929,3.988561,0.815762,-12.206163,-1.870899,0.0,0.0,0.0,0.0
11.77,7.195002,3.992523,0.02723,-2.013293,-3.347501,0.0,0.0,0.0,0.0
11.838,7.202376,3.997816,3.584244,4.216159,-2.569939,9.440351,4.124954,0.0,0.0
11.9,7.198723,3.993066,7.751448,-8.058322,-0.565621,0.0,0.0,22.48987,10.876951
11.966,7.200212,3.974952,0.42877,-19.932533,0.10128,0.0,0.0,10.101564,6.629872
12.03,7.220974,3.965037,-2.84631,-11.938122,-2.156924,0.0,0.0,0.0,0.0
12.096,7.238653,3.957674,-3.83783,-0.701636,-3.753188,0.0,0.0,0.0,0.0
12.158,7.242689,3.947135,-5.36003,3.092611,1.277276,9.558239,7.619459,0.0,0.0
12.22,7.232875,3.942792,-1.86588,-4.42431,4.966535,0.0,8.047834,0.0,13.803996
12.288,7.227906,3.949984,0.591798,-20.285104,1.641768,0.0,0.0,0.0,9.349656
12.349999999999998,7.253989,3.958677,-0.844123,-14.956932,-2.104661,0.0,0.0,0.0,0.0
12.412,7.279116,3.951132,-11.345392,2.616809,-7.412377,0.0,0.0,0.0,0.0
12.477999999999998,7.297358,3.967515,-8.496464,2.096168,-0.764088,10.023,6.181324,0.0,0.0
12.544,7.291221,3.970924,-7.499434,0.38634,2.324175,0.0,0.0,0.0,0.0
12.61,7.284965,3.97616,-10.310206,-20.390051,2.678047,0.0,0.0,8.409973,9.446283
12.672,7.302357,3.995102,-9.406843,-16.299164,-1.008543,0.0,0.0,0.0,0.0
12.738,7.324936,4.021099,-3.878698,-5.661208,0.415942,0.0,0.0,0.0,0.0
12.803999999999998,7.336088,4.042652,0.336555,-2.300214,1.142842,10.075943,8.3196,0.0,0.0
12.868,7.318092,4.039683,1.331218,-3.787214,1.173098,4.344924,3.801248,0.0,0.0
12.93,7.298107,4.037001,-0.707902,-16.871981,2.012628,0.0,0.0,15.839229,10.330832
12.996,7.299023,4.033151,-4.612986,-19.997183,-1.086373,0.0,0.0,8.361328,0.0
13.058,7.315853,4.032991,-5.201958,-7.986656,-1.129599,0.0,0.0,0.0,0.0
13.124,7.327109,4.039074,-2.572987,2.222197,-1.675406,11.142129,21.085051,0.0,0.0
13.189999999999998,7.318784,4.034444,-1.916093,3.225909,1.754242,1.159159,5.303917,0.0,0.0
13.253999999999998,7.305981,4.027562,-4.1511,-12.972526,2.015994,0.0,0.0,9.472908,9.436938
13.317999999999998,7.301199,4.027604,-5.279055,-21.143794,0.189434,0.0,0.0,8.695088,14.453434
13.38,7.31267,4.041113,-0.916509,-9.001317,-0.293914,0.0,0.0,0.0,0.0
13.442,7.317025,4.058524,4.548923,-0.345731,0.058869,0.0,0.0,0.0,0.0
13.508,7.303335,4.053415,4.715682,-0.353019,-1.717854,7.299372,2.835606,0.0,0.0
13.57,7.277882,4.036362,6.111423,-11.557791,2.153793,0.0,0.0,13.232867,11.09415
13.634,7.262043,4.00882,-2.513322,-17.628134,2.30531,0.0,0.0,0.0,8.223513
13.7,7.256469,4.008698,-0.115942,-12.97261,8.61345,0.0,0.0,0.0,0.0
13.762,7.245586,4.008704,2.73411,-14.816381,21.50811,0.0,0.0,0.0,0.0
13.826,7.251879,4.00028,-0.850276,-13.035341,13.768577,0.0,6.786509,0.0,0.0
13.89,7.286214,4.001241,-4.537657,-16.957796,11.244645,0.0,0.0,0.0,12.530777
13.956,7.325152,4.009521,-7.407355,-19.375306,0.157798,0.0,0.0,0.0,0.0
14.021999999999998,7.379546,4.039668,-1.778604,-9.062346,-5.519458,0.0,0.0,0.0,0.0
14.088,7.427472,4.052589,-7.657997,5.140618,-9.185183,0.0,0.0,0.0,0.0
14.154,7.443926,4.070674,1.563021,-4.603537,0.647746,4.939456,6.866011,0.0,0.0
14.218,7.428794,4.045328,-2.463497,-7.937465,7.025413,0.0,0.518682,0.0,42.794195
14.282,7.419118,4.048056,0.784134,-18.005826,3.362807,0.0,0.0,2.017941,10.737291
14.348,7.425725,4.046924,-5.743606,-13.433604,0.819663,0.0,0.0,0.0,0.0
14.41,7.431228,4.060305,-3.755746,-1.585336,-7.343289,0.0,0.0,0.0,0.0
14.474,7.425957,4.068628,-2.715263,6.154385,-7.44908,10.123297,6.107105,0.0,0.0
14.538,7.402692,4.068378,0.862515,4.021754,-1.873866,0.100717,0.0,0.0,0.0
14.602,7.380556,4.047748,-5.556845,-19.108706,2.258349,0.0,0.0,10.953431,8.931597
14.668,7.375998,4.041093,-8.248772,-15.8115,-0.277372,0.0,0.0,7.411555,0.0
14.732,7.377257,4.047451,-5.068677,-4.292313,-3.622384,0.0,0.0,0.0,0.0
14.791999999999998,7.371287,4.05101,-3.036791,4.453099,-4.891196,11.409419,11.497046,0.0,0.0
14.854,7.350483,4.038516,-0.969615,3.358604,0.677203,1.346783,6.289936,0.0,0.0
14.922,7.325537,4.023058,-2.562353,-17.429618,2.006241,0.0,0.0,9.115523,9.663057
