t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
0.098000, 0.095616,0.000000,0.000000,-1.570514,0.000000,6.370214,6.370214,4.674295,4.674295
0.162000, 0.086531,0.000000,0.000000,-4.059404,-0.000000,6.205133,6.205133,5.075299,5.075299
0.232000, 0.066308,0.000000,0.000000,-15.358788,-0.000000,6.438405,6.438405,8.236289,8.236289
0.296000, 0.040908,0.000000,0.000000,-25.258743,-0.000000,7.809818,7.809818,9.242697,9.242697
0.358000, 0.026579,0.000000,0.000000,-23.461180,-0.000000,5.671520,5.671520,8.176268,8.176268
0.424000, 0.006362,-0.000000,-0.000000,-24.138141,-0.000000,0.000000,0.000000,7.955190,7.955190
0.490000, -0.013187,-0.000000,-0.000000,-27.997284,-0.000000,0.000000,0.000000,1.787662,1.787662
0.552000, -0.016376,-0.000000,0.000000,-27.422141,0.000000,0.000000,0.000000,2.346724,2.346724
0.614000, -0.014422,0.000000,0.000000,-27.289153,0.000000,0.000000,0.000000,4.812678,4.812678
0.676000, -0.010966,-0.000000,0.000000,-27.300654,0.000000,0.000000,0.000000,6.205536,6.205536
0.738000, -0.007716,-0.000000,-0.000000,-27.312282,0.000000,0.000000,0.000000,6.940028,6.940028
0.804000, -0.005054,-0.000000,0.000000,-27.361926,0.000000,0.982350,0.982350,6.652785,6.652785
0.868000, -0.003504,-0.000000,0.000000,-27.404067,-0.000000,0.276460,0.276460,6.515589,6.515589
0.934000, -0.001925,-0.000000,0.000000,-27.442137,0.000000,0.290260,0.290260,6.535082,6.535082
1.006000, -0.000028,-0.000000,-0.000246,-27.522272,-0.000387,0.328652,0.329707,6.556649,6.556306
1.082000, 0.002135,-0.000007,-0.005993,-27.601120,-0.004491,0.328454,0.329878,6.589489,6.761025
1.154000, 0.006594,-0.000029,-0.023305,-26.058465,-0.024144,2.930659,2.763846,5.558415,5.961508
1.218000, 0.017802,0.000329,-0.153220,-17.639094,-0.229024,17.853836,8.019902,6.223852,8.507277
1.298000, 0.034681,0.049096,10.522586,0.209770,-1.626591,0.000000,0.000000,9.944070,7.777652
1.378000, 0.056915,0.080988,13.375521,-2.667454,-1.951398,7.717250,0.000000,9.827253,3.959150
1.440000, 0.087121,0.062834,9.914797,-3.228041,2.184720,0.000000,0.000000,7.502301,0.000000
1.502000, 0.117196,0.031042,-0.203114,3.856437,6.198336,0.000000,21.728029,0.000000,0.000000
1.564000, 0.135714,0.021684,-2.189227,4.592695,6.243196,0.000000,8.698870,0.000000,0.000000
1.628000, 0.145417,0.017065,-5.330061,3.560138,5.024337,5.936940,5.741742,16.015971,22.101390
1.692000, 0.156171,0.033821,-3.411844,4.177874,1.505910,8.196073,0.000000,1.840288,8.591560
1.758000, 0.167920,0.049454,-1.574367,1.826050,-0.345049,9.005194,0.000000,0.000000,8.752726
1.826000, 0.177700,0.062388,0.757671,2.622387,-1.486331,8.397794,0.000000,0.000000,8.662899
1.890000, 0.186056,0.068486,0.255690,2.869788,-3.267472,8.600709,0.000000,13.255732,8.928711
