t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
0.094000, 0.215953,-0.000000,-0.000000,1.045932,0.000000,6.169435,6.169435,4.913347,4.913347
0.156000, 0.208069,-0.000000,-0.000000,2.375643,-0.000000,6.098019,6.098019,5.337896,5.337896
0.214000, 0.196172,-0.000000,-0.000000,-0.197450,0.000000,7.950599,7.950599,9.979722,9.979722
0.274000, 0.182450,-0.000000,-0.000000,-0.517102,0.000000,5.379845,5.379845,7.548921,7.548921
0.330000, 0.167960,-0.000000,-0.000000,-0.578990,-0.000000,5.668655,5.668655,8.454599,8.454599
0.386000, 0.150308,-0.000000,-0.000000,-0.930357,0.000000,5.258082,5.258082,9.123224,9.123224
0.488000, 0.129801,0.000000,0.000000,0.194909,-0.000000,0.557084,0.557084,0.000000,0.000000
0.548000, 0.131903,0.000000,0.000000,0.121563,-0.000000,4.589615,4.589615,1.048313,1.048313
0.608000, 0.134938,0.000000,0.000000,0.088940,-0.000000,5.277776,5.277776,4.020342,4.020342
0.668000, 0.135618,0.000000,0.000000,0.088965,-0.000000,4.875450,4.875450,3.690624,3.690624
0.730000, 0.135237,0.000000,0.000000,0.077703,-0.000000,4.433605,4.433605,3.347709,3.347709
0.790000, 0.134959,0.000000,0.000000,0.071262,-0.000000,4.318814,4.318814,3.324835,3.324835
0.852000, 0.134940,0.000000,0.000000,0.065657,-0.000000,4.330709,4.330709,3.429490,3.429490
0.910000, 0.135008,0.000000,0.000000,0.060099,-0.000000,4.331454,4.331454,3.511479,3.511479
0.968000, 0.135060,0.000000,0.000000,0.054207,-0.000000,4.304674,4.304674,3.559475,3.559475
1.024000, 0.135088,0.000000,0.000000,0.048344,-0.000000,4.270909,4.270909,3.592312,3.592312
1.084000, 0.135110,0.000000,0.000000,0.041915,-0.000000,4.239234,4.239234,3.626726,3.626726
1.140000, 0.135134,0.000000,0.000000,0.035741,-0.000000,4.215317,4.215317,3.660073,3.660073
1.198000, 0.135164,0.000000,0.000000,0.029123,-0.000000,4.194025,4.194025,3.693904,3.693904
1.254000, 0.135195,0.000000,0.000000,0.022484,-0.000000,4.175354,4.175354,3.724665,3.724665
1.318000, 0.135233,0.000000,0.000000,0.014566,-0.000000,4.155899,4.155899,3.757463,3.757463
1.386000, 0.135275,0.000000,0.000007,0.005751,0.000001,4.135709,4.135640,3.787449,3.787969
1.446000, 0.135096,0.000059,0.020458,0.015356,0.021826,1.706391,2.611650,0.409549,2.358203
1.512000, 0.128830,0.001121,0.673675,0.835774,0.985045,7.056369,0.000000,0.000000,8.203494
1.574000, 0.129205,-0.016459,-3.895222,-0.066424,2.688510,0.005952,0.000000,15.512307,5.478332
1.634000, 0.137442,-0.037755,-9.660250,-3.683024,2.473450,0.000000,7.232995,9.122092,0.000000
1.696000, 0.156675,-0.038271,-8.929072,-8.932051,0.967397,0.000000,7.599238,9.925373,0.000000
1.756000, 0.180854,-0.039435,-6.417044,-12.961178,-5.670379,8.340010,0.000000,6.327164,10.603601
