t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
0.088000, 0.216476,-0.000000,-0.000000,0.939814,0.000000,6.122732,6.122732,4.845267,4.845267
0.146000, 0.209658,-0.000000,-0.000000,2.136429,-0.000000,6.175680,6.175680,5.299892,5.299892
0.212000, 0.196634,-0.000000,-0.000000,-0.102468,0.000000,8.049750,8.049750,10.165592,10.165592
0.268000, 0.183879,-0.000000,-0.000000,-0.524832,0.000000,5.411562,5.411562,7.586321,7.586321
0.324000, 0.169636,-0.000000,-0.000000,-0.558420,-0.000000,5.645368,5.645368,8.325966,8.325966
0.384000, 0.151008,-0.000000,-0.000000,-0.913052,0.000000,5.291872,5.291872,9.119377,9.119377
0.444000, 0.133257,-0.000000,-0.000000,0.141903,0.000000,0.083064,0.083064,0.000000,0.000000
0.502000, 0.129801,0.000000,0.000000,0.170129,-0.000000,1.687677,1.687677,0.000000,0.000000
0.562000, 0.132800,0.000000,0.000000,0.109978,-0.000000,5.003368,5.003368,3.321622,3.321622
0.620000, 0.135240,0.000000,0.000000,0.088199,-0.000000,5.264052,5.264052,4.003537,4.003537
0.682000, 0.135567,0.000000,0.000000,0.086463,-0.000000,4.744864,4.744864,3.586171,3.586171
0.742000, 0.135158,0.000000,0.000000,0.076174,-0.000000,4.390053,4.390053,3.322564,3.322564
0.802000, 0.134939,0.000000,0.000000,0.070172,-0.000000,4.317377,4.317377,3.341663,3.341663
0.860000, 0.134948,0.000000,0.000000,0.064915,-0.000000,4.332675,4.332675,3.443035,3.443035
0.918000, 0.135017,0.000000,0.000000,0.059302,-0.000000,4.329034,4.329034,3.519754,3.519754
0.976000, 0.135065,0.000000,0.000000,0.053378,-0.000000,4.299910,4.299910,3.564543,3.564543
1.034000, 0.135092,0.000000,0.000000,0.047283,-0.000000,4.265157,4.265157,3.597934,3.597934
1.090000, 0.135112,0.000000,0.000000,0.041262,-0.000000,4.236443,4.236443,3.630268,3.630268
1.148000, 0.135138,0.000000,0.000000,0.034842,-0.000000,4.212220,4.212220,3.664827,3.664827
1.206000, 0.135168,0.000000,0.000000,0.028190,-0.000000,4.191261,4.191261,3.698424,3.698424
1.264000, 0.135201,0.000000,0.000000,0.021271,-0.000000,4.172180,4.172180,3.729945,3.729945
1.322000, 0.135235,0.000000,0.000000,0.014059,-0.000000,4.154753,4.154753,3.759440,3.759440
1.380000, 0.135271,0.000000,0.000000,0.006527,-0.000000,4.139094,4.139094,3.787299,3.787299
1.438000, 0.135310,0.000000,0.000000,-0.001351,-0.000000,4.125221,4.125221,3.813795,3.813795
1.494000, 0.135348,0.000000,0.000000,-0.009314,-0.000000,4.113429,4.113429,3.838215,3.838215
1.554000, 0.135392,0.000000,0.000000,-0.018265,-0.000000,4.102415,4.102415,3.863209,3.863209
1.644000, 0.135463,-0.000000,0.000000,-0.032555,-0.000000,4.088244,4.088244,3.898218,3.898218
1.706000, 0.135514,0.000000,0.000000,-0.042439,-0.000000,4.081874,4.081874,3.919387,3.919387
1.768000, 0.135564,0.000000,0.000000,-0.051609,-0.000000,4.077479,4.077479,3.936455,3.936455
1.830000, 0.135611,-0.000000,0.000000,-0.060944,-0.000000,4.073367,4.073367,3.952635,3.952635
1.890000, 0.135652,-0.000000,0.000000,-0.070687,-0.000000,4.069845,4.069845,3.967852,3.967852
1.952000, 0.135690,-0.000000,0.000000,-0.081633,-0.000000,4.066800,4.066800,3.983330,3.983330
2.016000, 0.135725,-0.000000,0.000000,-0.093973,-0.000000,4.064259,4.064259,3.999107,3.999107
2.080000, 0.135757,-0.000000,0.000000,-0.107549,-0.000000,4.060708,4.060708,4.015196,4.015196
2.144000, 0.135781,-0.000000,0.000000,-0.114927,-0.000000,4.054610,4.054610,4.020031,4.020031
2.206000, 0.135800,-0.000000,0.000000,-0.133277,-0.000000,4.030236,4.030236,4.049555,4.049555
2.268000, 0.135821,-0.000000,-0.000000,-0.145610,-0.000000,4.012926,4.012926,4.070260,4.070260
2.328000, 0.135809,-0.000000,-0.000000,-0.167928,-0.000000,3.993329,3.993329,4.049831,4.049831
2.392000, 0.135821,0.000000,0.000001,-0.190006,-0.000002,4.619881,4.619826,4.039088,4.039181
2.454000, 0.135842,0.000000,0.000053,-0.198073,-0.000001,3.996592,3.995863,4.070380,4.072018
2.512000, 0.135846,-0.000007,-0.003466,-0.209306,-0.002965,3.930371,3.902324,3.986203,3.971329
2.568000, 0.134340,0.000016,-0.012773,-0.188626,0.021793,2.173005,0.838209,2.823501,2.469346
2.628000, 0.131077,-0.001483,-0.377471,1.581445,-1.411721,0.086683,6.477384,9.408922,0.000000
2.688000, 0.130132,0.005563,2.288197,2.565119,-0.201751,2.165468,10.106635,9.193594,0.000000
2.746000, 0.140866,0.017840,6.293667,-2.762440,3.023359,6.826712,1.874310,9.392373,22.139408
2.810000, 0.163064,0.019749,7.064617,-7.765189,4.252764,5.614060,0.000000,0.000000,9.369233
2.866000, 0.186300,0.021205,6.634307,-11.392451,4.482063,6.612587,0.000000,0.000000,10.014360
2.926000, 0.217308,0.020473,4.046673,-10.955604,4.193649,1.190741,14.992484,9.843039,5.405255
2.986000, 0.246065,0.014063,0.894254,-5.390399,0.758197,0.000000,8.084946,8.956098,0.000000
3.046000, 0.273206,0.010073,-0.841496,-2.849561,0.187956,0.000000,8.734278,9.316965,0.000000
3.106000, 0.302930,0.012521,-0.004557,-1.905665,0.481006,10.028111,0.634205,1.876670,10.293734
3.162000, 0.325475,0.013621,0.509447,-1.227432,0.782433,8.673532,0.000000,0.000000,9.266179
3.222000, 0.350601,0.011631,-0.275406,-1.768295,0.071060,8.856095,0.000000,0.000000,9.510765
3.278000, 0.376686,0.007446,-2.120637,-1.776163,-0.355078,1.469280,9.884621,10.238150,0.825000
3.336000, 0.399396,0.007590,-2.398085,-1.195009,-0.362141,0.000000,8.769498,9.170233,0.000000
3.394000, 0.423041,0.011900,-1.097523,-1.837180,0.108592,0.000000,6.395784,9.619118,0.000000
3.456000, 0.449322,0.019580,1.622731,-1.370014,0.471951,9.231101,0.000000,0.000000,9.613130
3.512000, 0.468763,0.019261,1.913555,-1.182063,0.505535,8.548505,0.000000,0.000000,9.397511
3.568000, 0.489694,0.013074,0.244346,-1.787396,0.009188,4.143124,0.000000,0.000000,8.323505
3.624000, 0.509347,0.005996,-1.835079,-1.461674,-0.243517,0.000000,9.348708,9.532237,0.000000
3.682000, 0.523159,0.006661,-1.880552,-1.256494,-0.240680,0.000000,8.960168,9.192310,0.000000
3.738000, 0.533335,0.012307,-0.611725,-1.062749,-0.166451,0.000000,9.158984,9.176049,0.000000
3.796000, 0.539533,0.022962,1.778785,-0.388332,-0.745604,9.545597,1.436589,0.678294,9.790394
3.854000, 0.541776,0.023905,1.890478,0.739304,-1.410444,8.998368,0.000000,2.794049,8.872127
3.910000, 0.544065,0.015252,-0.076329,1.776174,-2.391886,9.312247,3.988642,5.462241,9.768231
3.968000, 0.551255,0.013084,-0.843823,1.393160,-1.799880,9.133653,1.224473,0.000000,9.345814
4.028000, 0.561137,0.014203,-0.990253,-0.430131,-1.778135,8.915608,0.000000,0.000000,9.288276
4.086000, 0.572726,0.010395,-2.472304,-2.564221,-1.071187,9.424492,0.000000,5.640505,9.659014
4.142000, 0.588586,0.006855,-3.975553,-2.296471,-0.366217,0.575876,11.684438,10.147730,5.684744
4.200000, 0.607655,0.007847,-4.334205,-1.065580,0.028976,0.000000,9.062737,9.382245,0.463513
4.258000, 0.626432,0.011746,-3.915844,-0.462330,-0.722015,0.000000,9.237075,9.477363,0.000000
4.316000, 0.646848,0.016544,-3.409956,-0.090426,-0.868961,0.000000,9.318805,9.513390,0.000000
4.374000, 0.669219,0.022667,-2.906468,0.962740,-2.175570,16.034289,8.206664,9.282676,0.000000
4.430000, 0.688012,0.022245,-3.253284,1.664614,-2.371419,8.485180,9.164793,8.709681,0.000000
4.488000, 0.701796,0.017567,-4.123610,1.769574,-2.260277,8.985063,9.080297,8.642851,0.000000
4.546000, 0.712686,0.014769,-4.416129,2.038411,-2.346533,8.443347,9.130239,8.217011,0.000000
4.606000, 0.724427,0.017701,-3.204262,0.918448,-1.123846,9.605378,4.756622,9.334407,0.000000
4.664000, 0.739627,0.022777,-0.770507,-0.257997,-0.554369,9.352170,0.000000,2.801972,9.492791
4.722000, 0.753295,0.022473,0.351619,-0.100351,-0.854164,9.154167,0.000000,0.000000,9.354897
4.780000, 0.767234,0.017886,0.401302,0.181830,0.966979,9.206489,0.000000,0.000000,9.462193
4.838000, 0.784114,0.009295,-0.353430,0.251521,1.035235,9.338112,0.000000,0.000000,9.521974
4.898000, 0.802755,0.000132,-1.139740,1.728154,2.227577,7.115842,9.370022,0.000000,9.188969
4.956000, 0.817030,0.003534,-0.182785,2.260958,1.811094,9.302736,8.051706,0.000000,9.147155
