t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
0.0,0.990013,0.003822,6.588645,3.256027,2.422352,6.515375,9.888424,0.0,8.435681
0.0619999999999993,1.002141,-0.007674,2.956029,1.313428,3.986793,0.0,8.33076,0.0,8.682048
0.1219999999999998,1.015572,-0.00765,-0.363256,-0.711755,-0.880867,0.0,10.691209,11.280026,2.022495
0.1839999999999992,1.030952,-0.007326,-3.921423,0.952215,-4.105359,7.837364,7.094844,8.418234,0.0
0.2459999999999995,1.044742,-0.005502,-6.681933,3.668394,-2.894495,11.574302,3.534136,8.589935,0.0
0.3039999999999994,1.05714,0.003357,-4.148911,2.456021,-3.358384,8.131458,0.0,8.704876,5.204155
0.3659999999999996,1.070998,0.00628,0.383778,-0.674065,-0.253848,8.559176,0.0,2.391333,9.246875
0.4299999999999997,1.08568,0.003318,3.138714,1.207067,3.155725,7.019983,7.887483,0.0,8.494061
0.492,1.097968,0.001133,5.128935,3.749628,2.380156,7.787935,9.34786,0.0,8.129573
0.5539999999999994,1.109569,-0.008531,2.859301,2.298146,2.407407,0.0,8.304085,8.655839,7.504505
0.6179999999999994,1.122695,-0.013804,-1.851758,-0.671609,-0.392869,0.0,9.129232,9.168026,0.842284
0.6799999999999997,1.135954,-0.011956,-4.171696,1.326945,-3.241451,7.661881,7.906444,8.454744,0.0
0.742,1.147926,-0.010524,-6.715709,3.463895,-2.339797,6.865519,8.722132,8.571572,0.0
0.8079999999999998,1.160357,-0.00116,-4.586881,2.102194,-2.781918,8.186197,0.0,8.960637,6.810186
0.8679999999999994,1.171814,0.003798,0.685172,-0.809604,-0.023768,8.450065,0.0,3.993903,9.122236
0.9299999999999996,1.184006,0.003449,3.993924,0.063268,3.410003,7.956393,7.328918,0.0,8.536714
0.9899999999999992,1.195639,0.001961,5.894626,2.602888,2.547398,9.134734,7.282629,0.0,8.749678
1.0539999999999994,1.20918,-0.005765,3.850686,1.836006,2.420392,0.0,8.37588,7.293696,7.798413
1.1159999999999997,1.222995,-0.011913,-1.250198,-1.899656,0.23571,0.0,8.481975,9.302866,2.146823
1.1799999999999995,1.23678,-0.007819,-2.931238,-0.112476,-3.603188,7.722196,6.319088,8.98475,0.0
1.242,1.248349,-0.006363,-5.068541,2.470462,-2.466037,7.350377,8.276211,9.045711,0.0
1.3039999999999994,1.259604,0.001585,-2.303678,1.404917,-2.921815,8.165786,0.0,8.268551,7.637546
1.3679999999999994,1.272188,0.001353,0.88695,-1.481569,-0.019147,8.834572,0.0,1.443745,9.043348
1.4299999999999995,1.28399,-0.004655,2.022066,0.893698,3.213808,6.618729,7.259306,0.0,8.583483
1.492,1.294922,-0.006114,4.392134,3.074132,2.469578,8.457661,6.757244,0.0,8.50992
1.5539999999999994,1.305524,-0.012924,2.85691,2.496234,2.117857,0.0,8.094413,8.775266,8.307382
1.614,1.317127,-0.016315,-1.681293,-0.7303,0.134111,0.0,8.298186,8.983047,2.644411
1.678,1.330466,-0.011737,-3.49473,0.441018,-3.319401,7.32914,7.98852,8.975323,0.0
1.742,1.343036,-0.010435,-6.532197,2.96133,-2.648254,8.349911,8.575797,8.493136,0.0
1.804,1.355353,-0.002731,-4.674045,2.614189,-2.297561,8.273131,0.0,6.80826,7.478665
1.868,1.367895,0.001738,0.630348,-1.324748,-0.234665,8.527514,0.0,2.468365,9.01911
1.9299999999999988,1.380196,-0.001727,2.934186,-0.066084,3.158666,6.649153,7.548362,0.0,8.540726
1.992,1.392171,-0.003377,5.099189,2.600634,2.512277,8.631331,6.263849,0.0,8.790432
2.0539999999999994,1.404601,-0.010893,3.562003,2.411045,2.171617,0.0,8.279904,6.60688,7.853511
2.1159999999999988,1.417526,-0.014265,-0.871304,-1.039289,0.159441,0.0,8.698603,8.925914,3.169329
2.176,1.429837,-0.011813,-3.733435,-0.243728,-3.216515,8.154828,7.480323,8.406564,0.0
2.233999999999999,1.441122,-0.010562,-5.672377,2.446004,-2.680426,6.247482,8.86002,8.59488,0.0
2.297999999999999,1.453367,-0.001764,-4.440577,2.204735,-2.6217,8.063113,0.0,8.389593,7.186335
2.3600000000000003,1.464617,0.001128,-0.841529,-1.060143,-0.844131,8.275248,0.0,5.973733,12.908165
2.419999999999999,1.476832,-0.001267,1.832301,-0.076681,3.114863,7.874524,9.557812,0.0,8.60315
2.4799999999999995,1.488484,-0.001885,4.327061,2.486216,2.750171,8.386471,7.120449,0.0,8.605157
2.544,1.500674,-0.008626,3.045307,2.071639,2.064203,0.0,8.080424,6.961183,8.398305
2.605999999999999,1.512674,-0.013382,-1.190905,-1.000036,0.516726,0.0,8.432235,8.764606,5.437363
2.6659999999999995,1.525521,-0.012609,-3.667104,0.170704,-2.735936,8.701903,8.254627,8.524921,0.0
2.726,1.537628,-0.012403,-6.166682,3.17371,-2.711672,10.930692,11.671763,7.794596,0.0
2.7860000000000005,1.549289,-0.006518,-5.445341,2.903145,-2.199149,8.586763,2.904733,7.786899,0.0
2.848,1.56067,-0.002745,-2.292289,-0.270995,-0.421977,5.930442,0.0,7.074621,14.338813
2.91,1.573934,0.003214,2.791149,0.50179,3.27361,7.293521,8.961839,0.0,8.78494
2.97,1.584915,0.00632,5.463648,3.022716,2.67105,8.289229,5.975301,0.0,8.667543
3.03,1.596578,0.000424,5.10649,3.480589,1.875811,1.558632,8.728619,8.793635,8.207997
3.089999999999999,1.607976,-0.00735,0.695752,0.300902,1.311172,0.0,8.00695,8.643741,9.590835
3.153999999999999,1.621381,-0.00904,-3.358439,0.003486,-2.369451,8.378899,8.368967,8.943915,0.0
3.2139999999999995,1.633708,-0.007374,-4.984951,2.614046,-3.096059,7.275844,8.445104,8.7285,0.0
3.275999999999999,1.645723,-0.001517,-4.970198,3.37509,-2.139292,8.634876,1.019448,9.446966,0.0
3.338,1.655876,0.004551,-1.329604,-0.084727,-1.97301,7.978183,0.0,8.665737,10.417524
3.402,1.66861,0.004089,2.230176,-0.384716,2.260023,8.353254,10.195427,0.0,8.963231
3.4639999999999995,1.680421,0.002946,4.873073,2.314131,2.989715,7.985292,9.439409,0.0,8.75537
3.524,1.691532,-0.003389,5.058098,2.868014,2.296868,0.286391,8.685513,0.0,8.456652
3.588,1.70315,-0.0099,1.336455,-0.005373,1.990125,0.0,8.293725,10.186248,8.488124
3.647999999999999,1.715303,-0.010693,-2.606808,-0.364748,-1.958699,11.429506,8.66703,8.535295,1.87285
3.711999999999999,1.726962,-0.008125,-4.277987,1.904684,-3.236186,8.309235,8.446414,8.573195,0.0
3.774,1.737896,-0.004139,-5.405135,2.906671,-2.400125,9.307937,3.022108,8.456287,0.0
3.839999999999999,1.750214,0.002888,-1.992078,0.519245,-1.24573,7.764695,0.0,8.547284,11.142436
3.902,1.765399,0.007213,3.208297,-0.048743,3.060695,8.30631,11.752833,0.0,8.992426
3.961999999999999,1.778962,0.008054,6.079837,2.283473,3.323556,9.618333,6.17771,0.0,8.954004
4.024,1.793243,0.004879,6.991748,3.814257,2.277562,2.263801,9.793581,0.0,8.797121
4.085999999999999,1.807031,-0.003371,2.222504,0.400923,1.817812,0.0,8.345807,10.087532,11.773282
4.146,1.821216,-0.00583,-2.260066,-0.254803,-2.144657,11.26256,8.76325,8.735321,0.0
4.206,1.833318,-0.003285,-3.59156,1.939319,-3.352546,7.411167,8.23723,8.620577,0.0
4.268,1.843715,-0.000977,-5.193939,3.184603,-2.229835,10.45812,2.805308,8.452237,0.0
4.329999999999999,1.855437,0.007554,-1.560164,1.26239,-3.312736,5.855974,0.0,8.975394,0.0
4.392,1.869881,0.00905,2.954022,-0.37066,2.300283,8.190147,12.890751,0.6856,8.91243
4.457999999999999,1.884423,0.00868,6.167356,2.281608,3.523754,8.771727,7.193547,0.0,8.590679
4.5200000000000005,1.897788,0.005626,7.60844,3.714711,2.352839,2.463815,8.517772,0.0,8.127139
4.582,1.911341,-0.001755,3.139756,0.920288,1.765736,0.0,7.86954,13.336749,7.872332
4.642,1.925962,-0.004271,-1.123051,-0.072902,-1.7852,11.349917,8.52582,8.778313,1.074426
4.701999999999999,1.939378,-0.003575,-3.539671,1.888821,-3.243207,7.338736,9.176863,8.715179,0.0
4.764,1.951684,2e-06,-4.289587,3.428619,-2.268942,9.238562,0.53358,8.502306,0.0
4.828,1.964289,0.006978,-0.095032,1.333188,-2.946842,8.273016,0.0,11.271823,0.0
4.89,1.977264,0.005803,3.353341,-0.55628,2.41124,8.472475,14.235691,0.351916,9.006383
4.95,1.989234,0.005623,6.403836,1.652912,3.63298,8.531275,7.606319,0.0,8.654721
5.012,2.002979,0.000433,7.066254,3.460524,2.541481,3.667342,9.003552,0.0,8.811158
5.073999999999999,2.016831,-0.006979,3.267157,1.133637,2.496963,0.0,8.193393,10.883599,8.305741
5.136,2.032499,-0.008929,-2.244209,-1.354758,-1.724973,9.465923,8.616816,8.631141,2.190207
5.198,2.047825,-0.007989,-4.837632,1.580149,-3.430434,6.966053,7.324924,8.891829,0.0
5.262,2.06196,-0.007537,-6.541453,3.473781,-2.398203,8.246816,3.79505,7.716662,0.0
5.322,2.073883,-0.002622,-3.059847,0.320251,-1.811302,8.298142,0.0,8.710948,9.212757
5.384,2.087456,0.000235,1.258503,-1.30177,1.40285,8.445584,6.026362,0.749558,8.959419
5.444,2.100405,-0.000363,3.164349,1.116475,3.383671,7.790437,8.130592,0.0,8.810319
5.504,2.112236,-0.000921,5.319785,3.36071,1.904613,4.607699,11.764328,0.0,8.669198
5.566,2.124191,-0.008382,2.579216,1.37132,2.053331,0.0,8.276035,12.133154,6.931721
5.63,2.137208,-0.011875,-1.968167,-0.790702,-1.496524,0.0,8.900052,9.130838,0.0
5.694,2.149816,-0.012532,-5.034231,1.720878,-3.229399,7.225882,8.369489,8.921457,0.0
5.755999999999999,2.161221,-0.010898,-6.83501,3.35157,-2.303814,8.9277,2.954114,8.437176,0.0
5.8180000000000005,2.173253,-0.003636,-3.670044,1.283062,-1.817577,7.645376,0.0,8.283931,9.273517
5.877999999999999,2.186295,0.000221,1.169554,-0.500864,0.660797,8.537809,0.0,0.996479,8.976891
5.94,2.199419,-0.001066,3.511213,1.203295,3.36749,6.717822,8.045623,0.0,8.698458
5.999999999999999,2.211411,-0.001944,5.383432,3.409208,2.233394,8.4313,10.445946,0.0,8.644038
6.063999999999999,2.223542,-0.010023,2.365532,2.117713,2.834881,0.0,8.679173,0.0,8.666524
6.126,2.23631,-0.011865,-1.752813,-0.047834,-0.972637,0.0,8.519203,9.174682,0.51242
6.188,2.248529,-0.010224,-4.468148,1.240829,-3.708162,7.516758,6.933693,8.562229,0.0
6.248,2.259875,-0.010657,-7.073646,3.444053,-2.417353,6.688419,8.384561,8.743188,0.0
6.312,2.272657,-0.001865,-4.067701,2.422203,-2.4787,8.081055,0.0,8.456829,10.005928
6.371999999999999,2.285085,0.001735,-0.043299,0.407293,0.139338,8.446146,0.0,1.713546,8.772094
6.434,2.297539,0.00193,3.210142,1.562463,2.893637,7.882355,7.71424,0.0,8.740182
6.493999999999999,2.309028,-0.000108,4.99017,3.668973,2.238288,8.746546,8.903581,0.0,7.161357
6.556,2.319539,-0.009533,2.718327,2.487881,2.612574,0.0,8.600912,8.707169,8.105845
6.617999999999999,2.330175,-0.013794,-1.618345,-1.032912,0.243594,0.0,9.052603,9.196296,1.89768
6.675999999999999,2.340967,-0.01259,-4.036335,0.654914,-2.875579,7.372217,7.570578,8.261507,0.0
6.738,2.352389,-0.008176,-5.700697,2.991361,-2.455957,8.152061,8.612415,8.710965,0.0
6.797999999999999,2.363383,0.000466,-4.049738,2.789883,-2.128399,8.258915,0.0,8.521272,7.539318
6.86,2.375753,0.00605,0.501193,-0.04269,-0.293281,11.205219,0.0,4.72772,8.706305
6.924,2.389184,0.005935,3.404479,0.978925,2.892755,7.838181,7.652123,0.0,8.566166
6.988,2.401681,0.005556,5.827312,3.076076,2.115467,8.550943,7.125726,0.0,8.704434
7.05,2.41374,-0.003536,4.144802,3.127954,1.961284,0.0,8.229735,8.931765,8.294622
7.115999999999999,2.427043,-0.009707,-0.738009,-0.221855,0.145048,0.0,8.351984,8.891201,4.159732
7.179999999999999,2.439787,-0.008171,-3.101948,0.973017,-3.221742,6.249601,8.096325,8.755505,0.0
