t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
3.678000, 0.952972,0.023105,-2.269027,0.713199,-3.340826,9.194605,0.000000,0.986774,9.393491
3.736000, 0.957455,0.022597,-2.304376,-0.716471,-1.365690,9.035589,0.000000,0.000000,9.294921
3.798000, 0.961272,0.015731,-3.894056,-2.680142,0.612453,9.505954,0.000000,0.000000,9.602222
3.858000, 0.964472,0.006820,-5.965196,-2.967998,-0.342896,9.098663,0.000000,0.000000,9.387200
3.918000, 0.967274,-0.007612,-9.354417,-2.114691,-0.171773,4.157442,10.426317,10.129452,1.853052
3.976000, 0.963774,-0.043124,-17.614729,0.139607,-0.401988,0.000000,8.992808,9.229209,0.000000
4.034000, 0.948058,-0.095021,-30.324283,1.627829,0.003818,0.000000,11.788494,9.707070,0.000000
4.092000, 0.915621,-0.154255,-46.263526,2.271510,-1.013110,0.000000,16.157201,6.705936,0.000000
4.154000, 0.903417,-0.183962,-52.446495,1.708306,3.130242,16.780260,1.422178,0.000000,21.975736
4.214000, 0.893785,-0.207236,-57.018682,0.342113,3.876610,8.752993,0.000000,0.000000,9.352098
4.272000, 0.875059,-0.234323,-64.173825,-0.625565,1.128425,9.102814,0.000000,0.000000,9.423015
4.332000, 0.850171,-0.262705,-72.811716,-0.985520,-0.271707,9.658499,0.000000,0.000000,9.457025
4.392000, 0.815457,-0.290262,-83.282794,-1.770038,-1.428494,3.039291,19.045129,11.085005,2.661220
4.452000, 0.796839,-0.308535,-88.630952,-1.417492,0.371334,0.000000,8.802704,9.386505,0.000000
4.510000, 0.787065,-0.335869,-91.021702,-1.796823,0.517159,0.000000,8.996301,9.539690,0.000000
