t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
4.754000, 0.962587,-0.000195,0.551332,-1.770450,-1.507899,9.961385,6.745899,8.612902,0.000000
4.814000, 0.959647,-0.008998,-4.647922,-2.997372,0.157398,7.463912,0.000000,5.621097,8.862223
4.874000, 0.952414,-0.030782,-11.387039,-3.521862,1.032548,9.180825,0.000000,0.000000,8.586426
4.936000, 0.936494,-0.077689,-22.601054,4.251767,-2.198292,6.552110,0.000000,10.182723,0.253368
5.000000, 0.904432,-0.150808,-38.248437,4.539192,0.519099,0.000000,8.349035,8.771184,0.000000
5.064000, 0.864806,-0.215975,-55.000737,-0.585373,0.308639,0.000000,9.974922,9.490199,0.000000
5.126000, 0.830847,-0.264926,-66.721061,-2.114785,-0.757323,18.289295,0.000000,0.000000,6.206333
5.190000, 0.811252,-0.294404,-69.799148,-1.562133,-0.051049,8.207862,0.000000,0.000000,8.945108
5.252000, 0.793260,-0.320463,-70.927415,1.430996,-0.990158,8.223637,0.000000,0.000000,8.008415
5.314000, 0.764957,-0.346840,-78.039796,1.697460,-0.075904,0.000000,8.471379,8.683642,0.000000
5.374000, 0.741814,-0.359204,-86.007441,-0.439634,-0.225460,0.000000,8.236194,8.990926,0.000000
5.436000, 0.723358,-0.363214,-93.285403,0.227311,0.955441,0.000000,4.491108,2.075653,13.059012
