t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
4.430000, 0.970739,-0.008580,-0.725536,0.588224,1.485662,5.737738,4.484478,0.000000,7.494454
4.488000, 0.967414,-0.043885,-9.817178,-0.881842,1.140352,0.000000,11.773395,9.458019,0.282648
4.548000, 0.952345,-0.100087,-23.868966,0.113850,0.061006,0.000000,9.202929,9.493760,0.000000
4.606000, 0.918703,-0.159329,-39.999479,1.534850,-0.483215,17.132023,12.613494,17.679507,0.000000
4.664000, 0.901921,-0.184179,-45.046080,-0.064115,-0.325633,8.600649,0.000000,8.975470,0.000000
4.724000, 0.882241,-0.214163,-50.181534,-0.869198,-2.552396,9.103824,0.000000,9.328182,3.812801
4.784000, 0.846409,-0.257188,-58.964636,1.271299,-3.509761,10.350227,0.000000,4.750714,9.018182
4.844000, 0.805085,-0.297512,-67.464678,3.456464,-1.191264,0.000000,9.181715,0.000000,8.410603
4.902000, 0.777509,-0.325076,-74.577367,1.550184,0.959394,0.000000,8.939446,0.000000,8.553530
4.960000, 0.758227,-0.347519,-81.102846,-2.190822,0.044173,0.000000,9.039849,9.937499,5.750649
5.020000, 0.748285,-0.370391,-84.817821,-1.803656,-0.418756,0.000000,8.717423,9.277626,3.257780
5.080000, 0.742322,-0.395526,-87.204770,0.023437,-3.196048,8.765004,9.024281,9.403626,0.000000
5.136000, 0.740844,-0.418743,-87.774695,0.668357,-2.462501,4.636370,9.395809,9.232396,0.000000
5.196000, 0.742767,-0.446333,-86.727547,-1.003273,0.441485,9.742621,0.663708,7.769929,17.871960
5.254000, 0.738492,-0.472322,-86.515181,-0.905660,-0.299778,8.999655,0.000000,1.914589,8.897524
5.312000, 0.731565,-0.496031,-86.975566,0.392074,1.097453,9.479769,0.000000,0.000000,9.590432
5.372000, 0.718629,-0.521352,-88.887893,1.435315,2.562279,9.187022,8.408236,0.000000,9.289712
5.428000, 0.703761,-0.545671,-89.890973,-0.066360,0.731053,2.499453,9.916457,0.000000,9.039467
5.488000, 0.687999,-0.570000,-90.000000,-0.000000,0.000000,0.000000,9.000000,0.000000,9.000000
