t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
12.158000, 0.955308,-0.007149,-0.270086,-3.535101,0.907192,0.000000,8.303305,8.694741,2.909393
12.218000, 0.955912,-0.032706,-11.183243,-4.837826,-0.700751,0.000000,7.887588,8.640356,0.000000
12.278000, 0.958823,-0.056998,-18.659051,-3.766650,1.415008,0.000000,8.467892,8.594407,0.000000
12.336000, 0.962390,-0.069074,-21.907515,-2.242682,-0.173642,8.380992,8.544930,8.677358,0.000000
12.392000, 0.964934,-0.071426,-20.568986,-3.276176,-0.938432,8.796458,5.803532,8.341906,0.000000
12.452000, 0.963994,-0.081084,-21.695358,-2.134416,1.365958,1.201892,9.077797,8.780085,0.000000
12.510000, 0.960781,-0.090656,-22.200198,-3.360287,3.702191,0.000000,8.256858,8.751204,0.000000
12.570000, 0.954952,-0.107961,-24.732469,-4.295057,3.583836,3.276177,8.430507,9.124795,2.982288
12.628000, 0.944224,-0.133802,-29.598773,-5.169995,2.840803,0.000000,6.042042,6.276925,7.483025
12.690000, 0.931818,-0.159700,-35.329974,-5.379473,-0.060485,8.714814,0.000000,9.427589,4.927082
12.750000, 0.911610,-0.195136,-42.161773,-2.024047,-1.923264,8.890565,0.000000,8.612112,3.531516
12.810000, 0.887468,-0.237564,-47.607976,1.077709,1.946961,4.928437,9.870684,2.309189,9.553184
12.870000, 0.863605,-0.275928,-52.413507,1.563413,5.987001,0.000000,7.918202,0.000000,9.139991
12.928000, 0.848020,-0.304175,-56.048270,1.883994,5.578338,0.000000,4.962281,0.000000,8.766071
12.990000, 0.837020,-0.327226,-62.003620,2.069086,3.803319,11.695866,7.784571,0.000000,8.625802
13.048000, 0.828653,-0.343202,-65.964977,2.288920,0.733820,4.198839,10.617897,21.570617,4.129172
13.108000, 0.815266,-0.360178,-71.556199,1.378865,1.614317,0.000000,8.331277,8.428154,0.000000
13.166000, 0.806442,-0.373378,-76.182161,-0.849987,2.421224,0.000000,8.310597,8.627548,2.887213
13.224000, 0.806240,-0.383702,-77.997930,0.621105,2.395258,0.000000,8.519006,8.348763,4.431892
13.284000, 0.813986,-0.391200,-78.032507,2.242719,-0.003082,7.949541,8.443979,8.684449,0.981892
13.342000, 0.820389,-0.396036,-77.969185,3.223490,-1.712356,7.949917,9.535560,8.682206,0.000000
13.402000, 0.821256,-0.400119,-78.505694,4.094553,-1.925551,6.863873,8.421372,7.903384,0.000000
13.460000, 0.821620,-0.399984,-78.342232,3.599527,-1.660752,5.356791,8.269105,8.680257,0.000000
13.520000, 0.818140,-0.400987,-79.486080,3.744532,-0.444325,4.622123,8.625260,8.306126,0.000000
13.580000, 0.820169,-0.403149,-78.737636,2.384571,0.263594,10.910786,2.043530,6.819646,11.330570
13.640000, 0.827944,-0.405812,-75.727650,0.258878,-0.637787,8.258747,0.000000,3.465789,8.683558
13.698000, 0.830568,-0.412415,-73.065732,-2.238468,0.180299,8.280407,0.000000,3.948708,8.745285
13.756000, 0.825771,-0.423496,-73.021290,-0.803431,1.822013,8.368517,0.000000,0.000000,8.591434
13.818000, 0.822251,-0.433858,-71.902641,2.625682,2.773915,8.689167,6.858613,0.000000,8.782059
13.880000, 0.817896,-0.443468,-72.489762,3.113234,3.294204,5.895584,7.221391,0.000000,8.994991
13.938000, 0.821165,-0.448558,-72.540852,3.957493,2.996009,8.951587,3.788353,0.000000,8.550806
13.998000, 0.821658,-0.450725,-72.040753,4.058150,2.322732,8.432968,7.268115,0.000000,8.608885
14.058000, 0.812559,-0.455063,-73.703222,3.502013,1.394600,0.630137,11.676427,12.847101,6.707243
14.118000, 0.798450,-0.463000,-78.988120,-0.366962,1.544528,0.000000,8.160199,8.713614,4.205094
14.178000, 0.790848,-0.472370,-82.791987,-2.680223,1.004152,0.000000,8.584811,8.568353,3.948911
14.238000, 0.790493,-0.481913,-84.294151,-1.906446,0.192885,0.000000,8.470222,8.602867,5.136758
14.294000, 0.794520,-0.490024,-84.835537,0.041181,-1.706354,7.300667,8.419195,8.759092,0.000000
14.356000, 0.795950,-0.497338,-86.291190,2.251697,-2.068139,5.748732,8.307619,8.572283,0.000000
14.414000, 0.797388,-0.503211,-86.988565,3.000084,-2.161878,7.057086,8.254440,8.579406,0.000000
14.472000, 0.797497,-0.507487,-87.417531,3.396034,-1.724259,6.265693,8.415001,8.670603,0.000000
14.534000, 0.797514,-0.510859,-88.006392,3.436460,-0.789015,7.411805,8.468467,8.631666,0.000000
