t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
4.178000, 0.559556,0.036643,-1.080009,-1.546265,-0.241728,8.838463,0.000000,0.000000,9.181508
4.238000, 0.580886,0.031536,-2.862402,-2.551363,-0.413301,3.241116,0.000000,0.000000,9.236610
4.302000, 0.604828,0.024658,-5.422898,-1.690119,-0.561552,0.000000,8.892101,9.338737,0.000000
4.364000, 0.625728,0.024886,-5.366418,-1.503330,-0.319717,0.000000,8.756648,9.373482,0.000000
4.426000, 0.650504,0.029801,-3.246763,-2.192061,0.427772,20.602573,0.767907,2.689508,23.918382
4.490000, 0.673530,0.031674,-2.031589,-1.147865,0.602847,8.769117,0.000000,0.000000,9.263275
4.552000, 0.694968,0.026957,-3.027195,-1.832749,0.423425,8.865655,0.000000,0.000000,9.710170
4.614000, 0.717250,0.014416,-7.190130,-3.624973,-4.217753,0.000000,8.983981,26.485966,0.000000
4.674000, 0.736166,0.010048,-8.792086,-3.285572,-2.692340,0.000000,8.757786,9.358909,0.000000
4.732000, 0.758492,0.012079,-7.635843,-2.088790,0.222863,0.000000,8.852304,4.668554,0.000000
4.792000, 0.782505,0.022524,-4.195729,-1.565820,0.890971,9.349004,0.000000,0.000000,9.725599
4.852000, 0.801139,0.024664,-3.398902,-1.384447,0.269066,8.808551,0.000000,0.000000,9.306932
4.914000, 0.821062,0.019506,-5.034324,-1.858651,-0.274942,1.952014,0.000000,0.000000,5.922769
4.974000, 0.838798,0.012169,-7.204615,-1.067708,-0.340674,0.000000,8.951041,9.353756,0.000000
5.036000, 0.855831,0.011989,-7.133562,-1.281702,0.178576,0.000000,9.132381,9.420261,0.000000
5.100000, 0.875417,0.015079,-5.592951,-1.188059,-0.194735,24.855879,0.220036,2.550456,16.583866
5.158000, 0.882720,-0.007449,-10.261369,-0.373549,0.215138,9.039558,0.000000,0.000000,7.699328
5.218000, 0.867348,-0.070436,-25.397517,-1.370166,-0.787402,9.711727,0.000000,0.000000,4.242888
5.276000, 0.818039,-0.146082,-46.098060,-4.158479,0.358260,0.000000,19.146617,10.296564,0.000000
5.336000, 0.768425,-0.194589,-61.051823,-3.162463,0.070244,0.000000,8.316427,9.432436,0.000000
5.394000, 0.724165,-0.230707,-73.010736,-1.849510,-0.383331,0.000000,6.913500,9.499808,0.000000
5.454000, 0.690980,-0.260486,-81.586544,-0.445095,1.914445,9.492851,0.000000,0.000000,9.682323
5.514000, 0.673271,-0.280833,-85.832581,-0.743455,1.941686,8.804317,0.000000,0.000000,9.327419
5.572000, 0.654826,-0.300856,-90.790601,-2.039580,0.544809,3.237890,0.000000,0.000000,7.959748
