t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
21.680000, 0.963291,0.002396,-5.161869,-5.888209,-0.772191,8.456104,0.000000,0.000000,8.911360
21.738000, 0.966626,0.007181,-4.377858,-5.616586,-1.295154,8.349314,0.000000,4.579670,8.664505
21.800000, 0.969567,0.011074,-3.318114,-5.646858,-0.595753,8.436083,0.000000,0.000000,8.678180
21.860000, 0.971204,0.013317,-2.749754,-5.694820,-1.565264,8.480088,0.000000,1.178392,8.712512
21.922000, 0.971728,0.012429,-3.318611,-5.869858,-1.656078,8.407449,0.000000,0.000000,8.791448
21.980000, 0.971267,0.010114,-4.241748,-5.695562,-2.200553,8.399609,0.000000,4.190509,8.697890
22.040000, 0.970716,0.003232,-5.803283,-5.023592,-2.316082,5.622531,10.096722,15.701806,2.168295
22.100000, 0.968754,-0.018113,-11.268888,-5.771459,0.371864,0.000000,8.376891,8.722098,0.000000
22.162000, 0.964273,-0.051144,-20.638707,-5.982742,1.274730,0.000000,8.596535,8.706251,0.000000
22.222000, 0.964957,-0.070569,-24.890390,-5.880825,1.823738,0.000000,8.698701,8.782742,0.000000
22.280000, 0.967398,-0.081144,-25.959150,-6.007362,2.396316,0.000000,8.657083,8.781621,0.000000
22.340000, 0.967299,-0.089023,-27.012770,-6.236869,2.638478,0.000000,8.550594,8.662464,0.000000
22.402000, 0.966435,-0.095811,-27.507272,-5.708491,3.228050,0.000000,8.546393,8.897584,0.000000
22.462000, 0.963651,-0.111500,-29.763175,-4.814134,5.492458,0.000000,8.554136,8.853773,5.992519
22.522000, 0.951634,-0.145581,-36.786806,-3.990878,6.920994,0.000000,3.954203,0.000000,13.708001
22.582000, 0.949096,-0.168036,-40.127367,-1.521348,6.688376,14.473035,0.000000,0.000000,8.878274
22.640000, 0.945524,-0.187096,-43.266486,1.455070,1.184827,8.630382,0.000000,0.000000,8.712623
22.702000, 0.926389,-0.216016,-48.857002,2.871173,1.356473,0.000000,0.000000,0.000000,1.585488
22.764000, 0.906203,-0.242489,-55.523091,-0.936688,-0.199402,20.942192,0.000000,0.000000,9.602119
22.826000, 0.890021,-0.261457,-59.878643,-1.702038,-0.894479,8.452320,0.000000,0.000000,8.883306
22.886000, 0.878359,-0.276110,-62.774547,-0.042087,-0.264603,8.723134,0.000000,0.000000,8.999633
22.948000, 0.864979,-0.291280,-66.602975,3.172218,-1.363529,8.150349,0.000000,8.037169,3.162824
23.004000, 0.841225,-0.307735,-71.714639,4.155272,-0.644984,2.581014,8.774529,9.043191,0.000000
23.064000, 0.817636,-0.323538,-78.228257,1.718369,0.452926,0.000000,8.160894,8.750444,0.000000
23.126000, 0.796990,-0.338634,-83.844071,-0.307218,0.601389,0.000000,8.598920,8.737824,0.000000
23.186000, 0.787129,-0.349320,-86.003648,0.016540,1.265933,0.000000,8.550065,8.609273,0.000000
23.246000, 0.785460,-0.356196,-85.985799,0.910409,1.653287,0.000000,8.733899,8.612568,0.000000
23.306000, 0.785550,-0.360627,-86.186803,1.044835,1.811614,0.000000,8.509260,8.648072,0.000000
23.366000, 0.787658,-0.364936,-86.062403,1.073049,1.793091,0.000000,8.210474,8.800015,0.000000
23.426000, 0.783436,-0.371918,-88.537881,1.562611,1.862760,0.000000,8.482915,9.138101,0.000000
23.484000, 0.781356,-0.383389,-89.999455,1.819473,1.549935,13.467693,2.698196,1.546283,13.310857
23.544000, 0.786144,-0.395015,-87.779541,1.587708,0.895949,8.355893,0.000000,0.000000,8.820692
23.602000, 0.793330,-0.407050,-83.735064,-0.175209,-0.184520,8.554307,0.000000,0.000000,8.772147
23.662000, 0.796788,-0.418490,-82.381359,-0.050837,-0.359197,8.625053,0.000000,0.000000,8.744591
23.720000, 0.795518,-0.427490,-82.728406,1.059288,-0.424777,8.621923,0.000000,0.000000,8.967595
23.780000, 0.792628,-0.435489,-82.981828,1.632539,-0.281582,8.540192,0.000000,0.000000,8.842769
23.838000, 0.789633,-0.443220,-82.265676,1.534817,0.077118,8.434186,0.000000,0.000000,8.616595
23.896000, 0.787071,-0.452896,-80.215136,1.703466,0.679928,8.727667,0.000000,0.000000,9.001425
23.954000, 0.774990,-0.468956,-80.690432,3.437135,1.761148,2.983814,16.727933,0.000000,7.651117
24.014000, 0.761798,-0.485260,-84.774620,2.151467,0.529684,0.000000,8.289290,15.720219,0.000000
24.074000, 0.747455,-0.498334,-91.406780,-0.604161,-0.554288,0.000000,8.516925,8.949163,0.000000
