t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
4.894000, 0.988563,-0.008510,-0.099118,-0.216696,1.354867,2.288685,13.408922,9.844149,2.552034
4.952000, 0.987641,-0.035436,-7.070391,0.173584,1.151181,0.000000,9.167368,9.528906,0.000000
5.016000, 0.978135,-0.084478,-19.761134,2.481196,-0.228294,0.000000,9.527621,9.659405,0.000000
5.074000, 0.954668,-0.139528,-35.137479,3.639673,-6.302460,0.000000,9.925114,13.805196,0.000000
5.132000, 0.953785,-0.147308,-37.486182,1.872854,-4.220035,17.803706,0.148380,15.519488,0.000000
5.190000, 0.950654,-0.156136,-39.206160,-0.362446,-3.721990,8.858767,0.000000,9.359890,0.000000
5.250000, 0.935482,-0.180358,-44.314014,-0.032929,-5.923371,9.396137,0.000000,9.309064,0.000000
5.308000, 0.910601,-0.212039,-50.693429,1.098667,-6.807318,9.731004,0.000000,8.428154,0.000000
5.368000, 0.874469,-0.249191,-57.190337,1.481091,-5.310907,2.392262,7.398836,9.436801,0.000000
5.428000, 0.840682,-0.286284,-63.065433,0.925706,-5.370262,9.410438,9.462064,8.683741,6.404726
5.486000, 0.817607,-0.316159,-67.938208,0.316686,-6.908883,7.675591,2.052864,5.170789,9.069222
5.544000, 0.806815,-0.341336,-69.476092,2.723331,-4.508525,9.666522,0.000000,1.907270,9.378275
5.604000, 0.780421,-0.372275,-73.289107,4.329711,-1.344948,9.321876,0.000000,0.000000,9.467015
5.664000, 0.748024,-0.403126,-78.657771,3.926921,2.980628,0.000000,8.830175,0.000000,9.181936
5.722000, 0.727346,-0.427325,-83.386815,1.398494,3.597304,0.000000,7.924452,0.000000,9.400847
5.780000, 0.719075,-0.448925,-86.518537,0.931799,1.869902,10.796510,6.086360,0.000000,9.540269
5.838000, 0.711635,-0.469131,-89.397354,-0.315142,1.435151,8.803342,7.537292,0.000000,8.934425
5.898000, 0.696000,-0.492000,-93.000000,-0.000000,0.000000,9.000000,9.000000,0.000000,9.000000
