t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
4.106000, 0.868696,-0.005072,0.219797,1.199853,-2.925931,7.384868,6.170743,8.547254,0.000000
4.166000, 0.878046,-0.009509,-2.566899,0.785352,-2.292030,7.173717,0.000000,8.784874,4.365005
4.226000, 0.881117,-0.043919,-12.266023,3.757167,-0.435078,8.029735,9.983509,1.958135,8.094717
4.286000, 0.879965,-0.077797,-17.181826,5.367113,1.649019,3.657081,12.073260,0.000000,8.234585
4.348000, 0.871804,-0.121047,-26.027747,3.001863,3.451162,0.000000,7.989673,8.719025,8.021665
4.410000, 0.858944,-0.159146,-35.755127,-0.314662,1.399984,0.000000,8.319266,8.810113,0.000000
4.470000, 0.846691,-0.188705,-41.220882,-1.340650,4.215640,0.000000,2.487906,9.125981,6.455863
4.532000, 0.830635,-0.227550,-50.319073,-0.228322,0.412945,11.306224,0.000000,8.296213,2.787958
4.590000, 0.812947,-0.261094,-56.089715,1.632769,1.092039,9.857738,8.609097,0.000000,7.967699
4.648000, 0.793563,-0.291054,-59.521417,2.796272,2.675184,0.000000,4.818883,11.337923,8.286656
4.710000, 0.771772,-0.318014,-67.852695,-0.524558,0.998133,0.000000,9.253674,8.919533,1.346847
4.770000, 0.761815,-0.334846,-71.813975,1.247851,0.062716,3.466490,8.458377,7.593270,0.000000
4.830000, 0.757674,-0.349908,-74.284949,1.168658,2.173292,5.317606,3.496271,9.186466,9.055792
4.890000, 0.756069,-0.368240,-74.095935,0.496876,1.242736,9.820032,10.931668,2.225976,9.243548
4.950000, 0.749071,-0.385345,-73.408087,2.168807,2.692008,0.499502,7.091045,0.000000,11.931564
5.010000, 0.733792,-0.405057,-78.141438,0.498968,1.595335,0.000000,6.636136,8.952198,6.826443
5.074000, 0.720991,-0.424113,-84.400471,-0.764890,-3.154822,9.074948,7.954795,8.277603,0.000000
5.132000, 0.716972,-0.438564,-87.503517,1.024652,-1.530200,9.624521,2.820074,7.419240,0.000000
5.194000, 0.717254,-0.456458,-86.366879,0.515503,-0.760995,8.688838,0.000000,3.908233,9.251231
5.254000, 0.714474,-0.473023,-83.469811,0.831839,2.922270,8.546534,7.118537,0.000000,8.650269
5.314000, 0.703947,-0.489303,-83.387931,2.318070,2.590437,0.000000,8.329655,5.838774,8.709863
5.376000, 0.693725,-0.508588,-88.235667,-0.052425,-0.505078,0.000000,8.884810,14.943568,0.651204
