t,x,y,yaw,pitch,roll
0.098000, 0.215582,-0.000000,-0.000000,1.119065,0.000000
0.156000, 0.208069,-0.000000,-0.000000,2.375643,-0.000000
0.216000, 0.195713,-0.000000,-0.000000,-0.276162,0.000000
0.272000, 0.182928,-0.000000,-0.000000,-0.519486,0.000000
0.330000, 0.167960,-0.000000,-0.000000,-0.578990,-0.000000
0.386000, 0.150308,-0.000000,-0.000000,-0.930357,0.000000
0.446000, 0.132965,-0.000000,-0.000000,0.167924,-0.000000
0.504000, 0.129838,0.000000,0.000000,0.167065,-0.000000
0.560000, 0.132674,0.000000,0.000000,0.111228,-0.000000
0.616000, 0.135151,0.000000,0.000000,0.086841,-0.000000
0.672000, 0.135608,0.000000,0.000000,0.088413,-0.000000
0.730000, 0.135237,0.000000,0.000000,0.077703,-0.000000
0.786000, 0.134968,0.000000,0.000000,0.071631,-0.000000
0.874000, 0.134964,0.000000,0.000000,0.063598,-0.000000
0.940000, 0.135039,0.000000,0.000000,0.057082,-0.000000
1.002000, 0.135079,0.000000,0.000000,0.050663,-0.000000
1.062000, 0.135102,0.000000,0.000000,0.044291,-0.000000
1.124000, 0.135127,0.000000,0.000000,0.037525,-0.000000
1.182000, 0.135155,0.000000,0.000000,0.030973,-0.000000
1.244000, 0.135189,0.000000,0.000000,0.023689,-0.000000
1.306000, 0.135226,0.000000,0.000000,0.016079,-0.000000
1.364000, 0.135261,0.000000,0.000000,0.008638,-0.000000
1.424000, 0.135300,0.000000,0.000000,0.000584,-0.000000
1.482000, 0.135340,0.000000,0.000000,-0.007577,-0.000000
1.544000, 0.135385,0.000000,0.000000,-0.016742,-0.000000
1.606000, 0.135432,-0.000000,-0.000013,-0.026381,-0.000017
1.666000, 0.135299,-0.000044,-0.014557,-0.023054,-0.016174
1.728000, 0.131490,0.000277,-0.062385,0.494441,-0.930031
1.788000, 0.131896,0.009666,3.250269,-0.974663,-0.161119
1.850000, 0.144992,0.014689,4.315414,-8.625726,3.057935
1.910000, 0.168448,0.026952,5.733272,-12.666771,1.430284
1.968000, 0.194130,0.023886,3.646002,-9.422850,0.012635
2.028000, 0.219174,0.018726,2.000424,-6.382839,-0.934050
2.086000, 0.245868,0.015815,1.809314,-4.469173,-1.112184
2.144000, 0.270482,0.015424,2.258339,-2.729124,-0.765818
2.202000, 0.293593,0.012038,1.337394,-2.429746,-0.607540
2.264000, 0.321284,0.005854,-1.134717,-2.277304,-0.638548
2.324000, 0.344696,0.003125,-2.485817,-1.164908,-0.529420
2.382000, 0.368336,0.006474,-1.713511,-1.485810,-0.141403
2.442000, 0.396590,0.014481,0.829055,-1.598667,-0.408063
2.500000, 0.418999,0.016556,1.633803,-1.074858,-0.277639
2.558000, 0.442215,0.012000,0.334376,-1.920188,-0.381197
2.616000, 0.468330,0.004345,-2.398344,-1.641530,-0.444490
2.674000, 0.489725,0.003314,-3.158046,-1.278278,-0.534842
2.732000, 0.512653,0.007955,-1.922105,-1.880292,-0.178401
2.792000, 0.537647,0.014696,0.389638,-1.574241,-0.030044
2.852000, 0.558304,0.014997,0.579834,-1.441016,0.367581
2.910000, 0.580182,0.009949,-1.179084,-2.458281,-0.374683
2.970000, 0.602928,0.004532,-3.113617,-1.361010,-0.628024
3.028000, 0.622960,0.005950,-2.761591,-1.551442,-0.447739
3.088000, 0.647259,0.011889,-0.467712,-2.125611,0.611748
