t,x,y,yaw,pitch,roll
0.0,0.985822,-0.030834,5.115747,1.747602,2.109417
0.05799999999999983,1.001285,-0.0344,4.669707,2.100633,2.123994
0.11599999999999966,1.013073,-0.029169,5.479775,2.500673,1.880062
0.1719999999999997,1.022723,-0.025478,5.871086,2.787378,1.537405
0.23000000000000043,1.033052,-0.030129,4.348551,1.83628,0.724493
0.29000000000000004,1.04431,-0.038223,1.203713,0.26293,-0.191493
0.34799999999999986,1.055789,-0.042764,-1.078881,-0.177026,0.753617
0.4039999999999999,1.067909,-0.046357,-3.019748,0.079036,-1.018502
0.45999999999999996,1.082352,-0.046653,-4.215732,0.718497,-2.268444
0.5179999999999998,1.100211,-0.044364,-4.702956,1.701851,-2.916126
0.5780000000000003,1.11465,-0.049287,-5.790768,1.69652,-2.447615
0.6360000000000001,1.12557,-0.061376,-8.00525,1.941203,-2.184593
0.694,1.134701,-0.070401,-9.43068,2.10704,-1.895868
0.7519999999999998,1.145068,-0.069718,-8.474459,1.059995,-0.422286
0.8099999999999996,1.155595,-0.070666,-7.437242,0.330997,-0.660261
0.8680000000000003,1.1651,-0.076026,-7.344834,0.358291,-0.464102
0.9260000000000002,1.17649,-0.085378,-8.065996,0.290205,0.846196
0.984,1.190495,-0.099248,-9.42421,0.833729,1.095106
1.0439999999999996,1.204436,-0.112661,-11.088981,2.118661,1.792396
1.104,1.216279,-0.114364,-11.150098,2.88313,1.800413
1.1600000000000001,1.225262,-0.113751,-10.893831,3.126215,1.450641
1.2199999999999998,1.232773,-0.121747,-12.308895,3.007756,0.064316
1.2800000000000002,1.240527,-0.13204,-15.358196,1.256585,-1.276003
1.338,1.248931,-0.137318,-17.161039,0.097641,0.539305
1.396,1.25838,-0.147323,-19.795915,-0.514432,-0.247253
1.452,1.26975,-0.158136,-22.141915,-0.064547,-1.719578
1.5099999999999998,1.284638,-0.166632,-23.687727,0.868896,-2.289733
1.5679999999999996,1.297883,-0.176277,-24.955649,1.496496,-2.229726
1.6280000000000001,1.307602,-0.185515,-25.98848,1.684492,-2.063187
1.686,1.314535,-0.19425,-27.05092,1.841408,-1.925411
1.7439999999999998,1.323331,-0.199718,-27.033167,0.804494,-0.68089
1.8019999999999996,1.331814,-0.208376,-27.079918,-0.175115,-0.817158
1.862,1.338298,-0.220336,-27.993259,-0.055598,-0.734648
1.92,1.344993,-0.234309,-29.157114,0.029498,0.669227
1.9779999999999998,1.352854,-0.251912,-30.574056,0.409524,0.873259
2.0380000000000003,1.362222,-0.267977,-31.779255,1.672999,1.532158
2.098,1.371022,-0.277062,-32.649434,2.477331,1.360785
2.1559999999999997,1.37789,-0.28379,-33.278088,2.794643,1.061714
2.2140000000000004,1.382743,-0.29102,-34.252196,3.553111,-0.458592
2.2720000000000002,1.385309,-0.302663,-36.91019,2.199165,-2.42454
2.33,1.390286,-0.311296,-38.833946,0.72581,-0.123631
2.388,1.395486,-0.321991,-41.072415,-0.290226,-0.173047
2.4480000000000004,1.399893,-0.337653,-44.194799,0.174764,-2.140674
2.5060000000000002,1.407752,-0.352459,-46.5158,1.052647,-2.899263
2.5620000000000003,1.413388,-0.367644,-48.459395,1.392885,-2.553388
2.62,1.416937,-0.38232,-50.095427,1.479278,-2.205995
2.678,1.417742,-0.395369,-51.708627,1.869125,-2.660231
2.7359999999999998,1.409481,-0.413328,-55.262561,1.302574,-1.474609
2.7960000000000003,1.399364,-0.43275,-58.59291,0.289403,-1.159886
2.854,1.386979,-0.451783,-61.885799,0.711845,-2.181482
2.912,1.375948,-0.471224,-64.291817,1.958987,-0.299864
2.9699999999999998,1.35707,-0.496285,-67.489792,4.12391,-0.090204
3.0300000000000002,1.335338,-0.522709,-71.773414,5.012455,1.563394
3.088,1.328789,-0.541431,-75.187468,2.597449,1.620311
3.146,1.334192,-0.555208,-76.813282,1.83265,-0.759146
3.2039999999999997,1.332168,-0.571456,-79.282679,-0.403817,-1.466038
3.2620000000000005,1.323948,-0.591792,-82.896702,-3.138396,-2.927117
3.3200000000000003,1.317572,-0.614034,-85.637228,-2.217035,-0.354389
3.378,1.317155,-0.633649,-86.660435,-1.703344,-0.483781
3.434,1.31843,-0.653116,-87.014819,-0.890231,-1.564055
3.492,1.320774,-0.675567,-87.106878,0.013155,-2.304612
3.5500000000000007,1.322229,-0.697782,-87.226074,0.84178,-1.937478
3.6080000000000005,1.32085,-0.717295,-87.718888,1.286384,-1.755194
3.6660000000000004,1.320721,-0.734322,-87.773581,1.650639,-1.503928
