t,x,y,yaw,pitch,roll
7.040000, 0.999351,0.021186,2.476761,3.117970,0.499857
7.104000, 1.010987,0.006104,-0.472051,2.360504,1.110630
7.172000, 1.020738,-0.005394,-5.590117,-2.287652,-0.566825
7.246000, 1.032890,-0.012156,-8.502262,-0.838706,0.409444
7.314000, 1.043525,-0.008187,-7.174209,0.888351,0.659362
7.380000, 1.051774,-0.005777,-7.295472,1.643653,0.331852
7.448000, 1.060991,-0.000877,-7.173419,1.408749,-0.114495
7.514000, 1.071104,0.001820,-9.869712,2.334624,-1.400900
7.578000, 1.085216,0.008053,-11.071552,3.028734,-3.367545
7.648000, 1.095247,0.018773,-5.365946,-2.066733,-0.122677
7.716000, 1.104003,0.027207,-0.575891,-2.492636,-0.210924
7.792000, 1.113545,0.015855,-3.573585,-0.383183,-0.480356
7.862000, 1.121010,0.014226,-3.596051,1.095788,-0.673167
7.946000, 1.128705,0.012016,-2.131945,1.161625,-0.318563
8.022000, 1.137335,0.004822,-1.092597,1.480007,0.630761
8.094000, 1.149536,-0.007130,-1.644288,2.692879,1.504712
8.162000, 1.158203,-0.011920,-4.287730,-0.308108,-0.620064
8.230000, 1.167459,-0.019675,-8.506898,-0.971471,-0.146271
8.296000, 1.176368,-0.025298,-11.062184,0.049140,-0.170669
8.364000, 1.186672,-0.021348,-9.978664,0.379990,-0.308701
8.432000, 1.196566,-0.015984,-11.444100,1.609256,-1.095059
8.498000, 1.210064,-0.007454,-12.381707,0.952106,-2.163902
8.566000, 1.226992,-0.002014,-13.982823,2.453034,-4.108338
8.632000, 1.234481,0.002408,-10.799533,-1.319072,-0.747023
8.708000, 1.242637,0.008153,-6.501972,-3.181590,0.495643
8.778000, 1.252577,0.006556,-7.435980,-0.941025,-0.612153
8.850000, 1.260899,0.006096,-8.175668,0.501255,-1.201180
8.916000, 1.265279,0.004135,-8.441578,1.032366,-1.168638
8.984000, 1.270030,0.001438,-9.216279,1.006720,-1.065122
9.054000, 1.277956,0.002772,-6.853856,2.616927,-1.511374
9.122000, 1.285749,-0.010893,-9.426854,2.673681,-0.369049
9.190000, 1.293135,-0.028238,-15.322104,-0.428440,0.644969
9.254000, 1.301493,-0.036714,-16.941801,-0.292372,0.988449
9.322000, 1.308913,-0.040538,-17.056591,0.599733,1.131362
9.390000, 1.314453,-0.040990,-16.600188,1.660640,1.393008
9.458000, 1.318592,-0.042168,-17.534553,1.193022,0.914428
9.528000, 1.325690,-0.042796,-18.896196,1.655461,0.702520
9.594000, 1.338964,-0.038443,-18.394789,2.253581,0.613400
9.662000, 1.354843,-0.029359,-13.410061,-0.795266,-0.157952
9.728000, 1.368422,-0.025469,-10.069321,-0.859157,-0.288411
9.794000, 1.378469,-0.028282,-9.907733,0.645202,-0.254168
9.868000, 1.385959,-0.037478,-11.373746,1.145959,-0.174637
9.938000, 1.393001,-0.040570,-9.047168,1.377021,0.113079
10.004000, 1.403029,-0.049019,-7.583592,1.693852,1.289502
10.074000, 1.417767,-0.061044,-5.938564,2.917244,2.930545
10.140000, 1.425511,-0.075824,-12.418548,-1.424276,-0.509421
10.212000, 1.435875,-0.083591,-15.113013,-1.596273,-0.224763
10.284000, 1.445789,-0.087647,-15.293720,0.278183,0.219363
10.358000, 1.454700,-0.087630,-15.024198,1.318748,0.308071
10.426000, 1.463135,-0.082501,-14.794707,1.670775,-0.108119
10.494000, 1.473434,-0.077730,-16.100806,1.416880,-0.734334
10.560000, 1.489652,-0.071923,-16.889865,2.866578,-2.722489
10.628000, 1.502089,-0.069944,-14.629251,-0.133060,-0.631910
10.698000, 1.514315,-0.061891,-8.579567,-2.146100,-0.231505
10.766000, 1.523669,-0.064027,-8.172237,-0.483207,-0.534141
10.830000, 1.530460,-0.064339,-7.162921,0.496682,-0.641148
10.904000, 1.536795,-0.070213,-7.621350,0.862182,-0.123624
10.968000, 1.542367,-0.075643,-6.621598,1.074547,0.338779
11.038000, 1.551112,-0.086233,-5.718417,1.807509,1.553183
11.110000, 1.559997,-0.101685,-8.407217,0.446947,0.883120
11.176000, 1.564647,-0.113678,-14.197509,-3.122861,-0.287790
11.248000, 1.575514,-0.118375,-15.480553,-1.392954,0.545396
11.316000, 1.584719,-0.121371,-16.104461,0.431085,0.346683
11.382000, 1.592689,-0.121049,-16.276919,0.216366,-0.021862
11.450000, 1.603320,-0.114836,-15.664960,1.250844,0.398549
11.518000, 1.614331,-0.109644,-17.322371,1.353154,-1.192450
11.588000, 1.630840,-0.112655,-19.430832,0.872140,-4.020361
11.654000, 1.637366,-0.118629,-17.432013,-1.601370,0.472573
11.716000, 1.646432,-0.120179,-14.480933,-2.223588,0.512018
11.786000, 1.658335,-0.121154,-13.162664,-0.569420,0.295210
11.856000, 1.669118,-0.124350,-12.773274,0.467676,0.294946
11.920000, 1.678553,-0.125533,-10.204827,1.103563,0.479265
11.988000, 1.686928,-0.141998,-11.133488,0.908028,1.389277
12.068000, 1.702347,-0.164861,-11.327155,3.205257,3.516971
12.138000, 1.708828,-0.188218,-18.820912,-1.139660,0.739007
12.208000, 1.717766,-0.196117,-22.165505,-2.385589,-0.298309
12.278000, 1.728410,-0.198536,-22.111171,-0.188234,0.357282
12.346000, 1.739489,-0.196840,-20.901293,1.377674,0.387569
12.414000, 1.745339,-0.203368,-23.777076,2.136394,0.320528
12.482000, 1.755919,-0.199620,-23.708423,1.478107,-0.511516
12.554000, 1.770759,-0.197456,-25.795644,1.895595,-2.283544
12.622000, 1.786448,-0.194348,-23.108502,1.167172,-3.668750
12.688000, 1.795189,-0.194933,-18.853685,-1.907506,1.062088
12.756000, 1.804668,-0.199058,-18.074009,-0.185052,-0.250545
12.822000, 1.815242,-0.200372,-16.418589,1.096118,-0.160629
12.888000, 1.824971,-0.203289,-15.080220,1.310498,-0.156243
12.960000, 1.833569,-0.211726,-14.372119,2.370022,0.388203
13.028000, 1.843047,-0.222611,-12.542907,2.879389,1.727671
13.098000, 1.853712,-0.238465,-13.553829,2.540608,4.001914
13.166000, 1.859693,-0.245414,-18.335753,-1.090124,0.446427
13.240000, 1.868556,-0.243905,-19.653649,-1.350744,-0.578482
13.308000, 1.876322,-0.251115,-21.953226,0.420248,-0.237047
13.376000, 1.885830,-0.258800,-23.594436,1.492483,0.049970
13.444000, 1.895276,-0.266534,-26.643053,1.821294,-0.158631
13.512000, 1.910407,-0.263550,-27.230194,2.165209,-1.401397
13.578000, 1.928065,-0.263047,-28.890501,2.611802,-3.883501
13.648000, 1.939416,-0.259448,-23.940429,0.684969,-2.977421
13.720000, 1.946229,-0.264140,-21.268513,-0.805856,0.164146
13.786000, 1.954942,-0.266513,-20.474515,0.412940,-0.181847
13.856000, 1.963366,-0.271331,-20.754519,1.821106,-0.465528
13.926000, 1.970803,-0.276981,-20.589668,2.382978,-0.492709
