t,x,y,yaw,pitch,roll
0.148000, 0.089032,0.000000,0.000000,-3.405012,-0.000000
0.208000, 0.074827,0.000000,0.000000,-10.428457,-0.000000
0.272000, 0.050012,0.000000,0.000000,-22.574638,-0.000000
0.332000, 0.033133,0.000000,0.000000,-24.143780,-0.000000
0.390000, 0.016950,0.000000,0.000000,-23.054132,-0.000000
0.452000, -0.002338,-0.000000,-0.000000,-25.856343,-0.000000
0.516000, -0.015696,-0.000000,-0.000000,-27.840802,-0.000000
0.580000, -0.015841,-0.000000,0.000000,-27.311060,0.000000
0.640000, -0.013008,0.000000,0.000000,-27.282339,0.000000
0.700000, -0.009643,-0.000000,0.000000,-27.308670,0.000000
0.766000, -0.006457,-0.000000,0.000000,-27.317477,0.000000
0.830000, -0.004395,-0.000000,0.000000,-27.401346,-0.000000
0.892000, -0.002941,-0.000000,0.000000,-27.406928,0.000000
0.956000, -0.001360,-0.000000,0.000000,-27.462374,0.000000
1.020000, 0.000329,-0.000000,0.000000,-27.556523,0.000000
1.084000, 0.002173,-0.000000,0.000000,-27.627495,0.000000
1.152000, 0.004134,-0.000000,0.000000,-27.760295,0.000000
1.218000, 0.005522,-0.000000,0.000000,-28.060677,0.000000
1.280000, 0.005591,-0.000000,-0.000000,-28.473043,-0.000000
1.346000, 0.006170,-0.000000,-0.000000,-28.387249,0.000000
1.406000, 0.006425,-0.000000,0.000000,-28.289655,-0.000000
1.468000, 0.006496,-0.000000,-0.000000,-28.214399,0.000000
1.532000, 0.006579,-0.000000,-0.000000,-28.136815,-0.000000
1.594000, 0.006704,-0.000000,-0.000000,-28.060713,-0.000000
1.654000, 0.006843,-0.000000,-0.000000,-27.986870,-0.000000
1.720000, 0.006998,-0.000000,-0.000000,-27.904967,-0.000000
1.796000, 0.007179,-0.000000,-0.000009,-27.808865,-0.000025
1.864000, 0.007348,0.000000,0.000273,-27.721020,0.000348
1.940000, 0.007549,0.000010,0.009327,-27.619956,0.013863
2.012000, 0.011887,-0.000991,0.315021,-25.167168,0.230238
2.076000, 0.038873,-0.004092,2.117213,-1.697493,-2.942203
2.146000, 0.057871,-0.009842,-0.998156,3.263978,0.454876
2.210000, 0.067351,0.004813,2.738224,-8.564301,-4.796181
2.280000, 0.075914,0.015821,0.152106,-1.694597,-5.277431
2.342000, 0.082620,0.027365,-1.407314,-2.164193,-7.366182
2.416000, 0.095723,0.032964,-0.863104,-1.067156,-13.007520
2.482000, 0.117756,0.027560,-0.828962,-1.589102,-6.169157
2.546000, 0.145775,0.022874,1.963140,-1.163829,-3.589012
2.612000, 0.175156,0.007324,1.113467,-1.208084,-0.352512
2.680000, 0.198917,-0.000150,-0.616115,-1.573458,0.526654
2.744000, 0.219052,-0.001125,0.521975,-0.359346,-0.947322
2.806000, 0.236762,0.001124,2.871837,-0.139001,-0.574777
2.868000, 0.254633,0.003612,4.773853,1.380249,-0.397722
2.926000, 0.271058,-0.002461,4.010951,2.700659,0.650578
2.994000, 0.282117,-0.003510,4.191496,3.781791,-0.489129
3.062000, 0.289685,-0.000150,5.019547,5.036017,0.235856
3.144000, 0.293587,0.010538,7.320052,6.144239,-0.358961
3.210000, 0.291695,0.011467,6.595751,4.983261,-0.039120
3.274000, 0.292670,0.006766,3.811257,2.876736,0.434688
3.342000, 0.298754,0.002009,0.250939,-0.912228,-3.399372
3.410000, 0.310574,-0.003450,-2.619144,0.549234,-1.388207
3.472000, 0.325521,-0.000638,0.894840,0.185922,1.678764
3.538000, 0.339963,-0.000980,3.701103,2.100045,2.497112
3.608000, 0.356185,-0.007872,1.990575,1.410391,1.183824
3.670000, 0.370731,-0.012957,-2.761297,1.037315,-2.836451
3.736000, 0.385805,-0.007872,-3.814209,2.644568,-2.259042
3.808000, 0.405185,0.000425,0.907524,0.029456,1.525451
3.876000, 0.421957,0.002523,5.145701,2.231421,2.247359
3.940000, 0.439493,-0.004222,3.101342,1.355980,1.456733
4.008000, 0.456731,-0.009685,-2.379445,0.488470,-3.014357
4.074000, 0.471659,-0.005734,-4.228574,1.896903,-2.100272
4.138000, 0.488120,0.001813,0.110393,-0.176666,0.578342
4.204000, 0.502648,0.002980,3.546067,1.137904,2.183193
4.270000, 0.519902,-0.001602,2.616334,0.626407,1.325390
4.336000, 0.535946,-0.004618,-0.950725,1.614423,-2.973126
4.400000, 0.549055,-0.000542,-2.851251,2.730373,-2.240219
4.462000, 0.564220,0.007196,1.122972,1.172481,0.180048
4.526000, 0.577933,0.009447,4.938443,2.495542,2.667675
4.592000, 0.593311,0.003317,4.369878,2.864158,2.350951
4.658000, 0.608962,-0.003000,-0.648112,0.712901,-1.641293
4.720000, 0.621792,-0.001187,-2.946101,2.276943,-1.764562
4.784000, 0.637538,0.004218,-0.512015,0.718666,0.042955
4.848000, 0.651933,0.007481,3.091439,1.609961,3.205359
4.912000, 0.665896,0.003094,3.663537,2.845851,2.380995
4.974000, 0.680632,-0.000291,0.683400,1.428921,-0.859984
5.040000, 0.692948,-0.000123,-2.022880,3.223342,-1.908203
5.102000, 0.704926,0.004778,-1.537834,2.714851,-1.561015
5.164000, 0.717575,0.010358,2.468517,1.534287,2.795058
5.226000, 0.729687,0.009459,4.846669,2.571077,1.999698
5.292000, 0.745750,0.003811,1.481920,0.979025,0.156494
5.356000, 0.759973,0.001653,-2.022997,2.285131,-2.943372
5.422000, 0.774518,0.006907,-1.829791,2.233560,-2.082669
5.484000, 0.788801,0.010884,1.933834,0.595429,1.977622
5.550000, 0.801242,0.008134,4.361954,2.177926,2.585534
5.616000, 0.815844,0.002490,1.976133,0.634777,1.127722
5.684000, 0.829291,-0.000809,-1.826874,1.046568,-2.788015
5.748000, 0.840578,0.001057,-3.334461,1.911273,-1.999125
5.814000, 0.853339,0.004672,-0.138179,0.656424,1.559388
5.878000, 0.862918,0.004238,2.523870,1.562977,1.845333
5.940000, 0.874295,-0.000863,1.031352,0.264990,1.444327
6.008000, 0.887557,-0.004667,-2.990972,0.605328,-2.551688
6.072000, 0.901486,-0.001997,-3.958990,1.617926,-0.957459
6.138000, 0.919200,0.003176,0.281268,-0.077551,1.994718
6.202000, 0.934124,0.000941,3.014529,1.797314,3.090267
6.268000, 0.951057,-0.003062,2.020158,1.396966,1.987835
6.334000, 0.968854,-0.009570,-3.741981,0.085350,-3.071299
6.396000, 0.984621,-0.010264,-6.730285,1.649791,-2.287071
6.460000, 1.002695,-0.005495,-3.336497,0.465570,0.009741
6.528000, 1.018957,-0.003627,1.288597,1.715717,2.737347
6.596000, 1.034865,-0.011559,0.421871,2.253900,2.655057
6.664000, 1.050983,-0.018853,-4.741458,0.573352,-2.376049
6.730000, 1.065158,-0.016993,-6.806394,1.910804,-1.650763
6.794000, 1.081081,-0.012035,-3.684433,0.227333,-0.027435
6.860000, 1.094355,-0.011567,-0.071355,1.478519,2.539403
6.928000, 1.108560,-0.017190,0.209916,1.632978,1.636963
6.992000, 1.123271,-0.023475,-4.403542,0.590841,-2.696179
7.054000, 1.135276,-0.023876,-6.953590,2.622620,-1.722978
7.116000, 1.149654,-0.019092,-5.148581,2.062114,-1.372788
7.182000, 1.162045,-0.016154,-1.315219,2.250241,2.479404
7.244000, 1.172636,-0.021197,-0.603689,2.743552,1.925721
7.308000, 1.185041,-0.029037,-4.605526,0.853622,-1.066322
7.374000, 1.195497,-0.027937,-6.652419,1.880721,-2.181276
7.442000, 1.209578,-0.023108,-5.026360,0.602056,-1.794634
7.512000, 1.223624,-0.020603,-0.851749,0.576808,2.710187
7.582000, 1.237965,-0.029980,-1.611979,0.972049,1.739401
7.644000, 1.252339,-0.040657,-6.446734,-0.802238,-1.802760
7.712000, 1.266597,-0.044252,-9.325601,1.325077,-1.775882
7.774000, 1.281398,-0.042787,-7.958427,0.567678,-0.794429
7.840000, 1.298082,-0.042636,-3.995512,0.808911,2.921069
7.904000, 1.312139,-0.050773,-3.316507,2.207583,1.962559
7.968000, 1.325820,-0.061847,-7.865181,-0.285711,-0.678267
8.034000, 1.338964,-0.065698,-11.108050,0.912239,-2.542867
8.100000, 1.354934,-0.064927,-10.923410,1.431897,-1.765719
8.164000, 1.371616,-0.061737,-6.328577,0.362124,2.680724
8.228000, 1.385713,-0.068296,-4.951545,1.199937,2.660539
8.294000, 1.401011,-0.079959,-9.351706,-0.006654,0.300190
8.360000, 1.415094,-0.082246,-12.588667,1.019387,-2.585765
8.428000, 1.431985,-0.077758,-11.515835,1.180771,-2.052615
8.498000, 1.448471,-0.074389,-7.408210,-0.033252,2.506445
8.564000, 1.460691,-0.076698,-4.241628,2.048636,1.112236
8.632000, 1.475623,-0.087664,-8.115899,0.033549,0.059675
8.698000, 1.487785,-0.092431,-12.362896,0.857991,-2.481246
8.764000, 1.502027,-0.090395,-11.362332,-0.540525,-1.763455
