t,x,y,yaw,pitch,roll
0.0,0.965164,-0.097831,2.96332,-12.258945,1.036075
0.06000000000000005,1.017747,-0.117732,-1.348971,-12.393676,-0.770913
0.1200000000000001,1.078694,-0.13247,-2.189189,-2.521967,-0.820893
0.18199999999999994,1.137267,-0.144961,-1.790871,5.902042,-0.664968
0.242,1.176917,-0.164827,-3.930013,12.582832,1.630478
0.30600000000000005,1.218595,-0.16867,-3.379724,3.147688,4.252997
0.3700000000000001,1.252167,-0.157784,-0.576529,-22.782248,0.097905
0.43000000000000016,1.30469,-0.138378,4.259516,-14.50374,-0.723291
0.4900000000000002,1.35304,-0.123333,5.716231,-4.602738,-1.34833
0.5519999999999996,1.386033,-0.115961,7.137667,2.658743,-1.848041
0.6120000000000001,1.407855,-0.126418,6.681472,-3.505695,0.280469
0.6859999999999999,1.43196,-0.14638,-0.256044,-20.997952,-0.116145
0.7539999999999996,1.476533,-0.151767,-1.387345,-10.340306,-3.840399
0.8140000000000001,1.510409,-0.158894,-3.306973,0.235134,-7.519085
0.8739999999999997,1.532541,-0.165162,-1.345638,4.027829,0.207629
0.9379999999999997,1.545608,-0.175023,-1.728419,-2.230568,5.255769
1.0,1.559183,-0.178865,-5.570804,-19.746886,1.617649
1.0599999999999996,1.592402,-0.171902,-6.526546,-16.367948,-1.501707
1.12,1.629649,-0.169158,-8.301379,-8.422374,-1.992156
1.1799999999999997,1.661848,-0.150561,-0.916363,-2.090803,-0.880525
1.2400000000000002,1.672294,-0.153298,-0.789753,-0.202962,2.101663
1.3019999999999996,1.680677,-0.154774,-3.021042,-14.180295,1.112885
1.3639999999999999,1.702369,-0.14998,-5.254621,-20.085171,-0.422028
1.4379999999999997,1.744182,-0.133676,-2.572824,-4.229542,-5.566134
1.5,1.769629,-0.119838,1.072093,2.004278,-6.304534
1.5599999999999996,1.778953,-0.125491,2.52656,4.089521,-2.463898
1.62,1.784425,-0.121816,8.505958,-14.664781,-1.686906
1.6820000000000004,1.804405,-0.133267,0.135229,-21.377942,-2.294673
1.742,1.842003,-0.138395,-4.717351,-12.00667,-3.440259
1.8040000000000003,1.875557,-0.142483,-7.886809,-1.529337,-5.155021
1.8639999999999999,1.893496,-0.140354,-7.474021,1.696727,2.34908
1.9240000000000004,1.90148,-0.135728,-8.092572,-3.719212,3.749778
1.9879999999999995,1.913731,-0.123356,-9.472958,-20.000211,1.353777
2.05,1.948766,-0.10188,-6.719626,-15.771381,-3.088078
2.1100000000000003,1.983397,-0.086507,-6.160348,-1.864174,-4.932654
2.1719999999999997,2.01027,-0.064381,-0.209326,3.027248,-2.941072
2.232,2.023918,-0.062772,2.505175,3.134994,-2.024741
2.292,2.037293,-0.069747,0.48431,-19.967851,-0.397486
2.3520000000000003,2.071535,-0.067658,-1.965353,-19.059549,-1.851916
2.4139999999999997,2.116312,-0.058652,-0.234668,-5.705412,-6.102477
2.476,2.153546,-0.052765,0.231055,2.299649,-7.503321
2.5380000000000003,2.177128,-0.055485,3.498293,4.775084,-0.971129
2.6020000000000003,2.195466,-0.076515,-0.850467,-9.368689,0.905812
2.6639999999999997,2.212219,-0.078539,-1.544842,-21.1724,-0.757006
2.726,2.249395,-0.081949,-3.807417,-12.959333,-3.412463
2.7880000000000003,2.283454,-0.081403,-2.884344,-0.168725,-6.620765
2.848,2.305393,-0.079972,0.215133,6.45097,-0.890689
2.9080000000000004,2.31844,-0.079748,2.26988,0.910387,1.384387
2.968,2.330826,-0.080232,-0.006374,-17.17313,-0.264954
3.0300000000000002,2.358536,-0.074218,-1.186809,-19.154732,-4.819233
3.09,2.395177,-0.064162,-0.438657,-6.059656,-4.615447
3.152,2.424312,-0.048322,4.448567,1.701742,-3.586103
3.2119999999999997,2.438713,-0.05548,6.350672,4.592189,-1.002937
3.274,2.455116,-0.073478,2.360605,-15.139641,0.368578
3.3339999999999996,2.483142,-0.085605,-1.914233,-21.060427,-0.557637
3.396,2.529261,-0.079725,1.136176,-8.676905,-5.21689
3.4559999999999995,2.566136,-0.084437,-1.189334,1.66576,-7.222301
3.518,2.592101,-0.090492,0.72929,3.767284,-0.701871
3.58,2.60691,-0.101629,1.852757,-4.261836,1.537026
3.6420000000000003,2.620356,-0.106919,-1.274747,-22.332559,-0.714508
3.7039999999999997,2.658847,-0.094805,-0.245827,-13.900413,-3.970674
3.766,2.692726,-0.081531,1.304398,1.523538,-7.887071
3.8259999999999996,2.714458,-0.066879,5.916923,6.765517,-4.463015
3.888,2.729355,-0.071294,8.865504,3.362447,-3.882352
3.95,2.744466,-0.092286,4.148716,-20.830082,0.717212
4.012,2.784399,-0.106252,0.000697,-16.085516,-3.124001
4.074,2.828211,-0.124154,-3.116769,-5.559547,-3.582104
4.134,2.863575,-0.138174,-3.909681,3.497027,0.034621
4.194,2.880849,-0.153787,-5.583545,9.241128,3.010707
4.254,2.904201,-0.137108,-0.299929,-11.32912,1.048361
4.316,2.931747,-0.127913,-3.591029,-22.370892,-1.16896
4.378,2.980622,-0.115083,-3.357485,-11.462366,-3.349785
4.44,3.023569,-0.095228,1.070331,-2.54906,-5.384011
4.5,3.047722,-0.090561,3.605926,0.978601,-1.443863
4.564,3.064313,-0.1047,1.760561,-10.163421,2.614585
4.6240000000000006,3.075393,-0.143755,-12.535369,-25.062529,1.018075
4.686,3.109586,-0.1617,-10.033949,-18.267194,-0.844051
4.746,3.136562,-0.192579,-16.165696,-4.7646,3.365962
4.805999999999999,3.145014,-0.219443,-27.345545,3.446409,11.813163
4.866,3.153102,-0.202442,-26.98403,5.212314,10.51776
4.93,3.169932,-0.168508,-20.290936,-20.19083,4.056838
4.99,3.204915,-0.128434,-10.977235,-21.835615,0.455251
5.052,3.249134,-0.098996,-5.74937,-6.393839,-2.550464
5.112,3.281746,-0.068907,-0.216969,1.326569,-5.037034
5.1739999999999995,3.300414,-0.054442,5.003122,5.608375,-2.477
5.236000000000001,3.316019,-0.060596,5.77088,-9.59844,-0.958303
5.298,3.332555,-0.067382,3.186797,-21.54177,-1.281526
5.356,3.368503,-0.071778,1.2567,-11.825966,-1.154267
5.417999999999999,3.401701,-0.076845,-0.957393,-4.170377,-0.207775
5.478,3.426211,-0.077426,-0.372082,0.465059,0.65848
5.539999999999999,3.435099,-0.081785,-1.749347,-6.259055,3.732088
5.603999999999999,3.444898,-0.075299,-3.617628,-21.362391,0.303254
5.664,3.477902,-0.060431,-1.753983,-16.922602,-3.943157
5.728,3.516183,-0.046395,-0.039567,-3.558305,-3.767058
5.788,3.543528,-0.030926,4.825061,3.217134,-2.59899
5.85,3.55727,-0.039016,4.805066,5.122547,0.237304
5.912000000000001,3.572837,-0.045712,1.926291,-13.93575,0.258662
5.974,3.596488,-0.050167,-0.751562,-21.073353,-1.390838
6.034000000000001,3.636062,-0.051161,-0.62102,-10.017563,-5.035341
6.093999999999999,3.668586,-0.049752,1.103737,1.257278,-6.478139
6.156000000000001,3.685232,-0.058652,2.596467,5.259198,-0.784494
6.2219999999999995,3.699683,-0.065288,5.374368,-7.849811,0.583792
6.284000000000001,3.717206,-0.073591,1.007903,-22.694702,-0.982298
6.346,3.759718,-0.068103,0.258819,-10.628685,-7.427441
6.4079999999999995,3.793998,-0.070352,-3.335297,3.150819,-12.936993
6.470000000000001,3.820547,-0.058861,2.574124,5.74009,-2.137466
6.532,3.838706,-0.065811,3.190521,-3.135129,-0.825034
6.596,3.852024,-0.074189,-0.844505,-21.635833,0.260022
6.656000000000001,3.884786,-0.067604,0.656774,-15.7793,-3.315397
6.718,3.917694,-0.063085,1.149271,-3.478159,-4.778666
6.779999999999999,3.940697,-0.055368,5.846212,0.717872,-3.3974
6.84,3.94877,-0.073073,5.631895,0.527963,0.635333
6.901999999999999,3.953418,-0.083167,5.927532,-20.813358,-0.928114
6.964,3.980112,-0.087891,4.549624,-18.742703,-2.151276
7.023999999999999,4.012285,-0.097397,1.290334,-8.189256,-3.763483
7.086,4.04,-0.106574,-1.195279,-2.575819,-5.362888
7.148,4.045249,-0.118804,-1.236842,2.201385,0.41138
7.208,4.045513,-0.13342,-2.612812,-11.937669,3.996904
7.27,4.064127,-0.125603,-1.285452,-16.798596,0.990958
7.33,4.097235,-0.113404,-1.148922,-10.004713,-2.602836
7.390000000000001,4.127421,-0.104847,-3.215039,-4.011206,-6.852895
7.454000000000001,4.14486,-0.092082,1.094421,1.238409,-4.083625
7.516,4.1493,-0.099133,-1.870044,-6.893822,2.019291
7.577999999999999,4.172759,-0.102307,-3.967942,-20.986828,0.56044
7.638,4.197147,-0.094089,-0.375182,-11.029577,-2.392772
7.696,4.214386,-0.081657,4.694056,-4.269701,-3.951682
7.756,4.226562,-0.091807,-1.943715,0.954571,0.180477
7.82,4.218377,-0.091107,-1.51668,2.2688,1.493947
7.880000000000001,4.210217,-0.088448,-2.644109,-16.486264,0.627737
7.942,4.221231,-0.079665,-0.858538,-18.919477,-1.076608
8.002,4.243713,-0.070279,0.368376,-6.694778,-5.141489
8.064,4.260573,-0.060689,1.969429,1.056678,-9.605927
8.124,4.262772,-0.057117,8.204265,1.09299,-3.05393
8.184,4.260754,-0.072445,7.923808,-10.953067,-0.580599
8.246,4.264336,-0.085735,4.227794,-21.470829,-0.108821
8.308,4.288726,-0.088386,2.113912,-10.596421,-0.686047
8.368,4.306707,-0.088717,1.950435,-0.712559,-3.33982
8.43,4.316528,-0.092558,0.872764,5.661718,-1.54523
8.491999999999999,4.312375,-0.096127,2.218131,1.738039,0.080676
8.554,4.307874,-0.10218,0.085828,-17.658949,0.83275
