t,x,y,yaw,pitch,roll
0.0,1.000447,-0.004171,-20.983492,21.392521,-5.67102
0.06000000000000005,1.051493,-0.008146,-24.602779,25.535761,-2.651877
0.1200000000000001,1.054272,-0.007737,-27.674343,24.021583,-5.085145
0.18199999999999994,1.034487,-0.000205,-29.454126,24.167194,-2.91982
0.242,1.04196,-0.014699,-35.488306,11.352351,-2.894634
0.30200000000000005,1.048086,-0.022239,-38.448187,4.980579,-6.51135
0.3599999999999999,1.056268,-0.017636,-37.675924,7.372801,-5.055406
0.42200000000000015,1.073998,-0.001733,-33.970493,8.8835,2.674416
0.4820000000000002,1.12251,0.040658,-24.203249,-2.929255,7.19639
0.5420000000000003,1.200152,0.070708,-15.763768,-6.934771,2.190365
0.6000000000000001,1.287619,0.093519,-7.7954,-4.564336,-4.583473
0.6600000000000001,1.371951,0.11354,-0.391687,-2.238449,-8.578366
0.718,1.44535,0.117103,5.06427,-11.487746,-5.346703
0.778,1.543682,0.120425,7.270024,-10.506277,0.782247
0.8359999999999999,1.656898,0.119882,8.600844,-5.76109,-0.239529
0.8940000000000001,1.767963,0.119521,9.96084,-1.174505,-0.417129
0.956,1.879629,0.103669,10.073747,-8.240192,0.329013
1.016,1.997269,0.082637,6.914331,-8.95187,1.219657
1.0739999999999998,2.123012,0.063792,2.870749,-1.893551,4.06283
1.1320000000000001,2.242755,0.044747,-0.893547,5.467172,3.564006
1.19,2.358011,0.023903,-4.602401,5.654034,10.032227
1.2600000000000002,2.511024,0.027683,-5.033862,2.127701,7.250372
1.318,2.652393,0.025481,-4.427272,6.835096,8.654685
1.376,2.791103,0.026421,-2.840455,11.75632,9.358714
1.4340000000000002,2.89052,-0.00585,-6.162628,16.448619,7.685741
1.496,2.959988,-0.049847,-12.717924,16.890733,-0.8727
1.556,3.021662,-0.093821,-15.749798,18.225159,4.854245
1.6140000000000003,3.066407,-0.131489,-15.507422,17.198956,3.749684
1.674,3.104188,-0.133737,-9.487326,14.413109,10.739421
1.7360000000000002,3.1436,-0.146164,-5.025279,14.164707,7.643975
1.7959999999999998,3.212415,-0.166975,-2.72354,17.988677,0.394062
1.8560000000000003,3.268229,-0.192081,-1.916445,20.269416,0.096156
1.916,3.303378,-0.208165,-0.069445,17.977942,-0.030031
1.9780000000000002,3.3499,-0.193066,4.378718,13.123156,-0.741365
2.036,3.40603,-0.179704,4.846655,13.73418,-3.258944
2.094,3.476049,-0.1632,5.369184,13.970422,-2.856431
2.1519999999999997,3.511385,-0.1419,9.423058,9.277561,4.826122
2.212,3.533368,-0.172677,6.53812,10.905005,13.521549
2.27,3.569178,-0.208924,2.200933,14.912335,7.917546
2.3299999999999996,3.6183,-0.248398,-2.365843,19.667268,2.61787
2.3880000000000003,3.639891,-0.268396,-3.01953,18.789861,0.050793
