gait,spine,angle,mean,std,min,max
walk,s,yaw,0.6794850000000001,4.346574665421907,-6.420851,6.779665
walk,s,pitch,0.935791231927711,2.2211054264365417,-3.29632,3.768239
walk,s,roll,0.04662637048192781,1.9433886284557844,-3.121996,3.036187
walk,ns,yaw,-0.3542164126506025,2.6308745891040064,-4.237615,3.698379
walk,ns,pitch,1.4320383343373495,1.1910167373225249,-0.374745,3.2357
walk,ns,roll,0.07091292168674701,1.5182817861796825,-3.042139,2.337235
trot,s,yaw,-0.44608246060606066,4.568132588166166,-7.47108,6.580693
trot,s,pitch,0.302468503030303,1.1246542350952213,-2.093969,2.379431
trot,s,roll,0.07704810303030304,1.0323323360795431,-2.029419,2.054728
trot,ns,yaw,0.23429511904761902,2.297812446437122,-2.882672,3.681784
trot,ns,pitch,-1.541624488095238,0.36633179641095376,-2.123254,-0.709949
trot,ns,roll,0.15029472619047615,0.6458318572549558,-1.133094,1.477156
gallop,s,yaw,-1.6071673870967742,1.6562442786010385,-4.191603,1.490642
gallop,s,pitch,-0.005206161290322258,8.94107371715564,-14.852229,14.353151
gallop,s,roll,-0.6886548387096774,1.9609531183097813,-3.750288,3.727865
gallop,ns,yaw,1.3636745806451616,0.6844010745602973,-0.39243,3.152277
gallop,ns,pitch,-1.103465387096774,4.88495717296185,-9.693975,8.971268
gallop,ns,roll,-0.27339372043010757,2.183980578935714,-3.701283,3.759422
