t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
2.742000, 1.402522,-0.069907,2.977102,1.605717,0.031186,0.000000,10.819941,0.000000,0.000000
2.748000, 1.413834,-0.070832,2.924511,0.302950,0.248601,0.000000,11.198980,0.000000,0.000000
2.754000, 1.425147,-0.071341,2.966391,-1.184738,0.698666,0.000000,9.148767,0.000000,0.000000
2.760000, 1.436416,-0.071499,3.078896,-2.792966,1.380951,0.000000,8.300550,0.000000,73.144020
2.766000, 1.447728,-0.071522,3.152277,-4.209334,1.920125,0.000000,5.567324,0.000000,16.287006
2.772000, 1.459233,-0.071671,3.073163,-5.086096,2.068078,0.000000,0.000000,0.000000,14.233579
2.778000, 1.471040,-0.071983,2.859085,-5.569836,1.729097,0.000000,0.000000,29.934727,12.979205
2.784000, 1.483212,-0.072302,2.586498,-5.782145,1.335345,0.000000,0.000000,37.314782,11.997823
2.790000, 1.495804,-0.072531,2.317432,-5.801911,1.109663,0.000000,0.000000,11.786507,10.918544
2.794000, 1.504438,-0.072598,2.162909,-5.718728,1.083939,0.000000,0.000000,11.482004,10.397500
2.800000, 1.517782,-0.072610,1.957246,-5.520646,1.155689,0.000000,0.000000,11.260241,10.348536
2.808000, 1.536371,-0.072424,1.743240,-5.170152,1.402722,0.000000,0.000000,11.255465,12.480925
2.814000, 1.550876,-0.071842,1.715685,-4.820852,1.645198,0.000000,0.000000,11.062458,13.818672
2.820000, 1.565886,-0.070919,1.796961,-4.473352,1.856537,0.000000,0.000000,10.563288,11.508358
2.826000, 1.581329,-0.069900,1.927507,-4.174498,1.991533,0.000000,0.000000,11.842162,0.000000
2.830000, 1.591773,-0.069327,2.002589,-3.978931,2.010246,0.000000,0.000000,21.123919,0.000000
2.836000, 1.607608,-0.068721,2.063797,-3.686961,1.872774,0.000000,0.000000,20.379898,0.000000
2.842000, 1.623684,-0.068477,2.043735,-3.423240,1.676436,0.000000,0.000000,17.644589,0.000000
2.848000, 1.639991,-0.068457,1.979353,-3.211757,1.276085,0.000000,0.000000,11.544530,0.000000
2.854000, 1.656454,-0.068584,1.886676,-3.031146,0.676852,0.000000,0.000000,3.869003,0.000000
2.860000, 1.672943,-0.068721,1.795502,-2.840076,-0.074293,0.000000,0.000000,0.000000,0.000000
2.866000, 1.689377,-0.068816,1.716090,-2.598930,-0.766233,0.000000,0.000000,0.000000,0.000000
2.872000, 1.705752,-0.068875,1.645896,-2.307168,-1.317444,0.000000,0.000000,0.000000,0.000000
