t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
2.972000, 1.173691,0.011295,1.345577,10.324174,2.382277,0.000000,3.426577,0.000000,37.309260
2.978000, 1.180367,0.009309,1.160112,9.394976,2.885989,0.000000,0.000000,0.000000,14.961935
2.984000, 1.187113,0.007123,0.823207,8.044978,2.797534,0.000000,0.000000,0.000000,12.208548
2.990000, 1.193996,0.004710,0.348516,6.107187,2.189291,0.000000,0.000000,25.727229,11.158193
2.996000, 1.200894,0.002483,-0.064610,3.729776,1.710285,0.000000,0.000000,10.101674,10.310864
3.002000, 1.207676,0.000516,-0.392272,1.055929,1.440710,0.000000,0.000000,9.504726,9.961052
3.010000, 1.216396,-0.001807,-0.751862,-2.698188,1.237072,0.000000,0.000000,8.648706,9.620226
3.016000, 1.222642,-0.003417,-1.005246,-5.468786,1.030738,0.000000,0.000000,9.026602,9.764661
3.022000, 1.228734,-0.004875,-1.221752,-8.005597,0.752982,0.000000,0.000000,9.430706,9.833625
3.028000, 1.234883,-0.006095,-1.356758,-10.146954,0.440608,0.000000,0.000000,10.449655,9.631380
3.034000, 1.241362,-0.006984,-1.362622,-11.734229,0.147971,0.000000,0.000000,10.805952,9.272848
3.040000, 1.248397,-0.007516,-1.234183,-12.691119,-0.107056,0.000000,0.000000,9.281549,9.974613
3.046000, 1.256023,-0.007954,-1.103324,-13.088542,-0.292016,0.000000,0.000000,9.280681,8.171578
3.052000, 1.264086,-0.008368,-0.980576,-13.106995,-0.417506,0.000000,0.000000,8.762350,9.480392
3.058000, 1.272475,-0.008739,-0.815550,-12.855779,-0.596869,0.000000,0.000000,10.715251,9.174770
3.062000, 1.278218,-0.009023,-0.689987,-12.567583,-0.745390,0.000000,0.000000,10.208870,8.029194
3.068000, 1.286925,-0.009508,-0.494637,-12.027386,-1.016666,0.000000,0.000000,0.545155,0.000000
3.076000, 1.298504,-0.010403,-0.365763,-11.144538,-1.400447,0.000000,0.000000,2.505869,0.000000
3.080000, 1.304259,-0.011028,-0.406864,-10.631196,-1.542855,0.000000,0.000000,0.000000,0.000000
3.086000, 1.312868,-0.012100,-0.551524,-9.731230,-1.710215,0.000000,0.000000,0.000000,0.000000
3.092000, 1.321453,-0.013257,-0.750965,-8.665023,-1.842102,0.000000,0.000000,0.000000,0.000000
3.098000, 1.330000,-0.014453,-0.980746,-7.445531,-1.951038,0.000000,0.000000,0.000000,0.000000
3.106000, 1.341331,-0.016096,-1.333308,-5.536738,-2.066484,0.000000,0.000000,0.000000,0.000000
3.112000, 1.349722,-0.017444,-1.672480,-4.011825,-2.149764,0.000000,0.000000,0.000000,0.000000
3.116000, 1.355250,-0.018411,-1.939158,-3.011840,-2.213313,0.000000,0.000000,0.000000,0.000000
3.122000, 1.363442,-0.019891,-2.353880,-1.597747,-2.332080,0.000000,0.000000,0.000000,0.000000
3.128000, 1.371537,-0.021332,-2.743414,-0.334538,-2.478824,0.000000,0.000000,0.000000,0.000000
3.134000, 1.379564,-0.022658,-3.066121,0.747501,-2.643809,0.000000,0.000000,0.000000,0.000000
3.140000, 1.387555,-0.023806,-3.287976,1.631218,-2.818257,0.000000,0.000000,0.000000,0.000000
3.146000, 1.395529,-0.024729,-3.382598,2.311994,-2.997454,0.000000,0.000000,0.000000,0.000000
3.152000, 1.403499,-0.025388,-3.328071,2.796160,-3.181342,0.000000,0.000000,0.000000,0.000000
3.158000, 1.411458,-0.025817,-3.136562,3.095532,-3.382408,0.000000,0.000000,0.000000,0.000000
3.164000, 1.419393,-0.026054,-2.833832,3.264755,-3.587866,0.000000,0.000000,0.000000,0.000000
3.170000, 1.427278,-0.026084,-2.420039,3.391166,-3.750288,27.953042,0.000000,0.000000,0.000000
