t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
5.282000, 1.441076,-0.011259,-1.922589,-1.864897,-0.789506,0.000000,9.251777,9.743299,0.000000
5.288000, 1.443121,-0.011598,-2.075541,-1.774002,-0.721057,0.000000,9.070072,9.478347,0.000000
5.294000, 1.445126,-0.011877,-2.206393,-1.699091,-0.646146,0.000000,8.924651,9.325269,0.000000
5.300000, 1.447105,-0.012108,-2.318923,-1.642624,-0.569412,0.000000,8.867435,9.268621,0.000000
5.308000, 1.449724,-0.012343,-2.441903,-1.600615,-0.459183,0.000000,8.795210,9.175117,0.000000
5.314000, 1.451681,-0.012463,-2.514043,-1.599098,-0.370693,0.000000,8.781809,9.205967,0.000000
5.320000, 1.453632,-0.012545,-2.571190,-1.616005,-0.279298,0.000000,8.801974,9.333106,0.000000
5.326000, 1.455585,-0.012612,-2.617185,-1.644136,-0.183769,0.000000,8.793302,9.351805,0.000000
5.332000, 1.457542,-0.012672,-2.653616,-1.677919,-0.085916,0.000000,8.754065,9.365696,0.000000
5.340000, 1.460167,-0.012751,-2.687762,-1.721543,0.043302,0.000000,8.799291,9.400780,0.000000
5.346000, 1.462153,-0.012798,-2.699260,-1.750414,0.141415,0.000000,8.852436,9.399590,0.000000
5.352000, 1.464151,-0.012832,-2.698321,-1.777018,0.236872,0.000000,8.928911,9.364988,0.000000
5.356000, 1.465490,-0.012847,-2.691473,-1.797876,0.292903,0.000000,8.965976,9.395058,0.000000
5.362000, 1.467511,-0.012861,-2.672745,-1.835713,0.361873,0.000000,9.013774,9.443761,0.000000
5.368000, 1.469543,-0.012866,-2.644303,-1.878146,0.415284,0.000000,9.022931,9.519948,0.000000
5.374000, 1.471588,-0.012864,-2.607012,-1.920126,0.456030,0.000000,9.067458,9.546380,0.000000
5.380000, 1.473647,-0.012856,-2.560650,-1.958584,0.486684,0.000000,9.111956,9.559960,0.000000
5.386000, 1.475720,-0.012836,-2.503909,-1.990999,0.509180,0.000000,8.976800,9.658815,0.000000
5.392000, 1.477822,-0.012795,-2.432129,-2.010281,0.524382,0.000000,9.049692,9.648769,0.000000
5.398000, 1.479951,-0.012733,-2.345647,-2.017336,0.532065,0.000000,9.124188,9.639188,0.000000
5.402000, 1.481384,-0.012680,-2.280430,-2.016890,0.533466,0.000000,9.183594,9.620965,0.000000
5.410000, 1.484285,-0.012550,-2.133280,-2.011840,0.530912,0.000000,9.238515,9.616420,0.000000
5.414000, 1.485752,-0.012473,-2.051438,-2.006427,0.528408,0.000000,9.262907,9.612978,0.000000
5.422000, 1.488722,-0.012297,-1.872263,-1.989286,0.529928,0.000000,9.306679,9.604324,0.000000
5.426000, 1.490224,-0.012198,-1.774865,-1.978135,0.537245,0.000000,9.333948,9.591510,0.000000
5.432000, 1.492498,-0.012030,-1.618079,-1.959103,0.555637,0.000000,9.361368,9.577018,0.000000
5.438000, 1.494797,-0.011831,-1.446767,-1.938439,0.581728,0.000000,9.335760,9.569816,0.000000
5.444000, 1.497124,-0.011593,-1.258811,-1.917248,0.614703,0.000000,9.341906,9.559237,0.000000
5.450000, 1.499477,-0.011315,-1.054083,-1.895249,0.654096,0.000000,9.426395,9.497247,0.000000
5.456000, 1.501850,-0.010997,-0.833930,-1.876088,0.696207,0.000000,9.359338,9.499906,0.000000
5.462000, 1.504245,-0.010640,-0.598807,-1.857567,0.740465,0.000000,9.235078,9.487906,0.000000
5.466000, 1.505857,-0.010384,-0.434168,-1.842654,0.773268,0.000000,9.213135,9.321094,0.000000
5.472000, 1.508298,-0.009962,-0.172587,-1.820812,0.824368,0.000000,8.884195,9.297835,0.000000
5.478000, 1.510776,-0.009479,0.110929,-1.799964,0.868037,0.000000,7.402499,8.118802,0.000000
5.484000, 1.513293,-0.008949,0.411047,-1.793469,0.906194,0.000000,4.968305,8.395161,0.000000
5.488000, 1.515001,-0.008570,0.621176,-1.794004,0.942548,0.000000,4.017430,7.625091,0.000000
5.494000, 1.517580,-0.007975,0.947949,-1.806120,1.028487,16.667725,1.916007,2.234451,21.557703
5.500000, 1.520080,-0.007346,1.278522,-1.787430,1.119341,16.851531,2.640956,1.934204,22.608347
5.506000, 1.522511,-0.006646,1.618891,-1.748585,1.213808,17.341211,1.779538,2.822165,22.940044
5.512000, 1.524872,-0.005915,1.957875,-1.674693,1.307879,18.286834,0.925859,1.763736,10.698971
5.518000, 1.527145,-0.005272,2.254131,-1.510993,1.353062,9.950041,1.471820,1.007927,10.352072
5.524000, 1.529302,-0.004734,2.512280,-1.342740,1.412174,9.552205,2.622012,1.246570,9.869872
5.530000, 1.531369,-0.004290,2.739748,-1.192037,1.464876,9.348375,0.000000,0.000000,9.744201
5.536000, 1.533389,-0.003956,2.933396,-1.070615,1.477156,9.158840,0.000000,0.000000,9.534826
5.542000, 1.535384,-0.003726,3.095964,-0.980837,1.448767,9.029803,0.000000,0.000000,9.395607
5.548000, 1.537366,-0.003583,3.231641,-0.920942,1.384177,8.954617,0.000000,0.000000,9.324399
5.556000, 1.540005,-0.003499,3.378870,-0.882991,1.254769,8.812793,0.000000,0.000000,9.248453
5.560000, 1.541329,-0.003491,3.440721,-0.879850,1.175522,8.816132,0.000000,0.000000,9.271446
5.566000, 1.543320,-0.003515,3.519995,-0.890940,1.043529,8.774289,0.000000,0.000000,9.382723
5.572000, 1.545324,-0.003572,3.583776,-0.913949,0.894057,8.764516,0.000000,0.000000,9.379879
5.578000, 1.547346,-0.003657,3.632308,-0.943867,0.735301,8.785386,0.000000,0.000000,9.373625
5.584000, 1.549381,-0.003770,3.666257,-0.978588,0.578677,8.794111,0.000000,0.000000,9.366136
5.590000, 1.551431,-0.003923,3.681784,-1.019459,0.437060,8.823258,0.000000,0.000000,9.362645
5.596000, 1.553499,-0.004120,3.678238,-1.065267,0.314677,8.868781,0.000000,0.000000,9.380816
5.602000, 1.555583,-0.004357,3.657330,-1.113521,0.210655,8.888181,0.000000,0.000000,9.395247
5.608000, 1.557686,-0.004622,3.622730,-1.163333,0.120638,8.939239,0.000000,0.000000,9.440130
5.612000, 1.559098,-0.004811,3.593073,-1.197295,0.067678,8.974659,0.000000,0.000000,9.471185
5.618000, 1.561232,-0.005112,3.539100,-1.249075,-0.001091,8.928901,0.000000,0.000000,9.547103
5.624000, 1.563390,-0.005405,3.480865,-1.298164,-0.056340,8.979293,0.000000,0.000000,9.578674
5.630000, 1.565575,-0.005681,3.420937,-1.341989,-0.100720,9.035576,0.000000,0.000000,9.599774
5.636000, 1.567788,-0.005942,3.358139,-1.379570,-0.135926,9.013527,0.000000,0.000000,9.672451
5.642000, 1.570037,-0.006218,3.284076,-1.409007,-0.166490,9.096121,0.000000,0.000000,9.648906
5.648000, 1.572320,-0.006528,3.194385,-1.430152,-0.198763,9.173454,0.000000,0.000000,9.622138
5.654000, 1.574633,-0.006878,3.088752,-1.444926,-0.230847,9.256187,0.000000,0.000000,9.589336
5.660000, 1.576977,-0.007278,2.965694,-1.458237,-0.259321,9.320343,0.000000,0.000000,9.580092
5.666000, 1.579349,-0.007730,2.825444,-1.470273,-0.284024,9.370930,0.000000,0.000000,9.575871
5.672000, 1.581746,-0.008228,2.670196,-1.478860,-0.307000,9.370124,0.000000,0.000000,9.621074
5.676000, 1.583359,-0.008579,2.560118,-1.480590,-0.323605,9.388479,0.000000,0.000000,9.613855
5.684000, 1.586619,-0.009332,2.322191,-1.475681,-0.359416,9.423374,0.000000,0.000000,9.592763
5.690000, 1.589096,-0.009952,2.126615,-1.468037,-0.388832,9.328322,0.000000,0.000000,9.565837
5.696000, 1.591613,-0.010624,1.914239,-1.465284,-0.423590,9.310430,0.000000,0.000000,9.605168
5.702000, 1.594170,-0.011351,1.684234,-1.462547,-0.461477,9.330997,0.000000,0.000000,9.596807
5.708000, 1.596766,-0.012135,1.436311,-1.456961,-0.503548,9.212651,0.000000,0.000000,9.445827
5.714000, 1.599405,-0.012970,1.173680,-1.461732,-0.551140,9.132343,0.000000,0.000000,9.375278
5.720000, 1.602089,-0.013893,0.886160,-1.475993,-0.602451,8.834412,0.000000,0.000000,9.181766
5.724000, 1.603902,-0.014562,0.679234,-1.490210,-0.639270,6.909187,0.000000,0.000000,8.728858
5.732000, 1.607583,-0.015949,0.248328,-1.523721,-0.723826,4.259996,0.000000,0.000000,7.331417
5.738000, 1.610394,-0.017025,-0.087180,-1.552083,-0.776221,3.332445,0.000000,21.142607,3.958436
5.742000, 1.612274,-0.017744,-0.305574,-1.538056,-0.763881,1.821143,18.041424,22.385003,2.567394
5.750000, 1.615954,-0.019177,-0.736424,-1.491688,-0.681144,0.692206,19.293301,24.029857,2.322025
5.754000, 1.617751,-0.019887,-0.947605,-1.465079,-0.628976,0.490928,19.649049,25.137934,1.894231
5.760000, 1.620383,-0.020920,-1.244345,-1.383607,-0.547386,1.340073,19.657589,10.632857,1.529634
5.766000, 1.622895,-0.021881,-1.507063,-1.232145,-0.489130,0.588658,9.929963,9.969955,2.726576
5.772000, 1.625246,-0.022755,-1.750153,-1.077015,-0.474432,0.000000,9.541374,9.754818,1.443888
5.778000, 1.627496,-0.023532,-1.969042,-0.940858,-0.466590,0.000000,9.272293,9.531247,0.000000
5.784000, 1.629696,-0.024201,-2.158606,-0.840692,-0.446697,0.000000,9.099546,9.375929,0.000000
5.790000, 1.631865,-0.024777,-2.322997,-0.774663,-0.409014,0.000000,8.954694,9.291819,0.000000
5.796000, 1.634009,-0.025280,-2.466088,-0.733520,-0.363775,0.000000,8.893478,9.236549,0.000000
5.802000, 1.636133,-0.025717,-2.589189,-0.712385,-0.312530,0.000000,8.868441,9.218799,0.000000
5.808000, 1.638245,-0.026089,-2.692793,-0.709949,-0.252653,0.000000,8.823263,9.144519,0.000000
5.812000, 1.639650,-0.026291,-2.748692,-0.720808,-0.209247,0.000000,8.825213,9.163601,0.000000
5.818000, 1.641756,-0.026521,-2.811812,-0.755757,-0.142958,0.000000,8.835776,9.198164,0.000000
5.824000, 1.643860,-0.026675,-2.852224,-0.809013,-0.078725,0.000000,8.847921,9.230560,0.000000
5.830000, 1.645963,-0.026773,-2.874086,-0.875443,-0.021712,0.000000,8.812985,9.292040,0.000000
5.836000, 1.648070,-0.026838,-2.882672,-0.949391,0.022945,0.000000,8.845875,9.311305,0.000000
5.842000, 1.650179,-0.026872,-2.878249,-1.027584,0.056845,0.000000,8.888534,9.352938,0.000000
5.848000, 1.652296,-0.026888,-2.863280,-1.103561,0.085701,0.000000,8.808547,9.458839,0.000000
5.854000, 1.654428,-0.026908,-2.842226,-1.168816,0.118415,0.000000,8.877188,9.495457,0.000000
5.860000, 1.656573,-0.026930,-2.815112,-1.223515,0.153441,0.000000,8.917894,9.524464,0.000000
5.866000, 1.658735,-0.026935,-2.777319,-1.273038,0.183989,0.000000,8.987273,9.542784,0.000000
5.872000, 1.660916,-0.026916,-2.727011,-1.319441,0.206782,0.000000,9.056058,9.552609,0.000000
5.878000, 1.663111,-0.026871,-2.664747,-1.362179,0.221837,0.000000,9.235038,9.507219,0.000000
5.882000, 1.664581,-0.026826,-2.616772,-1.391420,0.224045,0.000000,9.265521,9.522979,0.000000
5.890000, 1.667529,-0.026694,-2.505789,-1.454213,0.210607,0.000000,9.314488,9.551067,0.000000
5.896000, 1.669751,-0.026562,-2.410138,-1.501604,0.195067,0.000000,9.230177,9.649654,0.000000
5.902000, 1.671993,-0.026412,-2.305057,-1.541828,0.193674,0.000000,9.263092,9.633018,0.000000
5.908000, 1.674255,-0.026239,-2.189619,-1.575187,0.204901,0.000000,9.285727,9.619542,0.000000
5.914000, 1.676540,-0.026033,-2.061233,-1.603939,0.224321,0.000000,9.309844,9.630360,0.000000
5.920000, 1.678849,-0.025780,-1.916453,-1.630031,0.249261,0.000000,9.319751,9.624281,0.000000
5.924000, 1.680403,-0.025587,-1.811165,-1.645628,0.269345,0.000000,9.326177,9.619480,0.000000
5.932000, 1.683549,-0.025136,-1.578650,-1.679624,0.315281,0.000000,9.358978,9.572817,0.000000
5.938000, 1.685943,-0.024729,-1.382463,-1.711226,0.352061,0.000000,9.355148,9.578406,0.000000
5.944000, 1.688366,-0.024258,-1.166050,-1.743199,0.391623,0.000000,9.214021,9.633224,0.000000
5.948000, 1.690000,-0.023926,-1.014536,-1.761761,0.426146,0.000000,9.254992,9.585056,0.000000
5.956000, 1.693318,-0.023246,-0.701287,-1.798714,0.519874,0.000000,9.359497,9.492296,0.000000
5.960000, 1.694999,-0.022890,-0.538920,-1.820769,0.575444,0.000000,9.218505,9.415548,0.000000
5.966000, 1.697551,-0.022315,-0.281316,-1.853109,0.661186,0.000000,8.791363,9.297366,0.000000
5.972000, 1.700143,-0.021691,-0.006266,-1.882551,0.766450,0.000000,6.923032,8.182562,0.000000
5.978000, 1.702772,-0.021022,0.282454,-1.922748,0.894003,0.000000,5.076961,6.752965,0.000000
5.984000, 1.705449,-0.020297,0.589126,-1.978307,1.031339,0.000000,2.737000,3.636342,22.280756
5.990000, 1.708122,-0.019553,0.892961,-1.988056,1.120253,17.745296,2.364659,1.571078,23.662501
5.996000, 1.710705,-0.018753,1.202327,-1.965420,1.193457,18.241373,1.837285,1.916546,26.127801
6.002000, 1.713227,-0.017947,1.501990,-1.918477,1.231242,19.315390,1.175570,1.827214,10.942542
6.008000, 1.715651,-0.017236,1.755711,-1.761342,1.197428,11.492576,1.891775,1.449476,10.128728
6.014000, 1.717928,-0.016689,1.961519,-1.590006,1.125496,9.743696,1.348334,0.601659,10.067798
6.020000, 1.720096,-0.016228,2.139597,-1.451734,1.104791,9.388884,0.000000,0.000000,9.802793
6.026000, 1.722199,-0.015828,2.296072,-1.345174,1.097414,9.162402,0.000000,0.000000,9.555535
6.032000, 1.724263,-0.015497,2.429870,-1.268630,1.067721,9.034345,0.000000,0.000000,9.518778
6.036000, 1.725629,-0.015319,2.505161,-1.233095,1.028861,8.953275,0.000000,0.000000,9.443216
6.042000, 1.727671,-0.015103,2.599956,-1.199659,0.947117,8.881541,0.000000,0.000000,9.381862
6.048000, 1.729708,-0.014940,2.675604,-1.185554,0.845742,8.818089,0.000000,0.000000,9.278671
6.054000, 1.731740,-0.014820,2.734606,-1.185123,0.739666,8.778964,0.000000,0.000000,9.255976
6.060000, 1.733770,-0.014735,2.779094,-1.196073,0.633583,8.769109,0.000000,0.000000,9.260300
6.066000, 1.735800,-0.014673,2.811848,-1.216770,0.528238,8.709856,0.000000,0.000000,9.293975
6.072000, 1.737841,-0.014593,2.841849,-1.247057,0.415523,8.739701,0.000000,0.000000,9.319576
6.078000, 1.739891,-0.014495,2.869292,-1.283628,0.298718,8.788942,0.000000,0.000000,9.342278
6.084000, 1.741954,-0.014389,2.890961,-1.325275,0.184149,8.673686,0.000000,0.000000,9.371996
6.090000, 1.744040,-0.014291,2.901841,-1.372593,0.077958,8.789415,0.000000,0.000000,9.392642
6.096000, 1.746149,-0.014201,2.901866,-1.423304,-0.018410,8.857982,0.000000,0.000000,9.425617
6.100000, 1.747566,-0.014151,2.895104,-1.458999,-0.075070,8.923771,0.000000,0.000000,9.408194
6.108000, 1.750424,-0.014098,2.859611,-1.538746,-0.157933,8.990736,0.000000,0.000000,9.455418
6.112000, 1.751864,-0.014094,2.831846,-1.581409,-0.185493,9.023809,0.000000,0.000000,9.478504
6.118000, 1.754036,-0.014102,2.781190,-1.645512,-0.210703,9.037970,0.000000,0.000000,9.538368
6.124000, 1.756221,-0.014109,2.724109,-1.705409,-0.218140,9.086789,0.000000,0.000000,9.566875
6.130000, 1.758419,-0.014119,2.660216,-1.759679,-0.211769,9.067519,0.000000,0.000000,9.690466
6.136000, 1.760635,-0.014134,2.588172,-1.801707,-0.207561,9.133914,0.000000,0.000000,9.690128
