t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
5.440000, 1.130646,0.007052,4.233576,2.330588,-1.140512,0.000000,8.642700,8.487085,0.000000
5.446000, 1.132262,0.005616,3.707294,2.212104,-0.847943,0.000000,8.493146,8.551015,0.000000
5.454000, 1.134408,0.003746,2.937014,1.975511,-0.462554,0.000000,8.447479,8.845547,0.000000
5.460000, 1.135980,0.002368,2.342250,1.813938,-0.213713,0.000000,8.361609,8.796760,0.000000
5.466000, 1.137518,0.001014,1.744255,1.658330,-0.013807,0.000000,8.298454,8.781987,0.000000
5.472000, 1.139027,-0.000306,1.148100,1.493902,0.136904,0.000000,8.258930,8.784081,0.000000
5.478000, 1.140516,-0.001585,0.558848,1.313078,0.244700,0.000000,8.214211,8.783591,0.000000
5.486000, 1.142489,-0.003211,-0.207147,1.044021,0.342936,0.000000,8.031085,8.810727,0.000000
5.490000, 1.143484,-0.003990,-0.577318,0.898937,0.383018,0.000000,8.063257,8.806999,0.000000
5.498000, 1.145482,-0.005490,-1.292108,0.608919,0.444636,0.000000,8.131866,8.784049,0.000000
5.504000, 1.146979,-0.006562,-1.804348,0.403912,0.472951,0.000000,8.201149,8.766756,0.000000
5.510000, 1.148468,-0.007584,-2.292860,0.216418,0.486427,0.000000,8.276701,8.750815,0.000000
5.518000, 1.150437,-0.008898,-2.920526,-0.018124,0.489725,0.000000,8.384009,8.758907,0.000000
5.522000, 1.151415,-0.009548,-3.229646,-0.133560,0.491394,0.000000,8.394056,8.762905,0.000000
5.528000, 1.152874,-0.010493,-3.678359,-0.296392,0.499025,0.000000,8.405238,8.758878,0.000000
5.534000, 1.154323,-0.011387,-4.101307,-0.439497,0.514615,0.000000,8.423443,8.752465,0.000000
5.540000, 1.155763,-0.012214,-4.491640,-0.556796,0.537274,0.000000,8.424362,8.742570,0.000000
5.546000, 1.157202,-0.012967,-4.841798,-0.642269,0.559302,0.000000,8.205818,8.774368,0.000000
5.552000, 1.158652,-0.013641,-5.140253,-0.690093,0.569353,0.000000,8.248997,8.758751,0.000000
5.558000, 1.160115,-0.014221,-5.379580,-0.700332,0.567454,0.000000,8.282204,8.752433,0.000000
5.564000, 1.161591,-0.014700,-5.555866,-0.674181,0.557686,0.000000,8.328377,8.750079,0.000000
5.570000, 1.163082,-0.015079,-5.672194,-0.613072,0.547069,0.000000,8.045274,8.863221,0.000000
5.576000, 1.164602,-0.015486,-5.790954,-0.506806,0.550882,0.000000,8.335362,8.832003,0.000000
5.582000, 1.166143,-0.015973,-5.947866,-0.357716,0.565204,0.000000,8.610286,8.821397,0.000000
5.586000, 1.167175,-0.016328,-6.071955,-0.240213,0.577363,0.000000,8.696095,8.821003,0.000000
5.592000, 1.168726,-0.016854,-6.265738,-0.046395,0.612581,0.000000,8.782356,8.881614,0.000000
5.598000, 1.170280,-0.017321,-6.445367,0.169437,0.681650,0.000000,8.784718,9.063827,0.000000
5.604000, 1.171841,-0.017710,-6.605124,0.418173,0.787667,0.000000,8.958323,9.045909,0.000000
5.610000, 1.173409,-0.018052,-6.776703,0.679900,0.915876,0.000000,8.942035,9.017587,0.000000
5.616000, 1.174987,-0.018342,-6.958556,0.944960,1.055821,0.000000,8.907292,8.949441,0.000000
5.622000, 1.176575,-0.018571,-7.146003,1.207001,1.197765,0.000000,8.870160,8.908179,0.000000
5.628000, 1.178180,-0.018721,-7.327992,1.458460,1.339111,0.000000,8.818452,8.843046,0.000000
5.634000, 1.179826,-0.018724,-7.465132,1.668998,1.482411,0.000000,8.633597,4.997017,8.791822
5.640000, 1.181520,-0.018386,-7.471080,1.740137,1.593533,3.826388,7.462504,2.048490,13.094017
5.646000, 1.183243,-0.017600,-7.322800,1.755206,1.708612,6.604924,5.635125,3.339943,13.343641
5.654000, 1.185545,-0.016151,-6.993914,1.762352,1.864797,9.757363,3.159802,3.846343,13.063572
5.658000, 1.186677,-0.015365,-6.814122,1.762661,1.944132,9.941449,2.581585,4.082682,12.518592
5.666000, 1.188890,-0.013652,-6.389004,1.784623,2.054728,12.090600,1.546605,0.000000,12.732362
5.670000, 1.189989,-0.012733,-6.124351,1.830467,2.049765,12.457070,2.999679,0.000000,12.634455
5.676000, 1.191630,-0.011349,-5.694812,1.923399,1.929477,12.861073,4.804413,0.000000,9.171917
5.682000, 1.193261,-0.009838,-5.222284,2.090359,1.650220,13.156384,4.392654,0.000000,9.027937
5.688000, 1.194895,-0.008174,-4.710016,2.311352,1.236756,8.516299,0.000000,0.000000,7.952023
5.694000, 1.196564,-0.006621,-4.210219,2.379431,0.805968,8.274680,0.000000,0.000000,8.649042
5.700000, 1.198267,-0.005158,-3.721158,2.278078,0.430515,8.494051,0.000000,0.000000,9.131070
5.706000, 1.200008,-0.003630,-3.198608,2.043947,0.152580,8.377996,0.000000,0.000000,8.968539
5.712000, 1.201758,-0.002060,-2.652941,1.709898,-0.014966,8.326668,0.000000,0.000000,8.826004
5.720000, 1.204054,0.000023,-1.909735,1.161907,-0.092553,8.593575,0.000000,0.000000,8.687707
5.726000, 1.205714,0.001545,-1.320858,0.715248,-0.128909,8.527211,0.000000,0.000000,8.783103
5.732000, 1.207323,0.002993,-0.724426,0.277222,-0.177992,8.428634,0.000000,0.000000,8.818595
5.738000, 1.208894,0.004377,-0.126845,-0.133114,-0.226142,8.337817,0.000000,0.000000,8.821177
5.744000, 1.210436,0.005700,0.464776,-0.500511,-0.263873,8.245800,0.000000,0.000000,8.786315
5.750000, 1.211956,0.006964,1.043867,-0.815074,-0.285982,7.408761,0.000000,0.000000,8.928974
5.754000, 1.212974,0.007769,1.407275,-0.971432,-0.275578,7.662839,0.000000,0.000000,8.928712
5.762000, 1.215039,0.009264,2.051353,-1.138491,-0.208586,8.077226,0.000000,0.000000,8.900595
5.768000, 1.216604,0.010258,2.455428,-1.160145,-0.153057,8.229035,0.000000,0.000000,8.864413
5.774000, 1.218173,0.011128,2.790078,-1.113752,-0.115170,8.361230,0.000000,0.000000,8.817417
5.780000, 1.219739,0.011868,3.058619,-1.016187,-0.105046,8.467585,0.000000,0.000000,8.770984
5.786000, 1.221294,0.012507,3.285866,-0.902453,-0.134875,8.686374,0.000000,0.000000,8.616559
5.792000, 1.222832,0.013107,3.512847,-0.820110,-0.211289,8.631639,0.000000,0.000000,8.617905
5.798000, 1.224354,0.013677,3.740439,-0.768658,-0.312183,8.569061,0.000000,0.000000,8.627687
5.802000, 1.225361,0.014042,3.891234,-0.750124,-0.383862,8.532140,0.000000,0.000000,8.640004
5.808000, 1.226863,0.014569,4.112580,-0.741594,-0.487604,8.490524,0.000000,0.000000,8.662073
5.814000, 1.228374,0.015056,4.307993,-0.732278,-0.571618,8.102864,0.000000,0.000000,9.012594
5.820000, 1.229928,0.015506,4.459279,-0.673559,-0.629616,8.170345,0.000000,0.000000,8.980552
5.826000, 1.231512,0.015946,4.590247,-0.553600,-0.678365,8.322099,0.000000,0.000000,8.896343
