t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
5.318000, 1.226376,-0.003429,0.009907,1.415372,-1.134518,0.000000,9.245791,17.679882,7.170135
5.324000, 1.227912,-0.004062,-0.294956,1.172871,-1.260286,0.000000,9.212640,17.344541,6.599089
5.330000, 1.229438,-0.004601,-0.580562,0.948732,-1.309324,0.000000,9.133955,17.293946,6.770537
5.336000, 1.230965,-0.005070,-0.850557,0.745011,-1.290694,0.000000,9.144417,10.222556,4.916653
5.342000, 1.232485,-0.005445,-1.090863,0.589395,-1.180065,0.000000,9.112040,9.666766,4.527705
5.348000, 1.234004,-0.005746,-1.307927,0.466269,-1.001134,0.000000,9.042041,9.440550,4.291599
5.354000, 1.235531,-0.005978,-1.505871,0.361775,-0.775925,0.000000,9.044112,9.342701,3.892409
5.360000, 1.237068,-0.006152,-1.688645,0.267165,-0.523120,0.000000,9.032250,9.293502,3.537320
5.366000, 1.238618,-0.006278,-1.858718,0.177206,-0.264935,0.000000,9.058690,9.285247,2.976989
5.372000, 1.240180,-0.006365,-2.017714,0.089752,-0.016004,0.000000,9.081251,9.294068,2.035215
5.376000, 1.241225,-0.006409,-2.118894,0.032774,0.139261,0.000000,9.102403,9.307194,1.630498
5.384000, 1.243331,-0.006457,-2.307703,-0.080907,0.415393,0.000000,9.059898,9.297528,1.310223
5.390000, 1.244922,-0.006459,-2.436787,-0.163151,0.578997,0.000000,9.100927,9.297067,0.988331
5.396000, 1.246510,-0.006448,-2.558784,-0.235841,0.693054,0.000000,9.085560,9.269881,1.117055
5.400000, 1.247571,-0.006433,-2.636694,-0.279441,0.740467,0.000000,9.079436,9.235035,1.305837
5.408000, 1.249693,-0.006381,-2.785207,-0.347255,0.765176,0.000000,9.058644,9.140861,1.741902
5.412000, 1.250749,-0.006339,-2.855660,-0.366763,0.742481,0.000000,9.067972,9.145093,1.708306
5.420000, 1.252846,-0.006219,-2.989786,-0.374745,0.619631,0.000000,9.016708,9.208866,0.000000
5.426000, 1.254420,-0.006083,-3.079143,-0.365873,0.481441,0.000000,9.019810,9.254840,0.000000
5.430000, 1.255471,-0.005970,-3.133109,-0.353774,0.371753,0.000000,9.054979,9.311273,0.000000
5.438000, 1.257582,-0.005695,-3.228452,-0.314422,0.114669,0.000000,9.132274,9.422557,0.000000
5.444000, 1.259173,-0.005448,-3.289366,-0.271382,-0.108473,0.000000,9.199941,9.504614,0.000000
5.448000, 1.260238,-0.005263,-3.324863,-0.236544,-0.269659,0.000000,9.243942,9.538207,0.000000
5.454000, 1.261847,-0.004954,-3.369826,-0.176426,-0.525184,0.000000,9.290338,9.551298,0.000000
5.460000, 1.263472,-0.004601,-3.404507,-0.108550,-0.788095,0.000000,9.317452,9.531217,0.000000
