t,x,y,yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact
11.968000, 1.060757,-0.011873,3.446794,2.053943,1.378784,0.000000,8.712480,12.510156,7.309001
11.974000, 1.061091,-0.013033,3.094921,1.840218,1.554646,0.000000,8.630874,9.603139,6.832311
11.980000, 1.061444,-0.014121,2.742280,1.598280,1.698682,0.000000,8.545402,8.675275,6.179196
11.986000, 1.061808,-0.015166,2.360949,1.315120,1.773422,0.000000,8.431052,8.602207,5.859345
11.992000, 1.062180,-0.016163,1.952438,0.984132,1.772385,0.000000,8.384855,8.618586,5.472042
11.998000, 1.062563,-0.017093,1.534725,0.614326,1.714896,0.000000,8.364665,8.633485,5.042101
12.004000, 1.062958,-0.017941,1.121771,0.215420,1.620081,0.000000,8.349133,8.645898,4.622719
12.010000, 1.063372,-0.018712,0.721939,-0.201633,1.506554,0.000000,8.261519,8.712031,4.237352
12.018000, 1.063985,-0.019721,0.204489,-0.760329,1.357822,0.000000,8.231755,8.730307,3.910908
12.024000, 1.064483,-0.020445,-0.165862,-1.158177,1.239951,0.000000,8.231837,8.741523,3.749600
12.030000, 1.065010,-0.021129,-0.519288,-1.521014,1.115732,0.000000,8.250650,8.753155,3.624720
12.034000, 1.065378,-0.021558,-0.745948,-1.738490,1.031349,0.000000,8.272802,8.738607,3.571879
12.040000, 1.065953,-0.022160,-1.075664,-2.025608,0.906724,0.000000,8.327882,8.568236,4.439562
12.048000, 1.066778,-0.022937,-1.549962,-2.314249,0.758916,0.000000,8.244755,8.534639,4.438312
12.052000, 1.067215,-0.023292,-1.794576,-2.424441,0.698272,0.000000,8.303521,8.582975,4.273855
12.058000, 1.067892,-0.023754,-2.149990,-2.559721,0.622811,0.000000,8.404187,8.654526,3.971722
12.064000, 1.068591,-0.024114,-2.475552,-2.667618,0.561423,0.000000,8.394827,8.700238,3.805825
12.072000, 1.069554,-0.024409,-2.838268,-2.770936,0.489522,0.000000,8.304005,8.708664,3.754283
12.076000, 1.070052,-0.024480,-2.985922,-2.804075,0.450635,0.000000,8.310001,8.699245,3.661228
12.082000, 1.070821,-0.024493,-3.168664,-2.832231,0.381903,0.000000,8.323149,8.685817,3.501084
12.088000, 1.071613,-0.024400,-3.308188,-2.835482,0.296320,0.000000,8.334153,8.679641,3.322199
12.096000, 1.072703,-0.024117,-3.430353,-2.799492,0.152493,0.000000,8.370684,8.693677,3.092199
12.100000, 1.073263,-0.023910,-3.464787,-2.762001,0.067727,0.000000,8.330547,8.685150,3.110217
12.106000, 1.074126,-0.023525,-3.485173,-2.676009,-0.076716,0.000000,8.400372,8.712852,3.046690
12.112000, 1.075013,-0.023049,-3.469038,-2.556543,-0.233358,0.000000,8.478979,8.750604,3.092392
12.118000, 1.075919,-0.022474,-3.416770,-2.404913,-0.394815,0.000000,8.546783,8.791459,3.138442
12.124000, 1.076841,-0.021798,-3.329612,-2.221746,-0.557469,0.000000,8.625084,8.775639,4.243240
12.130000, 1.077776,-0.021067,-3.252822,-2.016976,-0.713839,0.000000,8.617369,8.783717,3.979915
12.138000, 1.079039,-0.020054,-3.195078,-1.723195,-0.932792,0.000000,8.622222,8.824875,2.975897
12.142000, 1.079675,-0.019522,-3.175106,-1.571129,-1.056537,0.000000,8.603648,8.841484,1.874004
12.148000, 1.080628,-0.018660,-3.132811,-1.339418,-1.268688,0.000000,8.610984,8.893064,0.583445
12.154000, 1.081579,-0.017703,-3.057516,-1.108610,-1.510749,8.850170,8.468570,8.631914,1.685187
12.162000, 1.082822,-0.016467,-2.988993,-0.916290,-1.833194,9.752802,8.028244,8.782284,2.007551
12.168000, 1.083730,-0.015665,-2.982401,-0.822849,-2.067292,9.836902,7.388288,8.761422,1.996389
12.174000, 1.084610,-0.015001,-3.007476,-0.735812,-2.293438,9.940817,7.241778,8.319006,1.898023
12.180000, 1.085453,-0.014490,-3.062802,-0.629496,-2.508020,9.532392,7.329389,8.517461,0.000000
12.186000, 1.086271,-0.014118,-3.146356,-0.467997,-2.695154,8.905983,7.067261,8.634275,0.000000
12.192000, 1.087056,-0.013787,-3.200440,-0.221473,-2.845850,8.916464,7.109182,8.693091,0.000000
12.198000, 1.087804,-0.013540,-3.249538,0.105422,-2.957164,9.025465,8.474063,8.770613,0.000000
12.204000, 1.088525,-0.013379,-3.303334,0.479193,-3.024496,9.089265,9.642590,8.851858,0.000000
12.210000, 1.089227,-0.013291,-3.363328,0.863864,-3.048564,8.026421,8.494823,8.818465,0.000000
12.218000, 1.090136,-0.013327,-3.512230,1.302500,-3.028178,8.064513,8.644042,8.569189,0.000000
12.224000, 1.090803,-0.013465,-3.698381,1.529006,-2.986485,7.912478,8.519472,8.636868,0.000000
12.230000, 1.091457,-0.013648,-3.915989,1.682175,-2.934878,7.594092,8.457914,8.705790,0.000000
12.236000, 1.092102,-0.013828,-4.139106,1.776206,-2.880017,6.703369,8.457223,8.777672,0.000000
12.240000, 1.092531,-0.013928,-4.280968,1.812372,-2.844139,5.081493,8.458107,8.898898,0.000000
12.246000, 1.093182,-0.014048,-4.470657,1.853417,-2.794847,4.965556,8.369299,8.881545,0.000000
12.252000, 1.093840,-0.014145,-4.633129,1.892156,-2.756346,4.518416,8.297118,8.835766,0.000000
12.258000, 1.094502,-0.014227,-4.772631,1.938697,-2.730288,4.621113,8.150020,8.808917,0.000000
12.264000, 1.095162,-0.014324,-4.900034,2.006714,-2.717366,4.867349,8.048235,8.786856,0.000000
12.272000, 1.096027,-0.014517,-5.071372,2.147487,-2.724569,4.537111,8.097352,8.844781,0.000000
12.276000, 1.096446,-0.014651,-5.168180,2.249834,-2.743287,4.770924,8.232255,8.810473,0.000000
12.284000, 1.097272,-0.014903,-5.347916,2.489694,-2.792585,5.302791,8.353526,8.749550,0.000000
12.290000, 1.097893,-0.015025,-5.447793,2.679775,-2.826131,5.696691,8.379535,8.712804,0.000000
12.296000, 1.098523,-0.015059,-5.504108,2.864001,-2.847224,6.043254,8.416346,8.635760,0.000000
12.302000, 1.099186,-0.014958,-5.493205,3.013383,-2.845614,6.802397,8.007905,8.656534,0.000000
12.308000, 1.099888,-0.014772,-5.422773,3.137556,-2.822425,7.814422,6.112760,8.698151,0.000000
