t,x,y,yaw,pitch,roll
0.0,1.012178,0.017156,-4.230016,4.521832,7.027993
0.068,1.099897,-0.014542,-8.552787,-0.993639,6.734065
0.142,1.221858,-0.04878,-13.910696,-4.754139,6.492796
0.206,1.326019,-0.080539,-19.259724,-6.655196,-1.222842
0.27,1.431653,-0.101647,-20.488014,-0.927043,-5.287396
0.338,1.520781,-0.093951,-9.425443,5.002965,-8.496549
0.408,1.582786,-0.089374,0.429744,-1.127787,-2.141961
0.478,1.63318,-0.106217,2.72899,-6.974637,12.830229
0.542,1.693181,-0.120721,2.366567,-9.320803,3.728161
0.61,1.795188,-0.139422,1.848378,-9.887525,6.774925
0.684,1.924479,-0.161529,0.559829,-5.723112,14.834473
0.762,2.062624,-0.176373,1.314778,-4.781844,17.947549
0.836,2.18861,-0.200073,-1.093908,-0.142115,19.652192
0.904,2.268137,-0.257642,-15.151422,-0.295854,15.464225
0.97,2.3278,-0.247624,-15.635221,-3.647316,0.576812
1.032,2.407412,-0.196674,-4.692087,-4.477228,-9.281305
1.1,2.528851,-0.160317,2.158879,-3.027071,-2.213086
1.164,2.656742,-0.141859,7.231648,2.705132,2.529852
1.234,2.791712,-0.11463,15.400158,8.430325,4.716356
1.302,2.91243,-0.099703,21.517855,7.56659,5.229346
1.37,3.034682,-0.131339,14.256643,-9.22635,9.439104
1.434,3.144213,-0.167046,2.558051,-11.263007,7.214909
1.502,3.252531,-0.193097,-8.289399,-11.848267,-2.696554
1.57,3.379735,-0.184386,-11.347874,-6.804444,-4.281841
1.636,3.529521,-0.176801,-11.57879,0.11893,-6.570657
1.704,3.68954,-0.16971,-11.25012,5.524971,-7.849535
1.77,3.841735,-0.162913,-10.87599,10.095397,-5.954344
1.844,3.958872,-0.164643,-5.290651,11.508902,-0.888532
1.91,4.059337,-0.17135,-0.011568,10.137923,6.897162
1.98,4.169189,-0.171876,6.221578,3.725709,10.30659
2.054,4.314327,-0.188226,5.056577,2.263887,9.204329
2.118,4.456757,-0.197673,3.672534,3.304378,8.10674
2.184,4.602078,-0.212832,0.694538,5.585838,1.790272
2.254,4.724681,-0.228572,-3.301683,22.099852,-0.168836
2.332,4.735828,-0.236308,-7.070562,35.657788,4.309339
2.394,4.740518,-0.241709,-9.440883,38.072967,8.961161
2.466,4.754302,-0.256638,-12.848376,34.866526,5.232268
2.532,4.763565,-0.265918,-15.969641,27.390014,3.416058
2.594,4.76437,-0.262595,-14.995571,29.242377,-3.328063
2.666,4.780376,-0.256503,-7.8887,31.998164,-12.470411
2.734,4.798303,-0.25207,0.490394,30.180344,-6.163835
2.8,4.800895,-0.246869,9.897609,22.291731,6.355628
2.864,4.805009,-0.25836,8.933749,17.818506,6.928898
2.934,4.817798,-0.290161,2.80536,17.070797,7.345823
2.998,4.827225,-0.313879,-2.705765,22.07417,4.722873
3.068,4.850302,-0.330848,-7.687789,28.04437,-4.334049
3.136,4.876881,-0.340277,-12.333254,32.578752,-5.809484
3.2,4.885899,-0.341137,-13.816755,33.332629,-1.875546
3.27,4.885845,-0.344337,-16.315334,26.712362,0.516365
3.34,4.890101,-0.325957,-13.90962,21.56228,-0.34906
3.41,4.91906,-0.295261,-6.981869,14.263986,7.184421
3.474,4.946106,-0.300198,-5.76538,5.729975,9.883632
3.54,4.993854,-0.289864,-3.914082,0.362571,6.296429
3.604,5.077455,-0.274138,-2.550404,-6.002548,2.091064
3.674,5.195731,-0.255024,0.156335,-3.893503,-0.910508
3.738,5.302237,-0.227736,5.261171,1.158056,2.644231
3.804,5.40755,-0.205531,9.676999,5.179178,2.399747
3.878,5.495592,-0.219825,7.161951,4.776128,-0.869399
3.944,5.570251,-0.23161,4.586899,-4.092182,7.224146
4.014,5.643864,-0.213997,3.264383,-8.994618,3.257875
4.084,5.737002,-0.183835,3.070951,-9.702382,-1.147422
4.146,5.845567,-0.15288,3.045056,-6.755534,-2.862971
4.208,5.952285,-0.118296,4.083018,-0.733197,-5.597395
4.278,6.070254,-0.077827,5.720252,4.447758,-5.515597
