t,x,y,yaw,pitch,roll
0.0,1.019367,-0.053712,-1.659841,4.075347,-5.756133
0.062,1.085255,-0.058984,0.625377,9.986314,1.515706
0.12,1.147082,-0.064055,0.217494,10.623168,2.998336
0.182,1.212161,-0.060852,-0.198683,-12.399293,-0.478932
0.24,1.290048,-0.054273,-0.300599,-10.845735,-3.459733
0.302,1.375297,-0.046909,-0.144532,3.301982,-4.048848
0.362,1.450881,-0.039767,3.116281,8.157062,-0.861484
0.422,1.520943,-0.054701,1.234465,14.974863,1.08293
0.482,1.595698,-0.065422,0.156995,-0.703481,0.543653
0.542,1.670631,-0.071336,-0.939259,-15.330895,0.119045
0.604,1.773348,-0.068702,-0.693968,-3.229822,-1.958002
0.664,1.864698,-0.066295,-0.979193,6.195139,-3.782369
0.726,1.950954,-0.077262,1.292586,10.78782,1.384679
0.79,2.036172,-0.094163,-1.912443,12.183078,5.814627
0.85,2.118389,-0.088309,-0.502683,-11.708902,-1.093932
0.912,2.222353,-0.07889,-0.763367,-11.145953,-4.15249
0.97,2.321664,-0.067796,-0.164705,1.976432,-6.710462
1.028,2.410022,-0.063514,0.293143,5.806988,-3.183651
1.09,2.487674,-0.081314,-2.291333,14.051649,1.821787
1.152,2.57039,-0.082061,-1.101587,0.841023,0.248349
1.214,2.654216,-0.080036,-2.246782,-16.052551,-1.31764
1.274,2.765264,-0.06758,1.693542,-4.772171,-5.057362
1.338,2.875523,-0.06973,-2.519639,2.75169,-7.687034
1.396,2.957825,-0.071735,2.178183,7.743609,1.097203
1.456,3.040861,-0.095514,-1.136271,11.158145,4.844008
1.518,3.12984,-0.101603,-1.385882,-15.284025,-0.6455
1.576,3.239396,-0.096692,0.092941,-9.551902,-2.496036
1.638,3.354181,-0.095762,-2.150788,7.89333,-4.642887
1.698,3.461383,-0.088719,2.062715,12.663648,-3.263886
1.76,3.563667,-0.118112,-3.661072,20.945984,1.761342
1.822,3.687945,-0.116668,-4.083691,-6.878278,-2.085943
1.882,3.817213,-0.102619,-2.262601,-10.162225,0.021296
1.942,3.948529,-0.076345,4.499289,10.464077,2.297565
2.004,4.074172,-0.047368,11.575076,15.673839,8.239602
2.066,4.202139,-0.036777,12.847122,18.786522,3.381974
2.128,4.32253,-0.054809,3.866631,17.251543,3.225243
2.188,4.431954,-0.057296,5.660479,16.767456,2.634308
2.246,4.574301,-0.067128,7.726943,0.633814,0.629203
2.308,4.739845,-0.084907,5.073178,-3.799006,-2.522286
2.368,4.899167,-0.095336,5.361228,6.861482,-0.280476
2.428,5.048005,-0.100992,2.536279,16.459777,3.589698
2.488,5.197499,-0.091911,2.90845,11.71442,1.321107
2.548,5.353577,-0.084977,4.408549,-13.81777,0.287224
2.608,5.520812,-0.088076,2.318839,-3.984287,-0.149935
2.668,5.682273,-0.089976,0.831912,3.051209,-1.517458
2.728,5.824477,-0.097923,0.682562,14.50988,1.773637
2.788,5.960891,-0.098244,-6.628019,13.087286,-4.822043
2.844,6.080775,-0.078843,-5.814193,5.525792,-15.037282
