t,x,y,yaw,pitch,roll
0.0,1.006896,-0.068345,1.564963,-1.642192,0.964519
0.082,1.032358,-0.068058,1.443709,-2.237801,-0.466211
0.156,1.05758,-0.067433,0.49802,-1.934998,-0.570877
0.222,1.080159,-0.070217,-0.934403,-1.661537,-1.398641
0.286,1.097105,-0.071549,-0.792281,-2.418728,0.981408
0.356,1.114397,-0.075489,0.153985,-3.464211,0.590866
0.422,1.131455,-0.082703,1.700155,-3.239448,1.256397
0.492,1.147836,-0.092022,2.490919,-3.555501,1.637425
0.558,1.162706,-0.100858,1.274145,-3.430601,-0.382792
0.624,1.179489,-0.102943,0.443184,-3.194516,-0.617114
0.698,1.199558,-0.107187,-1.783869,-2.916409,-0.302408
0.774,1.217992,-0.106621,-1.907472,-2.941159,0.687327
0.842,1.233501,-0.107549,-1.159929,-2.871311,-0.021092
0.92,1.254366,-0.112562,0.100102,-2.49423,0.180383
0.994,1.273449,-0.112536,2.131895,-2.457944,0.868546
1.058,1.287838,-0.115112,1.845724,-2.45447,-0.016987
1.122,1.303761,-0.113907,1.450251,-2.609212,-0.157995
1.188,1.322715,-0.112724,0.083077,-2.6458,-0.775833
1.256,1.341803,-0.114854,-1.749874,-2.088956,-0.623651
1.326,1.35995,-0.112999,-1.468316,-2.105283,0.537495
1.394,1.379032,-0.111462,-0.403587,-2.330404,0.836952
1.46,1.399679,-0.110375,1.14138,-1.641803,1.487164
1.53,1.417475,-0.107231,1.712786,-1.051442,0.730699
1.596,1.433105,-0.105252,1.153578,-2.604157,-0.625022
1.672,1.453449,-0.101279,-0.538359,-2.687458,-1.020879
1.74,1.470489,-0.099888,-1.533394,-3.077327,-0.987812
1.8,1.48429,-0.100468,-1.180306,-3.116881,0.677415
1.862,1.499533,-0.104431,-0.355886,-3.343319,0.088829
1.926,1.516757,-0.115225,0.088329,-3.250106,0.825779
1.994,1.536152,-0.123239,1.35793,-3.253439,2.328457
2.062,1.556064,-0.129971,0.813388,-2.487487,-0.120379
2.128,1.576539,-0.1307,0.69336,-2.250599,-1.382014
2.194,1.598845,-0.131355,-0.279224,-1.353301,-1.926427
2.258,1.616973,-0.134843,-0.929524,-0.824484,-1.977398
2.324,1.633175,-0.136597,-0.367788,-2.280612,0.322717
2.39,1.649704,-0.142288,0.217813,-2.782779,0.415111
2.456,1.667953,-0.147948,1.62721,-3.111517,1.988089
2.524,1.684556,-0.150706,2.020037,-2.064968,0.932448
2.59,1.700272,-0.15204,1.594582,-2.407619,-0.448666
2.666,1.720131,-0.151643,0.366681,-2.1647,-0.618633
2.732,1.738085,-0.154068,-1.510162,-1.862764,-1.049693
2.804,1.754909,-0.152871,-1.277325,-1.92605,0.102624
2.87,1.772437,-0.153322,-0.357624,-2.382846,0.335448
2.942,1.795333,-0.154344,1.62479,-2.930578,1.14995
3.016,1.819424,-0.159594,1.878484,-2.307364,1.153542
3.086,1.840415,-0.164468,1.092246,-2.097828,0.002713
3.152,1.862585,-0.165183,0.48267,-1.955422,-0.175084
3.224,1.88974,-0.168131,-1.255677,-1.379933,-0.8152
3.29,1.909349,-0.165926,-1.189911,-1.098055,0.473989
3.354,1.927742,-0.162993,-0.321,-1.785098,0.633696
3.422,1.948665,-0.16147,0.804831,-1.722625,0.301913
3.496,1.97165,-0.156548,2.839852,-1.104238,0.639044
3.564,1.988993,-0.158169,2.525938,-0.984638,0.234523
3.628,2.007474,-0.159251,1.673105,-1.523934,0.232595
3.694,2.03029,-0.161283,-0.101391,-1.802947,-0.728189
3.766,2.052946,-0.163252,-1.487485,-0.8805,-0.072449
3.832,2.070968,-0.16052,-0.963959,-1.53706,0.446632
3.898,2.090703,-0.159013,-0.082032,-1.963586,0.463425
3.966,2.113302,-0.154334,1.973963,-2.107327,0.606122
4.032,2.132229,-0.152476,2.767145,-1.281269,0.578955
4.098,2.151777,-0.15301,2.277425,-1.878553,0.052037
4.164,2.174366,-0.153288,1.071867,-1.972406,-0.250867
4.23,2.198777,-0.156824,-1.118889,-1.653164,-1.348658
4.3,2.219273,-0.155704,-1.417051,-1.551792,0.18945
4.37,2.241891,-0.153278,-0.328638,-2.163307,0.192199
4.434,2.26499,-0.152452,0.989407,-1.805394,0.323538
4.5,2.286974,-0.150487,2.069373,-1.722034,0.537757
4.566,2.306045,-0.150555,1.690405,-2.468459,-0.8683
4.634,2.325903,-0.148164,1.020716,-2.695163,-0.59104
4.694,2.345386,-0.146009,-0.269811,-2.690306,-0.957054
4.762,2.365796,-0.147923,-1.934986,-2.280437,-0.172295
4.832,2.384911,-0.145944,-1.29503,-2.479311,0.653218
4.9,2.404575,-0.145491,0.262436,-2.122874,1.035999
