t,x,y,yaw,pitch,roll
0.0,1.011843,-0.043002,-2.971902,-0.707761,0.347526
0.062,1.026161,-0.048446,-5.347278,-0.516587,0.486967
0.122,1.040948,-0.047937,-6.297571,1.185644,0.446074
0.184,1.055342,-0.036873,-1.735933,0.114817,0.83449
0.244,1.07008,-0.027581,3.252511,-0.979741,-0.033612
0.302,1.085093,-0.023068,5.383592,0.11926,-0.555058
0.362,1.102113,-0.021468,7.083132,2.081231,-1.188357
0.422,1.119603,-0.032533,3.767042,1.640069,0.01254
0.48,1.134116,-0.041734,-1.19958,-0.378225,0.338824
0.54,1.148789,-0.047853,-4.531466,-0.552668,0.544096
0.602,1.165052,-0.051194,-7.011334,1.311901,0.971813
0.664,1.184145,-0.036112,-2.54334,-0.525121,0.3105
0.724,1.199528,-0.02572,2.313185,-1.371498,-0.078523
0.786,1.215483,-0.019787,5.085047,-0.957228,-0.629433
0.846,1.231501,-0.015275,7.318028,1.364937,-1.500883
0.908,1.24875,-0.022667,5.860859,1.19506,-1.279056
0.972,1.26385,-0.034229,0.341104,-0.334593,0.009685
1.034,1.278937,-0.040487,-3.028712,-0.817868,0.443941
1.094,1.295005,-0.045024,-5.819403,1.456072,1.126052
1.154,1.311472,-0.038601,-4.23969,1.564574,0.871871
1.216,1.326764,-0.028986,0.740224,-0.184811,-0.16601
1.276,1.341112,-0.02145,4.423657,-0.863618,-0.519506
1.336,1.356754,-0.014067,7.610169,0.589135,-1.258566
1.398,1.376099,-0.020047,6.184997,0.964032,-1.414362
1.458,1.394011,-0.031205,0.573697,-0.55873,-0.057796
1.518,1.410908,-0.036921,-3.3612,-0.777757,0.206882
1.578,1.428979,-0.038698,-4.871619,0.644647,0.136322
1.64,1.447647,-0.033347,-4.746595,2.626747,0.943559
1.702,1.463001,-0.022609,0.788553,0.896612,-0.106826
1.764,1.477727,-0.015647,4.979903,-0.569859,-0.463972
1.824,1.493427,-0.013216,6.489183,0.768377,-0.793953
1.886,1.510269,-0.016733,6.712806,2.678489,-1.476865
1.946,1.525491,-0.031242,0.816567,1.567879,0.224547
2.006,1.538975,-0.039989,-3.842434,-0.796559,0.307441
2.068,1.554612,-0.044685,-5.880957,0.109238,0.549389
2.132,1.572181,-0.041232,-6.113503,2.150292,1.641948
2.192,1.587903,-0.029288,-1.455203,0.575023,0.38085
2.254,1.603306,-0.019799,3.289852,-0.869685,-0.434005
2.316,1.618609,-0.014934,5.277615,0.484006,-0.922632
2.376,1.63405,-0.015601,6.184813,1.351661,-1.282807
2.44,1.650312,-0.02646,1.633572,0.224173,-0.417512
2.5,1.665833,-0.032517,-2.565954,-1.233822,-0.126727
2.564,1.68262,-0.036038,-5.009659,0.012316,0.258652
2.624,1.699085,-0.031807,-5.305187,1.645057,-0.16794
2.684,1.71276,-0.020062,-1.007089,-0.356997,-0.246414
2.744,1.725386,-0.012348,3.601959,-1.083476,-0.349339
2.806,1.740171,-0.00738,6.047175,-0.41562,-0.896794
2.87,1.756994,-0.011172,4.841965,2.437647,-2.01999
2.93,1.770701,-0.023146,1.345082,1.727486,0.304462
2.99,1.78308,-0.032961,-2.913053,-0.781184,0.105774
3.052,1.795825,-0.036405,-4.456918,-0.410297,0.417339
3.112,1.809953,-0.040133,-6.259392,1.322559,1.052869
3.176,1.82747,-0.028404,-3.236958,1.772193,0.41512
3.236,1.842271,-0.017717,1.613937,-0.695984,-0.128935
3.3,1.858049,-0.009866,5.896076,-0.616638,-0.412623
3.36,1.874879,-0.010036,7.080608,1.704868,-1.548213
3.42,1.891321,-0.022771,2.817801,1.494946,-0.717441
3.484,1.906982,-0.031135,-1.932021,-0.237638,-0.137827
3.544,1.921812,-0.035772,-4.625129,0.174942,0.179484
3.602,1.937668,-0.038539,-6.732105,1.344878,0.030988
3.664,1.955303,-0.026655,-3.680397,1.856475,0.039787
3.726,1.969887,-0.016159,1.906299,-0.789666,-0.150636
3.786,1.983965,-0.010175,5.461499,-1.011743,-0.517987
3.846,1.999542,-0.007873,7.704105,0.809223,-0.838582
3.908,2.016038,-0.017817,5.062746,0.575914,-0.385266
3.97,2.031069,-0.029227,-0.803785,-1.540187,0.133279
4.03,2.046207,-0.036079,-3.773728,-0.929462,0.848232
4.09,2.062431,-0.04096,-5.681345,1.314312,1.679691
4.152,2.079942,-0.030791,-2.822816,1.798854,1.776389
4.212,2.095191,-0.016029,3.042847,-0.136497,-0.133183
4.27,2.109329,-0.009341,5.67611,-0.592427,-0.363421
4.33,2.124031,-0.005937,7.206708,1.231798,-0.664474
4.392,2.140187,-0.014442,5.501835,2.070691,-0.719337
4.452,2.154413,-0.025539,0.21317,-0.381996,0.384856
4.514,2.168763,-0.03325,-4.034794,-1.231761,0.545313
4.574,2.18454,-0.038168,-6.262888,0.450426,1.145205
4.638,2.203316,-0.033916,-5.622024,1.237625,1.696897
4.698,2.220146,-0.02409,-0.884897,-0.148546,0.160407
4.762,2.237195,-0.017355,3.482656,-1.207098,0.024854
4.822,2.253788,-0.013552,5.977376,0.201561,-0.067348
4.882,2.271743,-0.018923,5.825987,1.972812,-0.672272
4.944,2.286146,-0.031955,0.826913,-0.093283,0.171645
5.004,2.298203,-0.039828,-3.578089,-1.218709,0.689735
5.064,2.311218,-0.044822,-5.455398,-0.505137,1.017651
5.122,2.325305,-0.045881,-6.998517,-0.052588,1.844189
