t,x,y,yaw,pitch,roll
0.0,1.000377,0.020093,0.082391,2.181465,3.022538
0.064,1.018038,0.017332,0.224639,2.987211,3.007787
0.13,1.032256,0.024804,1.542035,2.696892,1.903987
0.192,1.043562,0.031131,2.499032,3.086419,1.325019
0.256,1.054728,0.027635,1.269607,2.314418,-0.675808
0.32,1.067235,0.023978,-0.321244,1.160608,0.360466
0.386,1.081232,0.023815,-1.249672,0.322094,0.695479
0.45,1.097394,0.028292,-1.189018,0.419458,-1.475118
0.512,1.116513,0.036609,-0.427463,1.568119,-2.279858
0.582,1.13556,0.037685,-0.527969,2.291262,-2.126469
0.644,1.149278,0.033634,-1.123652,2.137567,-1.611562
0.706,1.161143,0.028918,-1.833785,2.780242,-0.661091
0.772,1.176364,0.033773,-0.324933,1.69107,1.410127
0.836,1.190286,0.034453,0.719791,0.80401,-0.325307
0.9,1.204292,0.03119,0.868562,0.114533,0.703633
0.96,1.219854,0.023576,-0.000115,0.070572,1.643228
1.024,1.238885,0.012927,-1.24262,1.901364,3.017454
1.092,1.256194,0.014811,-0.645793,2.779338,1.973602
1.156,1.270164,0.022448,0.732678,2.714507,1.744571
1.218,1.282149,0.028271,1.580083,2.973536,0.28006
1.28,1.29447,0.023363,-0.083214,1.75042,-1.741935
1.338,1.305854,0.023212,-1.019717,0.859853,0.122584
1.398,1.318313,0.02579,-1.452827,0.299234,-0.474321
1.46,1.33467,0.032801,-1.050791,0.835813,-2.312506
1.52,1.354242,0.04477,0.445022,2.200891,-2.78866
1.584,1.371949,0.043994,0.239287,2.208769,-2.108843
1.648,1.387312,0.033884,-1.377023,2.941242,-1.724979
1.71,1.398532,0.029095,-1.880829,3.388897,-0.591887
1.77,1.40959,0.032906,-0.481435,1.906097,1.486475
1.832,1.42072,0.033697,0.574538,1.248651,0.210418
1.894,1.432738,0.029792,0.572558,0.295227,0.359114
1.956,1.448395,0.020688,-0.766994,-0.349027,1.334251
2.016,1.465948,0.010512,-1.857894,1.504203,2.641412
2.078,1.481993,0.009998,-1.490159,2.649551,2.172966
2.14,1.497197,0.020613,0.581877,2.704808,1.738068
2.204,1.511377,0.026818,1.409084,2.885153,0.887351
2.266,1.525591,0.021748,-0.277343,1.781482,-1.680117
2.328,1.53983,0.021465,-1.421329,0.866718,-0.212893
2.406,1.558865,0.027066,-1.862087,0.75866,-1.320225
