t,x,y,yaw,pitch,roll
0.0,1.000482,-0.030383,-1.435692,1.822304,-1.979809
0.07,1.012609,-0.026471,1.806755,0.424654,1.407439
0.148,1.023717,-0.032767,2.629009,1.721193,1.479238
0.222,1.036558,-0.038547,0.04299,0.355571,-0.080796
0.3,1.047665,-0.034772,-1.543842,1.613186,-1.812867
0.37,1.05952,-0.029776,0.437945,-0.191896,-0.813957
0.446,1.071229,-0.031954,1.826728,0.459314,2.666474
0.516,1.082708,-0.036329,1.849889,0.420679,1.915356
0.592,1.095937,-0.035851,-0.542777,-0.087814,-2.567432
0.676,1.109225,-0.032604,-1.245338,0.275335,-1.739499
0.742,1.120559,-0.032831,0.705113,-0.621544,2.266714
0.818,1.131002,-0.036432,2.199127,0.983441,1.985579
0.886,1.142206,-0.0381,0.389458,-0.188926,0.168776
0.952,1.151086,-0.0346,-0.65603,0.818107,-2.209424
1.022,1.159996,-0.030146,-1.286331,1.071032,-1.606446
1.094,1.171316,-0.02862,1.040089,0.154568,2.042337
1.166,1.181845,-0.031086,2.21426,0.665169,1.818315
1.236,1.193687,-0.033879,-0.72514,-0.380683,-1.352307
1.302,1.202213,-0.027512,-1.274863,0.642687,-2.058862
1.366,1.211304,-0.024171,-0.744465,-0.103994,-1.370403
1.44,1.223725,-0.026553,1.330179,0.127313,2.615995
1.514,1.236348,-0.030344,1.503133,0.022649,1.765028
1.584,1.248728,-0.030147,-0.502002,0.272643,-2.50192
1.652,1.256954,-0.023063,-0.927298,1.392845,-1.867956
1.724,1.267484,-0.022435,0.383114,0.173392,-0.119317
1.796,1.275175,-0.028196,1.400615,1.163386,2.019959
1.864,1.283875,-0.032423,0.606928,0.178873,1.445931
1.93,1.292651,-0.029672,-0.148389,-0.267879,-2.575525
2.0,1.302472,-0.02671,-1.271895,0.549524,-0.997839
2.076,1.316882,-0.025021,0.825236,0.133542,1.866985
2.146,1.326829,-0.029836,1.92448,1.303946,2.39166
2.218,1.338326,-0.033776,-0.498296,0.18157,-0.436937
2.29,1.348376,-0.029652,-1.492115,1.678912,-2.483342
