t,x,y,yaw,pitch,roll
0.0,1.068775,0.042373,-1.014027,-4.759008,6.821066
0.068,1.173607,0.044264,0.609022,-7.451731,1.467872
0.14,1.310994,0.043438,2.757698,-3.408204,-4.539089
0.206,1.435857,0.041066,4.261814,0.125548,-8.139211
0.272,1.551267,0.034503,5.859291,-0.048219,-7.596859
0.344,1.662295,0.002196,3.838012,-10.364444,6.759887
0.406,1.753062,-0.026187,0.894834,-2.051401,7.819852
0.476,1.829461,-0.022758,1.4774,-0.207478,3.844575
0.542,1.909334,-0.00775,2.009646,-4.33117,3.266917
0.606,2.011349,-0.007268,-0.772873,-1.094572,10.429734
0.68,2.12922,-0.002448,-2.837393,6.038728,11.808635
0.746,2.215116,0.022177,-4.440595,7.279032,2.831473
0.814,2.27646,0.020563,-6.11039,0.694454,1.667779
0.882,2.314586,0.022899,-1.880762,-6.332793,1.000466
0.948,2.352555,0.038334,2.103743,-10.279443,2.401861
1.016,2.408948,0.044915,2.169951,-11.793701,7.103197
1.08,2.497621,0.052032,3.216134,-9.627052,5.704305
1.148,2.61228,0.040485,0.639829,0.03174,7.17382
1.208,2.706714,0.02822,-2.207934,9.270073,8.366658
1.276,2.795898,0.040658,-0.994616,12.701535,10.597062
1.344,2.863857,0.051835,1.306965,0.008918,3.45962
1.408,2.927226,0.048166,-0.141088,-10.303825,5.807066
1.476,3.016382,0.061105,-1.749182,-10.099182,1.657385
1.546,3.132767,0.08017,-2.286256,-8.203283,-1.64164
1.616,3.285308,0.092878,-3.239301,-7.882241,-4.916438
1.684,3.435491,0.106245,-3.770007,-6.391422,-4.612015
1.752,3.580238,0.115701,-4.800742,-6.034676,1.213858
1.822,3.691136,0.12344,-5.395759,-1.606668,6.997477
1.89,3.783988,0.125632,-4.774165,5.754334,-3.705527
1.96,3.897547,0.089479,-8.981235,1.875611,-6.802006
2.03,4.040359,0.069843,-7.865696,3.178298,1.378979
2.096,4.190514,0.04421,-5.783231,4.994666,5.77295
2.164,4.342238,0.022063,-2.201317,7.956915,8.107301
2.234,4.486218,-0.005364,-4.524554,11.341348,3.637713
2.3,4.583645,-0.00193,-7.140847,18.640351,-1.982719
2.364,4.657855,-0.002801,-8.258632,27.487005,-7.408355
2.436,4.701943,0.019004,-1.854542,26.202075,8.030986
2.504,4.719581,0.016472,-2.931775,27.872227,-4.541387
2.576,4.729599,0.023351,-2.508441,30.883092,-5.279445
2.646,4.747223,0.032087,-0.47172,31.243288,-4.264355
2.714,4.753678,0.035342,1.194122,25.449557,0.971376
2.782,4.753071,0.033511,1.431841,23.418373,5.705728
2.848,4.754552,0.032184,0.001684,24.269881,10.160688
2.918,4.763408,0.016919,-4.257584,24.69033,8.995099
2.984,4.770624,0.011223,-7.781671,26.198888,-3.139921
3.056,4.786146,0.015088,-7.900842,30.061516,-5.652
3.118,4.817279,0.020352,-6.302312,31.313733,-7.068939
3.194,4.834644,0.034792,-0.56262,25.375529,-2.488163
3.262,4.836183,0.040496,1.608663,19.718006,1.157838
3.33,4.843516,0.022944,0.237314,22.43797,3.526162
3.4,4.855167,-0.001069,-3.794611,24.832325,0.899785
3.47,4.858343,-0.00714,-6.588911,26.628246,0.751105
3.544,4.863495,-0.006108,-6.852683,28.83054,-5.298983
3.614,4.866552,-0.003915,-3.911625,32.18336,-6.485361
3.68,4.870112,-0.000871,1.9334,31.113187,-4.597621
3.746,4.869214,9.4e-05,7.621259,23.480277,1.818798
3.814,4.878701,0.003272,10.66797,15.417956,4.754959
3.892,4.893017,-0.032689,4.874159,13.281315,5.014484
3.962,4.904783,-0.052665,-0.282759,18.780827,8.974127
4.028,4.921584,-0.078073,-7.843165,29.064475,-0.935273
4.096,4.944149,-0.090269,-10.957233,31.106628,-6.160926
4.166,4.949447,-0.092598,-9.93453,30.145272,-3.218781
4.238,4.945972,-0.092919,-7.484522,21.687178,3.753566
4.306,4.939807,-0.085735,-5.952963,17.562937,4.304151
4.372,4.940314,-0.077142,-3.676741,17.077082,11.998069
4.444,4.956488,-0.115253,-7.806922,15.131647,8.966316
4.512,5.010902,-0.138911,-8.762981,13.076936,-2.970446
4.582,5.118056,-0.154059,-7.269765,8.111638,1.371196
4.646,5.214973,-0.165048,-5.019518,6.483296,6.235826
4.724,5.33039,-0.185793,-5.56586,4.231877,0.205825
4.802,5.414511,-0.173562,-0.444125,14.806541,1.22933
4.874,5.452534,-0.185339,-0.064954,29.758654,13.838707
4.948,5.455129,-0.184504,-0.880662,34.835692,3.883475
5.018,5.460506,-0.181126,-0.589969,29.716414,-7.559609
5.086,5.460924,-0.180616,-0.161731,29.771019,-3.435438
5.15,5.465737,-0.175656,3.718573,32.736975,-8.52868
5.216,5.472981,-0.170407,8.719553,29.73788,-2.081814
5.284,5.475623,-0.178378,10.402028,24.497554,3.054305
5.352,5.501705,-0.215332,3.726332,17.145008,10.250025
5.42,5.528806,-0.248259,-0.894136,11.144001,8.204145
5.486,5.560618,-0.268696,-4.288745,10.620056,5.860802
5.554,5.649614,-0.274996,-5.598513,6.077256,3.8458
5.63,5.783917,-0.267941,-1.864928,6.166536,-3.908802
5.696,5.897036,-0.260303,1.653906,8.374597,-4.013289
5.77,6.014896,-0.242221,7.518902,12.086659,3.084058
