t,x,y,yaw,pitch,roll
0.0,1.019325,-0.110519,-10.56161,-10.7765,-3.832811
0.058,1.116538,-0.115357,-8.014559,-10.714858,-7.391381
0.12,1.214021,-0.106018,2.607811,-14.017459,-8.289705
0.182,1.296388,-0.118915,2.82245,-19.336331,-9.780629
0.246,1.320799,-0.165875,-4.784225,-20.591102,1.166474
0.306,1.323325,-0.187645,-6.214678,-13.989503,9.040977
0.368,1.328821,-0.186705,-2.130292,-12.677833,5.182258
0.43,1.350062,-0.175716,-1.103699,-9.215372,2.710107
0.49,1.377355,-0.16349,-1.628397,-7.818812,-0.56344
0.548,1.409454,-0.159438,-4.286497,-4.910372,-4.68399
0.61,1.440254,-0.13669,2.571878,-8.277118,0.850035
0.672,1.465372,-0.140219,1.440719,-5.254836,7.68717
0.734,1.45535,-0.145851,1.552767,-3.519663,15.166132
0.794,1.433735,-0.139219,5.618576,-11.646509,3.277016
0.858,1.410696,-0.141342,2.507651,-13.936633,-4.263078
0.92,1.413364,-0.140757,1.772237,-7.113708,-1.352864
0.98,1.422523,-0.145672,-0.874502,-14.249828,-0.996947
1.04,1.466257,-0.15481,-2.33313,-5.425834,-5.448036
1.1,1.509001,-0.158974,-0.330602,3.856499,-4.714329
1.162,1.548459,-0.169631,-0.712484,11.492522,-4.381931
1.224,1.575443,-0.197549,-0.829999,14.791269,1.582781
1.282,1.598337,-0.210135,-2.124716,13.099759,1.9229
1.342,1.624312,-0.205935,0.614013,1.968318,0.575618
1.402,1.654505,-0.195028,3.658478,-9.735476,-0.256337
1.464,1.702792,-0.194082,0.339874,-14.64783,-1.532904
1.524,1.78491,-0.200702,-3.75831,-10.822235,-1.409219
1.586,1.876334,-0.200081,-1.781989,5.296251,2.057887
1.644,1.953635,-0.177203,11.385308,-6.519158,3.038689
1.704,2.018888,-0.221106,-2.700017,-4.443147,2.20074
1.766,2.043864,-0.23102,1.612353,8.055707,4.270029
1.824,2.067131,-0.234048,2.29361,7.32572,2.420557
1.882,2.089558,-0.227394,4.165428,-5.364649,1.190974
1.946,2.12754,-0.225459,4.393441,-14.146421,1.500079
2.012,2.205183,-0.226644,2.289531,-11.59792,-2.972113
2.074,2.292281,-0.2301,1.954385,-6.11747,-5.819626
2.132,2.368919,-0.240716,-1.876177,-9.495542,-8.3658
2.192,2.420438,-0.24713,-3.302465,-14.756597,1.717217
2.254,2.42008,-0.243243,-2.078985,-6.844111,-1.650589
2.316,2.388558,-0.235766,4.298492,-22.347222,0.087278
2.376,2.383845,-0.238344,0.955691,-12.391809,-0.895411
2.436,2.395601,-0.232215,-3.007643,-8.41174,-2.40587
2.498,2.418021,-0.228167,-4.73719,-8.463784,-3.606238
2.556,2.442901,-0.222625,-5.451126,-9.003742,-2.887572
2.616,2.453747,-0.198457,4.376722,-20.379409,-1.059426
2.678,2.464169,-0.201434,5.939784,-12.887463,-0.470538
2.738,2.42676,-0.215981,-2.427491,-22.198535,2.564916
2.796,2.419718,-0.219059,0.972725,-18.400175,-1.902058
2.858,2.460383,-0.236476,3.480913,-7.19394,9.743065
2.918,2.511864,-0.223909,11.513998,-5.905677,6.916932
2.976,2.572481,-0.227722,8.059776,-1.907842,4.258137
3.036,2.632835,-0.231882,5.173711,1.119657,3.617941
3.098,2.669511,-0.185721,33.185351,-18.936744,0.71721
3.158,2.722763,-0.227997,11.925785,-32.720535,-13.478774
3.22,2.796512,-0.287477,6.321655,-16.500126,5.068913
3.278,2.851725,-0.307903,14.597004,-5.099416,9.864602
3.336,2.911373,-0.346073,11.144368,9.776289,8.377114
3.394,2.967414,-0.391413,3.953161,2.742397,8.450604
3.454,3.024019,-0.415142,5.352973,-10.617203,2.824536
3.514,3.102222,-0.436636,0.00525,-14.96705,1.218235
3.576,3.20628,-0.445032,1.614098,-5.981053,-1.018898
3.636,3.302546,-0.465946,-4.194898,-1.58051,-4.260274
3.696,3.37667,-0.48121,-6.507005,5.567283,0.998914
3.758,3.421684,-0.459514,-5.245976,12.126462,-1.69728
3.82,3.466432,-0.426961,-1.195905,7.212025,-9.191134
3.88,3.508781,-0.410565,-4.094525,-7.318254,-9.556253
3.94,3.575329,-0.391727,-0.850595,-17.632257,-1.220117
3.998,3.682273,-0.365785,7.948386,-8.98607,-5.96589
4.06,3.792058,-0.383207,-7.656507,-2.663897,-8.886868
4.124,3.892291,-0.341952,10.494691,-16.082857,-9.067651
4.186,3.966957,-0.375596,-1.091848,-13.877343,-10.345777
4.248,3.97858,-0.382069,3.900329,-16.170453,-5.711879
4.308,3.984167,-0.38887,7.679939,-8.722088,-0.741138
4.368,3.992853,-0.405226,0.422193,-10.526531,-0.566833
4.43,4.024101,-0.388724,0.091251,-9.658871,-3.379762
4.49,4.064975,-0.376542,-2.746548,-12.892908,-3.818881
4.55,4.137646,-0.371841,-3.273558,-4.74852,-1.910866
4.608,4.204019,-0.348854,5.879466,7.125045,-0.52344
4.668,4.270445,-0.344861,6.063282,3.610847,-0.653215
4.732,4.313424,-0.367434,6.188384,10.146168,1.140235
4.792,4.343979,-0.390107,3.988311,8.265136,3.486077
4.856,4.374131,-0.404176,2.577865,4.841206,3.308856
4.932,4.411326,-0.359674,26.132695,-1.424701,-15.466452
4.998,4.479081,-0.381311,5.355922,0.804358,-1.244535
5.056,4.519506,-0.350086,15.739346,6.228149,8.503663
5.118,4.5507,-0.323885,25.970485,13.537606,17.755208
5.178,4.57253,-0.329013,31.300635,11.628978,10.338228
5.24,4.596835,-0.37436,31.335566,2.526017,8.073824
5.3,4.614088,-0.432569,23.436753,-1.949187,19.003533
5.358,4.616611,-0.474948,27.576652,-0.605956,23.691431
5.42,4.643946,-0.524645,18.029704,-4.579093,15.446736
5.48,4.677394,-0.534276,23.375716,-11.058134,8.185767
5.54,4.730999,-0.564598,10.523556,-8.017377,7.898774
5.616,4.800921,-0.570522,6.949734,-3.165739,4.22896
5.694,4.890789,-0.550081,5.576363,4.97011,0.105742
