t,x,y,yaw,pitch,roll
0.0,1.000252,0.101664,-0.289156,-1.374456,-0.877923
0.06,1.020183,0.099382,0.012629,-1.009903,-0.61666
0.12,1.039415,0.096687,-0.404754,-0.85983,0.075283
0.178,1.057724,0.097954,-0.619648,-0.669476,0.516089
0.238,1.081232,0.102309,-0.703748,0.072835,0.604219
0.298,1.111557,0.112144,0.162235,1.12557,1.429704
0.356,1.133412,0.118918,0.902529,0.511704,1.242144
0.416,1.153677,0.121362,0.504776,-0.997403,0.701714
0.476,1.174037,0.123949,-0.055662,-1.725339,0.691454
0.538,1.194608,0.128177,-0.15724,-1.340844,0.679402
0.598,1.213239,0.13063,-0.162781,-1.01441,0.268051
0.66,1.231245,0.130859,0.042202,-0.958368,-0.613851
0.72,1.25062,0.128033,0.141403,-0.610274,-0.760601
0.778,1.276659,0.121134,-0.510223,0.757266,-1.099654
0.838,1.300308,0.11264,-1.560877,0.459147,-1.636734
0.898,1.319416,0.109316,-1.429448,-0.774759,-0.29846
0.962,1.339662,0.105761,-0.970853,-1.785415,0.287215
1.022,1.358507,0.101789,-0.582159,-1.825766,0.058935
1.084,1.378277,0.097162,-0.393652,-1.595003,0.304915
1.148,1.396467,0.092864,-0.735343,-1.518658,0.772531
1.206,1.412974,0.091446,-0.964172,-1.430941,0.94125
1.266,1.436955,0.092732,-0.276818,-0.010056,1.617033
1.33,1.46345,0.098402,0.863951,0.767152,3.09351
1.392,1.484688,0.09967,0.886575,-0.400859,0.854032
1.452,1.504948,0.10054,0.483338,-1.26123,0.414003
1.512,1.525639,0.101171,-0.087437,-0.969924,1.200788
1.572,1.546693,0.101351,-0.438666,-0.423334,1.325409
1.632,1.567358,0.100932,-0.143239,-0.03977,0.355733
1.694,1.58877,0.095248,0.078972,0.118418,-0.039813
1.754,1.616581,0.086015,0.244028,1.328123,-0.575187
1.814,1.644289,0.068731,-1.927121,2.68639,-1.601706
1.874,1.663802,0.062235,-2.496978,1.098211,-0.879937
1.934,1.682917,0.06118,-1.595796,-0.604935,-0.502331
1.998,1.703935,0.059188,-0.726431,-1.218437,-0.926884
2.058,1.723888,0.056544,-0.296933,-0.915891,-0.867512
2.118,1.743179,0.05336,-0.641985,-0.722594,0.022599
2.176,1.760459,0.054394,-0.892466,-0.770881,0.375177
2.242,1.785013,0.060092,-0.837357,-0.008699,0.345015
2.306,1.814736,0.073317,0.822469,0.917896,0.714134
2.368,1.834394,0.081086,1.951884,-0.179125,0.1965
2.43,1.853193,0.084143,1.52462,-1.539796,-0.360651
2.492,1.872047,0.087031,0.77462,-2.516114,-0.407992
2.552,1.890249,0.090802,0.149277,-2.513271,-0.400355
2.61,1.906754,0.095079,-0.114409,-2.129431,-0.849908
2.674,1.92292,0.100192,0.246887,-2.210817,-0.924052
2.734,1.94129,0.10427,0.282189,-1.456332,-1.147675
2.796,1.964826,0.103679,-0.883007,-0.771606,-3.303822
2.856,1.985855,0.102037,-1.440135,-0.725978,-2.338035
2.92,2.006631,0.102482,-0.959565,-1.702644,0.354125
2.978,2.025905,0.100604,-0.623852,-1.644376,-0.072644
3.038,2.046408,0.098799,-0.177986,-1.076546,-0.946292
3.104,2.068538,0.096522,-0.248874,-0.649666,-0.520015
3.164,2.087144,0.096635,-0.717693,-0.780265,0.302445
3.224,2.109125,0.099234,-1.148613,-0.188187,0.230641
3.286,2.139893,0.106995,-0.66061,1.752862,1.085375
3.344,2.162137,0.11434,0.481424,1.075438,2.238892
3.402,2.181015,0.116066,0.251033,-0.282454,0.841781
3.46,2.200342,0.117798,-0.213834,-1.17695,0.706679
3.52,2.220376,0.120743,-0.356279,-1.112636,0.987303
3.58,2.239764,0.122321,-0.449815,-0.615717,0.521995
3.64,2.257798,0.120803,-0.523849,-0.550287,-0.074919
3.704,2.277723,0.117143,-0.139575,-0.26265,-0.112693
3.768,2.306672,0.109504,-0.109621,0.916833,-0.16388
3.83,2.33479,0.096206,-1.495576,0.836873,-0.984043
3.892,2.35552,0.090226,-1.615542,-0.298837,-0.307364
3.958,2.376949,0.084914,-1.296801,-1.437714,-0.023439
4.018,2.395979,0.080051,-1.002689,-1.868508,-0.06046
4.076,2.414035,0.075525,-0.809678,-1.856723,0.081625
4.138,2.431528,0.071542,-0.922185,-1.721798,0.870031
4.198,2.447999,0.070612,-0.857944,-1.63976,0.662254
4.262,2.472203,0.071557,-0.212889,-0.40045,1.439799
4.324,2.497213,0.078036,1.216454,0.18983,3.450936
4.386,2.517558,0.078936,1.173673,-0.423277,1.177294
4.446,2.537396,0.079481,0.672537,-1.2066,0.757695
4.512,2.559718,0.080335,0.088188,-1.061621,1.636993
4.58,2.583435,0.081108,-0.154488,-0.524897,1.305235
4.642,2.604715,0.080004,0.100718,-0.203166,0.011325
4.704,2.627035,0.07547,0.650108,0.239676,-0.224846
4.764,2.655685,0.065737,0.722435,2.088123,-0.68665
4.832,2.683822,0.048406,-1.084916,2.418217,-2.270359
4.896,2.703916,0.04223,-1.240596,0.542627,-1.133766
4.956,2.723441,0.038432,-0.819765,-0.808743,-1.024257
5.014,2.74301,0.035772,-0.218751,-0.957011,-1.553492
5.074,2.763735,0.031835,-0.275144,-0.661373,-1.300659
5.134,2.783721,0.03022,-0.57886,-0.433097,-0.390511
5.194,2.802859,0.034497,-0.5382,-0.215552,0.011814
5.254,2.828663,0.042233,-0.345589,0.814133,-0.021206
5.316,2.858195,0.056098,1.145534,1.832417,1.448453
5.376,2.878071,0.063376,1.862598,0.504602,0.942741
5.434,2.896267,0.066884,1.491112,-1.181977,0.017486
5.498,2.916259,0.070335,0.711087,-2.345632,-0.505952
5.564,2.936435,0.074935,0.066838,-2.398404,-0.658954
5.63,2.954615,0.080286,-0.029448,-2.283526,-1.078909
5.688,2.968647,0.084514,0.21806,-2.077011,-1.030579
5.748,2.98685,0.087811,0.029981,-1.249839,-1.171127
5.806,3.008106,0.087031,-1.025315,-0.803121,-3.486783
5.866,3.028136,0.086104,-1.371392,-0.471418,-1.855342
5.928,3.047533,0.085569,-1.089748,-1.368557,-0.039733
5.988,3.066706,0.083292,-0.798543,-1.892488,-0.02025
6.048,3.08599,0.080411,-0.530841,-1.832923,-0.169966
6.106,3.104471,0.076923,-0.606429,-1.509583,0.449773
6.166,3.122187,0.074756,-0.910569,-1.397791,0.889611
6.228,3.14303,0.074368,-1.146253,-0.919119,0.81584
6.3,3.175634,0.080543,0.073612,0.247925,1.847281
6.364,3.198615,0.087014,1.300342,-0.182177,1.202901
6.426,3.21869,0.089671,1.165013,-1.4751,-0.252748
6.486,3.237863,0.092647,0.745393,-2.247259,-0.432004
6.544,3.25611,0.095472,0.201954,-2.32138,-0.365856
6.606,3.275747,0.099007,-0.254477,-1.974189,-0.834946
6.666,3.292765,0.102403,-0.172664,-2.017239,-1.056197
6.728,3.312058,0.10468,-0.221919,-1.337784,-1.02022
6.788,3.335806,0.103198,-1.191831,-0.453182,-3.137307
6.85,3.358282,0.100431,-1.808626,-0.184468,-2.506623
6.912,3.378339,0.100596,-1.431472,-1.089574,-0.875419
6.974,3.399078,0.099438,-1.027141,-1.423834,-0.871324
7.034,3.41941,0.098273,-0.702105,-0.953072,-1.162477
7.098,3.441499,0.097174,-0.778809,-0.197233,-0.807448
7.16,3.462778,0.09934,-1.007212,0.01773,-0.220056
7.22,3.48597,0.105937,-1.123028,0.554489,0.077267
7.282,3.518465,0.118356,-0.666865,2.105125,1.236909
7.344,3.544024,0.12999,0.64256,2.182016,1.7119
7.404,3.564294,0.132754,0.398794,0.585483,1.019142
7.464,3.585368,0.135303,-0.002719,0.004934,1.645826
7.522,3.605928,0.136453,-0.397489,0.11251,2.205775
7.588,3.629806,0.13569,-0.594071,0.507191,1.786016
7.652,3.652535,0.13245,0.004096,0.561394,0.303091
7.712,3.675459,0.123078,0.466054,1.063722,0.581998
7.772,3.70518,0.106755,0.40606,3.866423,-0.496079
