t,x,y,yaw,pitch,roll
0.0,1.002191,-0.029971,-4.672523,3.321511,-2.113678
0.06,1.013644,-0.019268,-0.221591,-1.201193,0.387456
0.12,1.025867,-0.014942,2.346062,-1.352057,-0.030505
0.18,1.036864,-0.0171,1.840619,0.713646,-0.253642
0.238,1.045355,-0.019548,1.211449,1.50838,-0.479789
0.296,1.053103,-0.022396,1.606262,2.004694,-0.171149
0.356,1.061002,-0.027008,2.128611,2.282107,-0.0587
0.416,1.070338,-0.034323,3.129647,1.868701,0.934951
0.474,1.085954,-0.04505,3.217774,2.116966,3.317656
0.532,1.099709,-0.051209,1.342229,0.803181,4.034459
0.594,1.110064,-0.053723,-1.756253,-2.059482,-0.736674
0.65,1.120744,-0.053062,-2.552521,-0.518826,-0.23451
0.708,1.132347,-0.049898,-1.685936,1.656331,0.374658
0.766,1.142547,-0.047708,-1.402065,2.983611,0.478918
0.824,1.151436,-0.046206,-1.984664,3.287546,0.596579
0.884,1.15998,-0.041355,-2.674277,3.318543,0.071093
0.942,1.172163,-0.036005,-4.154524,3.313805,-0.85666
1.002,1.188832,-0.02653,-3.513525,3.847347,-2.055118
1.062,1.200774,-0.020035,-0.110546,-0.003967,0.708242
1.12,1.213163,-0.017375,2.363581,-0.203147,0.445098
1.176,1.22523,-0.016786,3.306715,1.133799,0.2746
1.236,1.236698,-0.021933,2.40985,1.932034,-0.014089
1.296,1.245954,-0.03072,2.487615,2.165223,0.71717
1.354,1.257489,-0.037528,3.673616,2.450878,1.393679
1.414,1.274904,-0.047055,5.627591,2.746602,2.720821
1.474,1.296778,-0.062263,3.655264,2.726847,3.895858
1.532,1.309545,-0.068513,0.912812,-1.111542,-0.932778
1.594,1.32327,-0.073202,-2.048546,-0.743627,-0.494404
1.654,1.335568,-0.072567,-2.029885,0.890071,0.088834
1.712,1.34565,-0.071746,-2.107299,1.867045,0.163774
1.77,1.354079,-0.068815,-2.589174,2.724745,-0.132922
1.828,1.362743,-0.062937,-2.788867,3.189502,-0.432855
1.886,1.373449,-0.056197,-4.168498,2.505843,-1.252496
1.944,1.389597,-0.043331,-5.065984,2.109863,-2.904609
2.0,1.40698,-0.034197,-4.443279,3.410989,-4.74583
2.06,1.419667,-0.028172,-0.830596,-0.524718,-1.425019
2.12,1.433032,-0.023839,2.567353,-0.59576,0.621169
2.182,1.446315,-0.024576,2.731539,1.466428,-0.163402
2.246,1.45808,-0.026661,2.730792,2.730568,-0.371374
