t,x,y,yaw,pitch,roll
7.652000, 1.005733,-0.006804,-1.976884,-1.723596,1.797458
7.712000, 1.029839,-0.007334,-1.341186,-1.739311,-0.165095
7.770000, 1.053674,-0.009149,-1.770363,-2.727615,-0.386030
7.828000, 1.079545,-0.011042,-2.844120,-2.536399,-0.230645
7.886000, 1.107300,-0.016991,-5.185890,-2.377339,-0.934042
7.944000, 1.130201,-0.022391,-6.862088,-1.907327,-0.320048
8.004000, 1.153219,-0.022907,-6.497956,-2.334205,0.603189
8.062000, 1.176036,-0.023562,-5.573981,-2.454733,0.430726
8.122000, 1.199843,-0.020857,-3.453032,-1.755658,1.055331
8.180000, 1.218316,-0.019290,-2.210091,-1.382343,0.763887
8.238000, 1.235484,-0.024426,-3.327720,-2.169205,-0.131130
8.296000, 1.255422,-0.029583,-5.163354,-2.536444,-0.153698
8.356000, 1.278779,-0.037314,-8.213511,-2.261292,-0.536894
8.414000, 1.301092,-0.048676,-11.545634,-1.985076,-1.485992
8.472000, 1.322770,-0.055154,-12.533174,-1.974743,0.421072
8.532000, 1.347675,-0.060695,-12.366568,-2.373243,0.455767
8.592000, 1.376222,-0.065240,-11.170914,-1.739749,0.232462
8.650000, 1.405898,-0.066133,-9.113091,-1.369064,1.231263
8.710000, 1.430385,-0.069978,-8.559482,-1.622839,-0.123174
8.770000, 1.455210,-0.074280,-8.796938,-2.276946,-0.329387
8.828000, 1.480553,-0.079122,-9.582295,-2.023852,-0.078076
8.888000, 1.506006,-0.089656,-11.802965,-1.393637,-1.183636
8.948000, 1.525598,-0.095708,-12.938182,-1.156432,-0.293289
9.008000, 1.544739,-0.095787,-12.170050,-1.895732,0.154999
9.070000, 1.567093,-0.102653,-12.173802,-2.058005,0.198664
9.128000, 1.593412,-0.114527,-12.446056,-1.351524,0.399130
9.186000, 1.617558,-0.125789,-12.856530,-0.934137,-0.445416
9.246000, 1.639932,-0.138543,-14.435764,-2.003923,-1.076953
9.308000, 1.664704,-0.149441,-16.108748,-2.465297,-0.387905
9.370000, 1.691375,-0.162128,-18.605263,-2.236595,-0.878817
9.432000, 1.715320,-0.177304,-21.337558,-1.974712,-0.477851
9.490000, 1.737483,-0.185361,-21.503639,-2.292429,0.742378
9.548000, 1.760964,-0.193394,-20.859290,-2.442518,0.518005
9.608000, 1.787568,-0.200401,-19.206963,-1.880417,0.681733
9.668000, 1.813500,-0.203463,-17.313205,-1.306945,0.955734
9.726000, 1.833723,-0.209688,-17.181928,-1.756081,-0.627305
9.786000, 1.854572,-0.216412,-17.643871,-2.157545,-0.511024
9.846000, 1.874307,-0.224851,-18.783511,-1.507106,-0.317034
9.904000, 1.888449,-0.246542,-23.382241,-1.543814,-1.773917
9.962000, 1.902981,-0.263271,-25.809144,-1.803884,-0.249241
10.018000, 1.920248,-0.278018,-26.650117,-2.427942,-0.027185
