t,x,y,yaw,pitch,roll
7.672000, 1.004154,-0.013347,-7.870546,1.823568,1.610946
7.732000, 1.019634,-0.004215,-3.296873,0.271131,0.285229
7.790000, 1.034115,0.002439,0.835624,-0.728084,-0.130051
7.846000, 1.048561,0.004508,2.490725,0.302493,-0.395555
7.908000, 1.065646,-0.001028,2.614558,1.796018,-0.691685
7.968000, 1.079436,-0.013325,-1.486331,0.823887,-0.139293
8.028000, 1.092760,-0.022938,-6.558974,-1.388008,0.102196
8.088000, 1.107156,-0.027871,-8.718904,-0.642746,0.386299
8.148000, 1.123370,-0.029126,-10.312802,0.692948,0.813983
8.208000, 1.139870,-0.019350,-6.519131,0.144178,0.131025
8.268000, 1.154042,-0.012786,-2.256345,-1.221040,-0.473016
8.326000, 1.167631,-0.009329,0.109582,-0.962387,-0.657287
8.384000, 1.181748,-0.008816,1.457902,0.954682,-1.294741
8.442000, 1.195264,-0.020110,-1.007823,1.154372,-0.332665
8.500000, 1.207382,-0.030319,-5.068010,-0.903814,0.091790
8.558000, 1.218938,-0.035976,-7.595102,-1.224421,0.204665
8.620000, 1.232440,-0.043952,-10.743018,0.018093,0.892633
8.682000, 1.248549,-0.043590,-11.069583,0.242681,0.989859
8.740000, 1.263458,-0.037366,-7.222119,-1.047665,0.014700
8.798000, 1.278181,-0.031682,-3.477926,-1.136564,-0.612792
8.858000, 1.293158,-0.029733,-1.907373,0.685211,-1.583902
8.916000, 1.307550,-0.037634,-3.127246,1.510977,-2.574223
8.972000, 1.319664,-0.054314,-8.040637,1.376256,-0.018720
9.032000, 1.332868,-0.066627,-12.554124,-0.893187,-0.044629
9.090000, 1.347213,-0.074174,-14.725632,-0.439074,0.285622
9.148000, 1.363686,-0.077481,-15.803952,2.445494,1.149142
9.206000, 1.380413,-0.070827,-12.885946,2.065478,0.495274
9.264000, 1.396627,-0.064093,-7.593037,-0.365662,0.041332
9.324000, 1.412561,-0.061173,-4.310362,-0.546702,-0.149830
9.384000, 1.429653,-0.064016,-3.364736,1.783934,-0.576325
9.444000, 1.443798,-0.075280,-5.665941,2.077136,-0.514071
9.502000, 1.456092,-0.086160,-10.448335,-0.382869,-0.172345
9.562000, 1.469212,-0.094886,-13.980277,-0.794957,0.082703
9.622000, 1.484106,-0.099628,-15.698979,0.956561,0.081393
9.682000, 1.500804,-0.094546,-14.103361,1.734551,0.543326
9.740000, 1.515156,-0.087722,-9.534492,-0.385539,0.071646
9.802000, 1.529631,-0.084141,-6.116735,-0.703546,-0.389760
9.862000, 1.543767,-0.082638,-3.895061,0.602259,-0.609116
9.920000, 1.556117,-0.091749,-5.278819,1.779666,-0.896432
9.980000, 1.566711,-0.107624,-10.542625,-0.201668,-0.263078
10.040000, 1.578266,-0.122588,-15.977502,-1.461279,0.390381
10.098000, 1.591487,-0.132603,-18.789203,-0.443899,0.636994
10.158000, 1.608964,-0.139432,-20.368042,0.647257,0.962366
10.216000, 1.626154,-0.138596,-17.562059,0.222749,0.599539
10.274000, 1.642907,-0.138012,-13.374775,-1.512156,-0.417078
10.332000, 1.658127,-0.140689,-11.623319,-0.795221,-0.532359
10.390000, 1.672704,-0.146559,-10.550614,1.250617,-0.832554
10.448000, 1.684056,-0.160443,-13.205862,1.255924,-0.514497
10.508000, 1.695308,-0.175239,-18.888202,-1.221783,0.156550
10.564000, 1.707356,-0.184730,-21.790510,-1.140443,0.375645
10.624000, 1.722698,-0.191440,-23.545967,0.822312,0.660495
10.682000, 1.740087,-0.190145,-22.195554,1.193793,0.843659
10.742000, 1.756415,-0.186268,-17.453649,-0.797047,-0.022058
10.802000, 1.772406,-0.184564,-13.641799,-1.087195,-0.441551
10.858000, 1.786107,-0.188073,-12.454391,0.574934,-0.989981
10.918000, 1.799824,-0.199138,-13.060554,1.820566,-1.221583
10.978000, 1.810706,-0.213553,-17.546813,0.424619,0.044107
11.036000, 1.821601,-0.224816,-21.690750,-0.892769,0.180733
11.094000, 1.834148,-0.231005,-23.229912,0.082665,0.480304
11.152000, 1.849636,-0.232087,-23.464002,1.319623,0.617134
11.214000, 1.867169,-0.227825,-20.178737,-0.469340,0.504383
11.272000, 1.882016,-0.224933,-15.499523,-1.799696,0.122712
11.330000, 1.894878,-0.230243,-14.775534,-0.522008,-0.193193
11.392000, 1.907479,-0.244274,-15.558493,2.108639,-0.926908
11.450000, 1.915432,-0.262110,-19.106311,1.704983,-0.431799
11.506000, 1.922562,-0.279578,-24.923239,-0.554764,0.178959
11.564000, 1.931963,-0.293142,-28.639429,-0.953887,0.438295
11.624000, 1.944475,-0.304574,-31.062750,0.599996,0.851130
11.682000, 1.961225,-0.308747,-30.301513,1.824006,1.804930
11.742000, 1.979245,-0.308182,-26.053708,1.697937,-0.247035
11.804000, 1.996784,-0.308830,-21.894079,-0.763474,-0.327513
11.860000, 2.011414,-0.313025,-19.974465,0.490289,-0.808831
11.920000, 2.023829,-0.327393,-21.217928,1.459275,-0.901493
11.978000, 2.032458,-0.343566,-25.838492,-1.142002,0.251809
12.040000, 2.042329,-0.359022,-30.409403,-2.131044,0.368186
12.098000, 2.055337,-0.367070,-31.136060,-0.361709,0.912569
12.154000, 2.070423,-0.371087,-31.569411,0.581858,1.350631
12.216000, 2.088795,-0.367968,-27.813217,-0.762489,0.042027
12.276000, 2.104586,-0.366951,-23.391648,-1.911528,-0.289495
12.338000, 2.119254,-0.370134,-21.545337,-0.793960,-0.895477
12.398000, 2.132365,-0.378718,-21.274097,0.587560,-1.151751
12.458000, 2.141514,-0.394697,-24.462947,-0.178820,-0.565754
12.518000, 2.151040,-0.407702,-28.665607,-1.507777,0.226966
12.578000, 2.162698,-0.416031,-30.412815,-0.707490,0.471759
12.638000, 2.174976,-0.423597,-32.014483,0.834568,0.368156
12.698000, 2.187029,-0.428086,-32.057761,0.007256,0.030439
12.758000, 2.199409,-0.429979,-28.615056,-1.337259,-0.370807
