t,x,y,yaw,pitch,roll
3.926000, 1.025137,-0.028334,-4.069400,-2.247745,-1.106587
3.988000, 1.051376,-0.030220,-4.621143,-2.402514,0.372778
4.046000, 1.077766,-0.032123,-4.337326,-2.543947,0.363174
4.106000, 1.108251,-0.032580,-2.942730,-1.755334,0.608540
4.164000, 1.137418,-0.026769,-0.159154,-1.501047,1.394731
4.224000, 1.162840,-0.027261,0.343429,-1.809043,0.107100
4.284000, 1.189692,-0.029791,-0.348133,-2.288827,0.004153
4.344000, 1.219216,-0.032868,-1.612339,-1.654792,-0.205290
4.400000, 1.247099,-0.040775,-3.877087,-1.268201,-0.428612
4.460000, 1.270852,-0.044470,-4.552762,-1.623580,0.560933
4.518000, 1.293847,-0.046189,-4.053647,-2.302217,0.747534
4.578000, 1.318564,-0.047426,-2.816270,-2.370836,0.256120
4.634000, 1.341889,-0.043771,-0.284684,-2.368299,1.382403
4.696000, 1.363326,-0.042154,0.928444,-1.605666,0.179310
4.754000, 1.382333,-0.042588,0.905366,-1.780771,-0.553044
4.812000, 1.403059,-0.047500,-0.835172,-2.028595,-0.337953
4.872000, 1.427299,-0.060814,-5.284023,-2.563030,-0.824936
4.930000, 1.449638,-0.074342,-9.245504,-2.184098,-0.505466
4.988000, 1.471507,-0.082155,-10.674736,-2.359695,0.543935
5.046000, 1.495939,-0.088922,-10.890474,-2.458204,0.452087
5.106000, 1.525669,-0.093878,-9.632125,-1.961596,0.621557
5.166000, 1.554764,-0.095127,-7.816081,-1.536146,1.194114
5.226000, 1.579563,-0.099574,-7.725559,-1.822563,-0.267241
5.284000, 1.605463,-0.103831,-8.239623,-2.375695,-0.086005
5.344000, 1.634463,-0.109277,-9.447051,-1.846855,-0.027893
5.404000, 1.662862,-0.120645,-12.020071,-1.586512,-1.176309
5.462000, 1.685676,-0.126902,-12.795579,-1.782156,0.184331
5.520000, 1.709515,-0.131456,-12.304024,-2.520590,0.337058
5.576000, 1.734460,-0.135522,-11.016582,-2.449245,0.222209
5.636000, 1.763273,-0.136877,-8.509305,-2.310289,1.228661
5.696000, 1.787676,-0.139421,-7.369313,-1.729480,0.334166
5.754000, 1.810380,-0.143573,-7.453384,-2.100235,-0.460272
5.812000, 1.834635,-0.147473,-7.968671,-2.147663,-0.356624
5.872000, 1.860630,-0.154423,-9.463636,-1.507060,-0.658854
5.930000, 1.880407,-0.161781,-11.176085,-0.900744,-0.800132
5.988000, 1.896767,-0.163328,-11.237819,-1.251447,0.216670
6.046000, 1.914320,-0.170569,-12.028127,-2.011675,0.372862
6.106000, 1.937342,-0.184222,-13.146880,-1.647205,0.525382
6.164000, 1.962819,-0.195420,-13.415152,-1.061014,1.438151
6.222000, 1.984374,-0.206676,-14.535868,-1.804476,0.254020
6.284000, 2.009469,-0.217407,-16.025470,-2.324538,-0.125972
6.342000, 2.034873,-0.228716,-18.027970,-2.112318,-0.204784
6.400000, 2.060541,-0.244964,-21.195335,-2.135186,-1.447542
6.458000, 2.083317,-0.255404,-22.328650,-2.006807,-0.167658
6.518000, 2.108130,-0.264801,-22.231711,-2.375865,0.272994
6.576000, 2.134818,-0.274085,-21.322664,-2.295342,0.044718
6.634000, 2.165620,-0.280600,-19.091858,-1.916321,1.080263
6.692000, 2.190936,-0.286783,-17.843729,-1.681451,0.173294
6.750000, 2.213926,-0.294790,-17.931195,-2.248074,-0.588241
6.808000, 2.238424,-0.303015,-18.599480,-2.443328,-0.242150
6.866000, 2.263520,-0.314378,-20.337210,-2.182406,-0.425007
6.924000, 2.284681,-0.327870,-22.774361,-1.501700,-0.568339
6.982000, 2.305232,-0.334943,-22.955243,-1.867850,0.592184
7.040000, 2.326921,-0.342213,-22.401555,-2.189175,0.664429
7.098000, 2.349935,-0.348324,-21.084503,-1.596051,0.372605
7.156000, 2.371098,-0.349122,-18.899919,-1.062054,1.238114
7.214000, 2.383680,-0.358378,-19.663387,-1.601693,0.588804
7.270000, 2.397212,-0.370874,-21.930702,-2.443717,-0.042115
7.326000, 2.413134,-0.383472,-24.576847,-2.578166,-0.165463
7.386000, 2.432232,-0.401116,-28.545770,-3.132804,-1.926305
7.442000, 2.449975,-0.417233,-30.972334,-1.650042,-0.595215
7.500000, 2.470533,-0.430867,-31.740688,-1.993502,0.293710
7.558000, 2.493698,-0.445203,-31.679762,-2.097888,0.058927
7.620000, 2.523970,-0.459430,-30.213813,-1.477197,0.435632
7.678000, 2.551084,-0.469062,-28.484360,-1.200838,0.641631
7.736000, 2.572515,-0.481084,-28.537395,-1.983512,-0.267849
7.794000, 2.595572,-0.493442,-29.158903,-2.321988,-0.282554
7.852000, 2.619925,-0.508018,-30.597928,-1.898233,-0.373341
7.908000, 2.639879,-0.526462,-33.140307,-1.703174,-0.949108
7.968000, 2.660038,-0.539910,-33.767170,-1.862134,0.582257
8.028000, 2.681336,-0.553393,-33.436356,-2.374786,0.563652
8.088000, 2.705022,-0.567487,-32.277335,-1.979377,0.334269
8.146000, 2.731738,-0.577261,-29.785090,-1.779223,1.315836
8.204000, 2.752614,-0.587390,-28.892086,-1.799905,-0.443830
8.262000, 2.771904,-0.598944,-29.218575,-2.280845,-0.642862
8.320000, 2.791687,-0.610723,-29.954963,-2.261672,-0.342724
8.376000, 2.807535,-0.625713,-31.852528,-1.774487,-0.810852
