t,x,y,yaw,pitch,roll
0.0,1.010867,0.047414,0.961676,-2.140198,-0.863912
0.062,1.031764,0.044464,1.160827,0.361028,2.805937
0.128,1.053271,0.034919,-1.060748,-1.244522,1.561793
0.198,1.077184,0.036332,-1.926169,-1.131911,-0.467615
0.264,1.097669,0.044108,-0.61068,-0.466106,-2.899015
0.332,1.118877,0.045377,0.945567,-1.688353,-1.240911
0.398,1.140674,0.038634,0.337715,0.411003,2.623483
0.466,1.16246,0.030031,-1.95824,-1.671978,1.008369
0.532,1.183488,0.034574,-1.881554,-0.965087,-0.472895
0.6,1.203409,0.043844,-0.129885,-0.539529,-2.154939
0.67,1.22318,0.044392,1.002245,-1.525866,-0.541164
0.734,1.24301,0.03869,0.438959,0.25501,2.575655
0.804,1.263959,0.031693,-1.684421,-1.749651,0.914689
0.87,1.284778,0.034871,-2.108082,-0.938596,-0.927701
0.938,1.307218,0.043533,-0.730627,-0.397136,-2.972901
1.002,1.329212,0.046902,0.989091,-1.650946,-1.08812
1.066,1.350425,0.042383,0.619821,0.312458,2.493204
1.134,1.371087,0.036653,-1.346928,-1.518159,0.872821
1.202,1.392427,0.042483,-1.365094,-0.371441,-1.008982
1.272,1.412813,0.05259,0.144984,0.092904,-3.251578
1.338,1.432506,0.056497,1.990119,-1.537559,-1.048541
1.404,1.452868,0.051099,1.451507,-0.30616,2.518986
1.472,1.475159,0.043459,-0.911774,-2.247478,1.010923
1.536,1.495867,0.047458,-1.013667,-1.051614,-1.343768
1.604,1.516239,0.053887,0.230186,-0.694433,-2.523719
1.672,1.537649,0.051816,1.088222,-1.443091,-1.042211
1.736,1.55775,0.04445,0.475321,0.866347,2.527898
1.8,1.576537,0.036335,-1.365933,-1.034015,1.473994
1.862,1.595817,0.039077,-2.001679,-1.016233,-0.909932
1.924,1.614493,0.047927,-0.721217,0.144325,-3.344239
1.986,1.633793,0.053425,1.449036,-2.055792,-1.371377
2.05,1.6536,0.049029,1.56236,-0.572789,1.44834
2.118,1.673984,0.038665,-0.586779,-1.082429,1.771621
2.186,1.69566,0.039193,-1.553904,-1.340688,-0.01753
2.252,1.715784,0.04501,-0.784993,0.486932,-3.176791
2.318,1.73663,0.051345,1.525384,-2.295965,-1.210583
2.38,1.757596,0.047905,1.79187,-0.905972,1.488041
2.45,1.779516,0.036532,-0.405975,-1.453924,1.708927
2.516,1.80017,0.037356,-1.128612,-1.573797,0.263291
2.58,1.820078,0.043652,-0.227396,-0.075867,-2.877924
