t,x,y,yaw,pitch,roll
0.0,1.000764,0.011611,0.673727,1.415502,1.870659
0.066,1.013708,0.011332,-1.619141,0.592235,-2.00534
0.13,1.023974,0.016577,-2.572247,1.546002,-2.312277
0.2,1.03541,0.018274,-0.927186,0.082189,-0.174812
0.266,1.046093,0.019019,1.521239,0.650755,2.561498
0.334,1.059794,0.015062,2.126938,0.926783,1.554007
0.402,1.075469,0.012046,-0.878617,-0.135023,-2.032791
0.468,1.088003,0.018627,-1.731249,1.496848,-2.282194
0.536,1.101169,0.021472,0.154036,0.410591,-0.283337
0.604,1.111975,0.018176,1.910325,1.161274,2.381977
0.678,1.124308,0.013069,1.248283,0.31949,1.871501
0.746,1.136097,0.013549,-0.622351,0.921407,-2.529336
0.808,1.145409,0.017754,-2.045239,1.835791,-1.575415
0.876,1.158147,0.020472,-0.033619,0.382504,-0.25942
0.946,1.168183,0.01754,1.461971,1.295914,2.320302
1.012,1.17849,0.014661,1.028351,0.665436,1.479335
1.078,1.189653,0.014758,-0.910101,0.426806,-2.986396
1.142,1.19923,0.017733,-1.965991,1.67257,-1.751897
1.208,1.210755,0.019558,-0.284716,-0.032527,-0.471825
1.284,1.221017,0.015192,1.08545,1.021235,2.087613
1.35,1.231972,0.011276,0.763086,0.633865,1.77605
1.412,1.242456,0.010112,-1.569935,0.42578,-2.239555
1.484,1.252953,0.015136,-2.567433,1.335063,-1.403991
1.55,1.264457,0.018373,0.193701,-0.554807,1.234065
1.614,1.274437,0.01835,2.166921,0.626845,1.922535
1.68,1.287135,0.015338,1.396985,-0.106295,1.502361
1.746,1.300584,0.013288,-1.66878,-0.936882,-3.050976
1.812,1.314107,0.01703,-2.792733,0.202479,-1.806106
1.876,1.329654,0.020132,-0.171014,-0.96165,0.107066
1.946,1.342484,0.014957,1.211145,0.600087,2.322871
2.018,1.355628,0.01173,0.525802,-0.16512,0.965217
2.084,1.366159,0.013369,-0.887958,0.33542,-3.171281
2.15,1.37603,0.017886,-1.883222,0.904915,-1.835196
2.22,1.38985,0.018701,0.404641,-0.458862,0.837494
2.286,1.401947,0.012491,1.688045,1.546302,2.085928
2.36,1.416587,0.007261,-0.099951,-0.089387,0.616652
2.432,1.429911,0.009921,-1.860636,0.606456,-3.006704
2.498,1.442076,0.01237,-2.327833,0.610973,-2.048123
